z166222-221.ip.fs.fed.us	01:04 am  Thursday January 1, 2009	3	  my steve +                            	 LATT=  46.36 LONG= 113.94
z166247-163.ip.fs.fed.us	10:00 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	10:04 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	10:28 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	10:30 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	10:32 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	10:42 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	10:43 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	10:45 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	10:48 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	11:04 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	11:05 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	11:06 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	11:07 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	11:21 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	11:26 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	11:28 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
z166247-163.ip.fs.fed.us	11:31 am  Friday January 2, 2009	50	  GROVER 2 S WY modify2 +               	 LATT=  42.47 LONG= 110.64
hide-112.maine.gov	06:31 am  Monday January 5, 2009	30	  PORTLAND WB AIRPORT ME                	 LATT=  43.65 LONG= -70.32
mail.cumberlandswcd.org	06:31 am  Monday January 5, 2009	30	  PORTLAND WB AIRPORT ME                	 LATT=  43.65 LONG= -70.32
mail.cumberlandswcd.org	08:07 am  Monday January 5, 2009	30	  PORTLAND WB AIRPORT ME                	 LATT=  43.65 LONG= -70.32
static-72-95-126-9.ptldme.east.verizon.net	08:57 am  Monday January 5, 2009	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
