z166222-221.ip.fs.fed.us	01:08 am  Thursday January 1, 2009	1 * 1	  DENVER WB AP CO                       
blm-92-254.blm.gov	11:52 am  Monday January 5, 2009	30 * 5	  SHERIDAN WBAP 3 SW WY +               
z166746-85.ip.fs.fed.us	01:51 pm  Monday January 5, 2009	30 * 16	  SEELEY LAKE RS MT                     
z166746-85.ip.fs.fed.us	02:06 pm  Monday January 5, 2009	30 * 16	  SEELEY LAKE RS MT                     
z166746-85.ip.fs.fed.us	03:57 pm  Monday January 5, 2009	30 * 4	  SEELEY LAKE RS MT                     
z166382-57.ip.fs.fed.us	03:10 pm  Tuesday January 6, 2009	30 * 5	  CHAMA NM                              
208.71.143.61	03:32 pm  Tuesday January 6, 2009	30 * 5	  EDLV Analysis Area Climate +          
208.71.143.61	03:52 pm  Tuesday January 6, 2009	30 * 5	  DEER LODGE 3W MT                      
208.71.143.61	06:56 am  Wednesday January 7, 2009	30 * 5	  DEER LODGE 3W MT                      
z1667136-95.ip.fs.fed.us	02:02 pm  Wednesday January 7, 2009	30 * 5	  SEELEY LAKE RS MT 22.55 +             
z1667136-95.ip.fs.fed.us	02:04 pm  Wednesday January 7, 2009	30 * 5	  SEELEY LAKE RS MT 22.55 +             
z1665118-135.ip.fs.fed.us	04:35 pm  Wednesday January 7, 2009	30 * 1	  TAHOE CA                              
umma195.dn69.umontana.edu	09:58 am  Thursday January 8, 2009	30 * 45	  TAHOE CA +                            
umma195.dn69.umontana.edu	10:01 am  Thursday January 8, 2009	30 * 27	  TAHOE CA +                            
umma195.dn69.umontana.edu	10:03 am  Thursday January 8, 2009	30 * 7	  TAHOE CA +                            
umma195.dn69.umontana.edu	10:12 am  Thursday January 8, 2009	30 * 9	  TAHOE CA +                            
umma131.dn68.umontana.edu	09:01 am  Monday January 12, 2009	30 * 48	  TAHOE CA +                            
umma131.dn68.umontana.edu	09:03 am  Monday January 12, 2009	30 * 27	  TAHOE CA +                            
umma131.dn68.umontana.edu	09:06 am  Monday January 12, 2009	30 * 9	  TAHOE CA +                            
z166347-248.ip.fs.fed.us	03:12 pm  Tuesday January 13, 2009	30 * 5	  FORT BAYARD NM +                      
z1665119-247.ip.fs.fed.us	10:47 am  Wednesday January 14, 2009	30 * 26	  south lake tahoe CA +                 
z1665119-247.ip.fs.fed.us	10:58 am  Wednesday January 14, 2009	30 * 20	  south lake tahoe CA +                 
z1665119-247.ip.fs.fed.us	11:06 am  Wednesday January 14, 2009	30 * 26	  south lake tahoe CA +                 
z1665119-247.ip.fs.fed.us	02:25 pm  Wednesday January 14, 2009	30 * 20	  south lake tahoe CA +                 
z1665119-247.ip.fs.fed.us	02:26 pm  Wednesday January 14, 2009	30 * 16	  south lake tahoe CA +                 
z1665119-247.ip.fs.fed.us	02:28 pm  Wednesday January 14, 2009	30 * 16	  south lake tahoe CA +                 
z1665119-247.ip.fs.fed.us	02:29 pm  Wednesday January 14, 2009	30 * 16	  south lake tahoe CA +                 
z1665119-247.ip.fs.fed.us	02:30 pm  Wednesday January 14, 2009	30 * 18	  south lake tahoe CA +                 
75.160.168.41	08:24 am  Thursday January 15, 2009	30 * 5	  MYSTIC LAKE MT                        
ip72-200-79-7.tc.ph.cox.net	06:12 pm  Thursday January 15, 2009	20 * 5	  RANGELY CO                            
130.191.118.167	06:58 pm  Monday January 19, 2009	30 * 201	  Tijuana +                             
130.191.118.167	07:03 pm  Monday January 19, 2009	30 * 201	  Tijuana +                             
130.191.118.167	07:06 pm  Monday January 19, 2009	30 * 201	  Tijuana +                             
130.191.118.167	07:09 pm  Monday January 19, 2009	30 * 201	  Tijuana +                             
130.191.118.167	07:14 pm  Monday January 19, 2009	30 * 166	  Tijuana +                             
130.191.118.167	07:17 pm  Monday January 19, 2009	30 * 47	  Tijuana +                             
130.191.118.167	07:27 pm  Monday January 19, 2009	30 * 76	  Tijuana +                             
130.191.118.167	07:33 pm  Monday January 19, 2009	30 * 4	  Tijuana +                             
130.191.118.167	07:41 pm  Monday January 19, 2009	30 * 35	  Tijuana +                             
galaxy.nezperce.org	12:30 pm  Tuesday January 20, 2009	30 * 5	  WARREN ID                             
galaxy.nezperce.org	12:34 pm  Tuesday January 20, 2009	30 * 1	  WARREN ID                             
z1665119-247.ip.fs.fed.us	03:20 pm  Tuesday January 20, 2009	30 * 42	  south lake tahoe CA +                 
z1665119-247.ip.fs.fed.us	03:22 pm  Tuesday January 20, 2009	30 * 61	  south lake tahoe CA +                 
z1665119-247.ip.fs.fed.us	03:25 pm  Tuesday January 20, 2009	30 * 58	  south lake tahoe CA +                 
z166222-221.ip.fs.fed.us	04:16 pm  Wednesday January 21, 2009	30 * 1	  SEELEY LAKE RS MT 22.55 +             
z166260-105.ip.fs.fed.us	11:54 am  Friday January 23, 2009	15 * 5	  RUBY LAKE NV                          
66-232-77-188.ctcweb.net	10:36 am  Thursday January 29, 2009	30 * 11	  SEDONA RS AZ                          
z1666141-222.ip.fs.fed.us	05:15 pm  Friday January 30, 2009	100 * 1	  Cherry Spring +                       
z1666141-222.ip.fs.fed.us	05:19 pm  Friday January 30, 2009	100 * 1	  Cherry Spring +                       
z1666141-222.ip.fs.fed.us	05:22 pm  Friday January 30, 2009	100 * 1	  Cherry Spring +                       
z1666141-222.ip.fs.fed.us	05:22 pm  Friday January 30, 2009	100 * 1	  Cherry Spring +                       
z1666141-222.ip.fs.fed.us	05:23 pm  Friday January 30, 2009	100 * 1	  Cherry Spring +                       
z1666141-222.ip.fs.fed.us	05:23 pm  Friday January 30, 2009	100 * 1	  Cherry Spring +                       
z1666141-222.ip.fs.fed.us	05:24 pm  Friday January 30, 2009	100 * 1	  Cherry Spring +                       
z1666141-222.ip.fs.fed.us	05:29 pm  Friday January 30, 2009	30 * 1	  Cherry Spring +                       
z166746-173.ip.fs.fed.us	01:27 pm  Monday February 2, 2009	30 * 4	  SEELEY LAKE RS MT 22.55 +             
z166746-173.ip.fs.fed.us	01:56 pm  Monday February 2, 2009	30 * 4	  SEELEY LAKE RS MT 22.55 +             
z166746-173.ip.fs.fed.us	01:57 pm  Monday February 2, 2009	30 * 12	  SEELEY LAKE RS MT 22.55 +             
z166746-173.ip.fs.fed.us	01:58 pm  Monday February 2, 2009	30 * 12	  SEELEY LAKE RS MT 22.55 +             
71-222-138-110.albq.qwest.net	02:23 pm  Monday February 2, 2009	200 * 1	  Manual +                              
71-222-138-110.albq.qwest.net	03:01 pm  Monday February 2, 2009	200 * 1	  Manual +                              
71-222-138-110.albq.qwest.net	03:02 pm  Monday February 2, 2009	200 * 1	  Manual +                              
71-222-138-110.albq.qwest.net	03:05 pm  Monday February 2, 2009	200 * 1	  Manual +                              
adsl-69-152-217-34.dsl.fyvlar.swbell.net	08:48 am  Wednesday February 4, 2009	30 * 55	  Lee Creek Test +                      
z1666180-81.ip.fs.fed.us	11:15 am  Wednesday February 4, 2009	30 * 5	  Russell Ridge +                       
z1666180-81.ip.fs.fed.us	11:19 am  Wednesday February 4, 2009	30 * 5	  NF Nile +                             
z166612-61.ip.fs.fed.us	01:04 pm  Wednesday February 4, 2009	30 * 5	  SEELEY LAKE RS MT 22.55 +             
blm-92-254.blm.gov	01:36 pm  Wednesday February 4, 2009	30 * 5	  FOREST GROVE OR                       
71-222-138-110.albq.qwest.net	10:50 am  Friday February 6, 2009	200 * 1	  Manual +                              
71-222-138-110.albq.qwest.net	10:59 am  Friday February 6, 2009	200 * 1	  Manual +                              
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:08 am  Wednesday February 11, 2009	30 * 8	  Buckhorn test prism +                 
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:10 am  Wednesday February 11, 2009	30 * 8	  Buckhorn test prism +                 
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:16 am  Wednesday February 11, 2009	30 * 8	  Buckhorn test prism +                 
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:24 am  Wednesday February 11, 2009	30 * 8	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:29 am  Wednesday February 11, 2009	30 * 8	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:35 am  Wednesday February 11, 2009	30 * 16	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:37 am  Wednesday February 11, 2009	30 * 16	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:39 am  Wednesday February 11, 2009	30 * 16	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:41 am  Wednesday February 11, 2009	30 * 16	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:42 am  Wednesday February 11, 2009	30 * 6	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:44 am  Wednesday February 11, 2009	30 * 22	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:45 am  Wednesday February 11, 2009	30 * 12	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:46 am  Wednesday February 11, 2009	30 * 12	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:47 am  Wednesday February 11, 2009	30 * 12	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:48 am  Wednesday February 11, 2009	30 * 20	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:49 am  Wednesday February 11, 2009	30 * 20	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:50 am  Wednesday February 11, 2009	30 * 8	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:52 am  Wednesday February 11, 2009	30 * 40	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:54 am  Wednesday February 11, 2009	30 * 40	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:58 am  Wednesday February 11, 2009	30 * 36	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	10:59 am  Wednesday February 11, 2009	30 * 36	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	11:01 am  Wednesday February 11, 2009	30 * 4	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	11:03 am  Wednesday February 11, 2009	30 * 4	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	11:03 am  Wednesday February 11, 2009	30 * 4	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	11:06 am  Wednesday February 11, 2009	30 * 76	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	11:09 am  Wednesday February 11, 2009	30 * 76	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	11:11 am  Wednesday February 11, 2009	30 * 8	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	11:12 am  Wednesday February 11, 2009	30 * 8	  Ft. Smith/Buckhorn Prism +            
adsl-69-152-217-34.dsl.fyvlar.swbell.net	12:26 pm  Wednesday February 11, 2009	30 * 5	  Ft. Smith/Buckhorn Prism +            
