64.126.138.109	00:43 am  Friday January 1, 2010	3	  FLAGSTAFF WB AP AZ                    	 LATT=  35.13 LONG=-111.67
208.80.193.39	09:40 am  Friday January 1, 2010	1		
208.80.193.54	05:49 pm  Saturday January 2, 2010	1		
208.80.193.39	02:55 am  Monday January 4, 2010	1		
166.7.163.76	02:48 pm  Monday January 4, 2010	30	  MOSCOW U OF I ID                      	 LATT=  46.73 LONG=-117.00
166.7.163.76	02:49 pm  Monday January 4, 2010	30	  MOSCOW U OF I ID                      	 LATT=  46.73 LONG=-117.00
166.7.163.76	02:50 pm  Monday January 4, 2010	30	  MOSCOW U OF I ID                      	 LATT=  46.73 LONG=-117.00
166.7.163.76	03:18 pm  Monday January 4, 2010	30	  MOSCOW U OF I ID                      	 LATT=  46.73 LONG=-117.00
173.26.127.39	05:52 pm  Monday January 4, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
173.26.127.39	05:52 pm  Monday January 4, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
173.26.127.39	05:53 pm  Monday January 4, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
173.26.127.39	05:53 pm  Monday January 4, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
173.26.127.39	05:53 pm  Monday January 4, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
173.26.127.39	05:54 pm  Monday January 4, 2010	30	  WILLITS 1NE CA                        	 LATT=  39.42 LONG=-123.33
166.7.74.132	08:46 am  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	08:51 am  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
208.80.193.30	08:55 am  Tuesday January 5, 2010	1		
166.7.74.132	09:05 am  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	09:08 am  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	09:09 am  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	09:09 am  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	09:13 am  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	09:15 am  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	09:16 am  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
166.7.74.132	09:40 am  Tuesday January 5, 2010	30	  HOMESTAKE2 MT +                       	 LATT=  45.92 LONG= 112.39
