
166.2.22.221	"03:56 pm  Friday December 31, 2010"	"SANTA MONICA PIER CA"	  34.02	-118.50
166.7.90.239	"03:54 pm  Tuesday January 4, 2011"	"MYSTIC LAKE MT"	  45.23	-109.75
166.7.90.239	"03:56 pm  Tuesday January 4, 2011"	"MYSTIC LAKE MT"	  45.23	-109.75
166.7.90.239	"03:57 pm  Tuesday January 4, 2011"	"MYSTIC LAKE MT"	  45.23	-109.75
166.7.90.239	"03:58 pm  Tuesday January 4, 2011"	"MYSTIC LAKE MT"	  45.23	-109.75
166.2.77.139	"08:39 am  Friday January 7, 2011"	"Rock Ck, UT +"	  40.37	-110.28
166.2.77.139	"08:42 am  Friday January 7, 2011"	"Rock Ck, UT +"	  40.37	-110.28
166.2.77.139	"08:44 am  Friday January 7, 2011"	"Rock Ck, UT +"	  40.37	-110.28
166.2.77.139	"08:44 am  Friday January 7, 2011"	"Rock Ck, UT +"	  40.37	-110.28
166.2.77.139	"08:45 am  Friday January 7, 2011"	"Rock Ck, UT +"	  40.37	-110.28
166.2.77.139	"04:24 pm  Friday January 7, 2011"	"Rock Ck, UT +"	  40.37	-110.28
166.2.77.139	"04:27 pm  Friday January 7, 2011"	"Rock Ck, UT +"	  40.37	-110.28
166.5.100.53	"04:18 pm  Monday January 10, 2011"	"DENVER WB AP CO"	  39.77	-104.88
63.240.230.197	"11:01 am  Tuesday January 11, 2011"	"NEWARK CA"	  37.52	-122.03
63.240.230.197	"11:15 am  Tuesday January 11, 2011"	"NEWARK CA"	  37.52	-122.03
153.90.150.99	"02:59 pm  Tuesday January 11, 2011"	"MOSCOW U OF I ID"	  46.73	-117.00
166.2.77.139	"03:07 pm  Tuesday January 11, 2011"	"Rock Ck, UT +"	  40.37	-110.28
166.2.77.139	"03:09 pm  Tuesday January 11, 2011"	"Rock Ck, UT +"	  40.37	-110.28
75.211.64.70	"12:20 pm  Friday January 14, 2011"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.7.5.187	"01:48 pm  Saturday January 15, 2011"	"OROFINO ID +"	  46.83	 114.79
166.7.5.187	"02:03 pm  Saturday January 15, 2011"	"OROFINO ID +"	  46.83	 114.79
166.7.5.187	"02:12 pm  Saturday January 15, 2011"	"OROFINO ID +"	  46.83	 114.79
63.202.42.120	"10:35 am  Tuesday January 18, 2011"	"EL CAPITAN DAM CA (mod) +"	  32.92	 116.82
10.1.52.79, 10.1.1.37	"08:51 pm  Tuesday January 18, 2011"	"DENVER WB AP CO"	  39.77	-104.88
166.2.60.226	"01:26 pm  Friday January 21, 2011"	"AUSTIN NV"	  39.50	-117.07
166.2.60.226	"01:27 pm  Friday January 21, 2011"	"AUSTIN NV"	  39.50	-117.07
166.2.60.226	"01:31 pm  Friday January 21, 2011"	"AUSTIN NV"	  39.50	-117.07
166.2.60.226	"02:03 pm  Friday January 21, 2011"	"AUSTIN NV"	  39.50	-117.07
166.2.60.226	"02:35 pm  Friday January 21, 2011"	"AUSTIN NV"	  39.50	-117.07
166.5.161.242	"10:55 am  Tuesday January 25, 2011"	"MOUNT SHASTA CA"	  41.32	-122.32
166.7.77.183	"02:33 pm  Wednesday January 26, 2011"	"Davis Fire +"	  46.84	 112.48
166.7.77.183	"02:38 pm  Wednesday January 26, 2011"	"Davis Fire +"	  46.84	 112.48
166.7.5.187	"09:23 am  Friday January 28, 2011"	"OROFINO ID +"	  46.83	 114.79
166.3.65.124	"12:21 pm  Monday January 31, 2011"	"CUBA NM"	  36.02	-106.97
166.3.65.124	"12:43 pm  Monday January 31, 2011"	"CUBA NM"	  36.02	-106.97
166.3.65.124	"12:46 pm  Monday January 31, 2011"	"CUBA NM"	  36.02	-106.97
166.3.65.124	"12:56 pm  Monday January 31, 2011"	"JEMEZ SPRINGS NM"	  35.78	-106.68
166.7.111.3	"08:22 am  Tuesday February 1, 2011"	"BIGFORK 12 S MT"	  47.88	-114.03
166.7.111.3	"08:22 am  Tuesday February 1, 2011"	"BIGFORK 12 S MT"	  47.88	-114.03
166.7.111.3	"09:36 am  Friday February 4, 2011"	"Mission Upland +"	  47.63	 113.90
166.7.111.3	"09:37 am  Friday February 4, 2011"	"Mission Upland +"	  47.63	 113.90
166.7.111.3	"09:37 am  Friday February 4, 2011"	"Mission Upland +"	  47.63	 113.90
166.7.111.3	"09:38 am  Friday February 4, 2011"	"Mission Upland +"	  47.63	 113.90
166.7.111.3	"11:55 am  Friday February 4, 2011"	"Mission Upland +"	  47.63	 113.90
166.7.111.3	"12:21 pm  Friday February 4, 2011"	"Mission Upland +"	  47.63	 113.90
150.131.74.180	"01:22 pm  Monday February 7, 2011"	"GIBSON DAM MT"	  47.60	-112.77
166.7.112.18	"07:24 am  Tuesday February 8, 2011"	"Glacier Creek +"	  47.40	 113.73
166.7.112.18	"07:32 am  Tuesday February 8, 2011"	"KALISPELL WB AP MT +"	  47.40	 113.73
166.3.38.129	"04:15 pm  Wednesday February 9, 2011"	"Crossing +"	  34.41	 110.96
166.3.38.129	"05:28 pm  Wednesday February 9, 2011"	"Crossing +"	  34.41	 110.96
170.144.117.195	"09:14 am  Thursday February 10, 2011"	"DENVER WB AP CO"	  39.77	-104.88
166.7.5.187	"09:14 am  Thursday February 10, 2011"	"OROFINO ID +"	  46.83	 114.79
170.144.74.47	"04:02 pm  Thursday February 10, 2011"	"OROFINO ID"	  46.48	-116.25
170.144.74.47	"04:11 pm  Thursday February 10, 2011"	"OROFINO ID"	  46.48	-116.25
170.144.74.47	"04:16 pm  Thursday February 10, 2011"	"OROFINO ID"	  46.48	-116.25
170.144.117.235	"05:11 pm  Thursday February 10, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.117.235	"05:13 pm  Thursday February 10, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.117.235	"05:15 pm  Thursday February 10, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.117.235	"05:22 pm  Thursday February 10, 2011"	"DENVER WB AP CO"	  39.77	-104.88
166.2.29.202	"07:21 am  Friday February 11, 2011"	"COBALT ID 2 +"	  45.08	 114.39
166.2.29.202	"07:56 am  Friday February 11, 2011"	"COBALT ID 2 +"	  45.08	 114.39
166.2.29.202	"08:05 am  Friday February 11, 2011"	"COBALT ID 2 +"	  45.08	 114.39
170.144.103.144	"10:48 am  Friday February 11, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.103.144	"10:49 am  Friday February 11, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.103.144	"10:54 am  Friday February 11, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.103.144	"11:13 am  Friday February 11, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.119.51	"09:06 am  Tuesday February 15, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.77.54	"09:38 am  Tuesday February 15, 2011"	"DENVER WB AP CO"	  39.77	-104.88
76.4.254.86	"12:17 pm  Tuesday February 15, 2011"	"MOSCOW U OF I ID"	  46.73	-117.00
170.144.78.30	"04:49 pm  Tuesday February 15, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.78.30	"04:50 pm  Tuesday February 15, 2011"	"DENVER WB AP CO"	  39.77	-104.88
170.144.77.150	"10:46 am  Wednesday February 16, 2011"	"LAKEPORT CA+ +"	  39.12	 122.78
170.144.71.211	"10:54 am  Wednesday February 16, 2011"	"MEADOW CREEK +"	  45.48	-111.63
170.144.71.211	"01:39 pm  Wednesday February 16, 2011"	"MEADOW CREEK +"	  45.48	-111.63
166.3.65.124	"03:18 pm  Wednesday February 16, 2011"	"JEMEZ SPRINGS NM"	  35.78	-106.68
166.3.65.124	"08:14 am  Thursday February 17, 2011"	"JEMEZ SPRINGS NM"	  35.78	-106.68
166.3.65.124	"08:41 am  Thursday February 17, 2011"	"JEMEZ SPRINGS NM"	  35.78	-106.68
166.3.65.124	"08:43 am  Thursday February 17, 2011"	"JEMEZ SPRINGS NM"	  35.78	-106.68
