
166.2.22.221	"03:52 pm  Friday December 31, 2010"	2	"SANTA MONICA PIER CA"	  34.02	-118.50
208.80.194.34	"04:12 pm  Saturday January 1, 2011"	1	""		
208.80.194.26	"03:00 am  Monday January 3, 2011"	1	""		
166.7.82.134	"11:24 am  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"11:25 am  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"11:28 am  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"11:28 am  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"11:29 am  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"11:29 am  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"11:29 am  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"11:30 am  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"11:30 am  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"11:36 am  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:18 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:18 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:19 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:19 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:19 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:19 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:20 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:20 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:20 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:21 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:21 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:21 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:26 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:26 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:26 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:27 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:27 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:28 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:28 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:28 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:29 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:29 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:29 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:29 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:30 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:30 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:31 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:31 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:31 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:31 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:32 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:32 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:32 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:33 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:33 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:33 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:35 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:35 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:35 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:35 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:35 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:36 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:36 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:36 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:37 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:37 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:37 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:38 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:39 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:39 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:39 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:39 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:40 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:40 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:40 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:41 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:41 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:41 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:42 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:42 pm  Monday January 3, 2011"	30	"GIBSON DAM MT"	  47.60	-112.77
166.7.82.134	"01:44 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:45 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:45 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:45 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:45 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:46 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:46 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:47 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:47 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:47 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:47 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:48 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:49 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:49 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:49 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:49 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:50 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:50 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:50 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:51 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:51 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:51 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:52 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:52 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:54 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:54 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:54 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:54 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:55 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:55 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:55 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:56 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:56 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:56 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:56 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:57 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:58 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:58 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:58 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:58 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:59 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:59 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"01:59 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:00 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:00 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:01 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:01 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:01 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:01 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:02 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:03 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:03 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:03 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:03 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:04 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.7.82.134	"02:04 pm  Monday January 3, 2011"	30	"CASTLE MOUNTAINS +"	  46.31	 110.46
166.2.16.215	"02:23 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:24 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:25 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:25 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:26 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:27 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:28 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:29 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:30 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:30 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:31 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:32 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
