
166.2.22.221	03:54 pm  Friday December 31, 2010	1	1	  SANTA MONICA PIER CA                  
166.7.46.85	01:33 pm  Tuesday January 4, 2011	30	30	  Antimony +                            
161.7.94.88	01:41 pm  Tuesday January 4, 2011	30	1	  COMBINATION_SNOTEL_410 MT             
161.7.94.88	01:42 pm  Tuesday January 4, 2011	30	1	  COMBINATION_SNOTEL_410 MT             
161.7.89.90	03:33 pm  Tuesday January 4, 2011	30	4	  DRUMMOND AVIATION MT                  
161.7.89.90	03:34 pm  Tuesday January 4, 2011	30	4	  DRUMMOND AVIATION MT                  
161.7.89.90	03:36 pm  Tuesday January 4, 2011	30	4	  DRUMMOND AVIATION MT                  
161.7.89.90	03:48 pm  Tuesday January 4, 2011	30	4	  DRUMMOND AVIATION MT                  
161.7.89.90	03:50 pm  Tuesday January 4, 2011	30	4	  COMBINATION_SNOTEL_410 MT             
166.7.46.85	10:23 am  Wednesday January 5, 2011	30	30	  Antimony +                            
161.7.92.139	02:41 pm  Wednesday January 5, 2011	30	2	  COMBINATION_SNOTEL_410 MT             
161.7.92.139	02:42 pm  Wednesday January 5, 2011	30	2	  COMBINATION_SNOTEL_410 MT             
166.7.46.85	12:44 pm  Thursday January 6, 2011	30	36	  Antimony +                            
24.203.155.121	02:08 pm  Thursday January 6, 2011	30	5	  N Y CENTRAL PRK NY                    
166.5.118.160	03:20 pm  Thursday January 6, 2011	10	5	  TRUCKEE RS CA                         
166.5.118.160	03:20 pm  Thursday January 6, 2011	10	5	  TRUCKEE RS CA                         
166.5.118.160	03:21 pm  Thursday January 6, 2011	10	5	  TRUCKEE RS CA                         
166.7.46.85	03:59 pm  Thursday January 6, 2011	30	2	  Antimony +                            
166.7.46.85	11:01 am  Friday January 7, 2011	30	5	  Antimony +                            
166.7.46.85	12:30 pm  Friday January 7, 2011	30	5	  Antimony +                            
166.7.46.85	01:59 pm  Friday January 7, 2011	30	5	  Antimony +                            
166.7.46.85	02:29 pm  Friday January 7, 2011	30	5	  Antimony +                            
170.144.71.211	12:21 pm  Monday January 10, 2011	30	1	  SEELEY LAKE RS MT 22.55 +             
161.7.84.37	01:22 pm  Tuesday January 11, 2011	30	1	  DRUMMOND AVIATION MT                  
161.7.84.37	01:25 pm  Tuesday January 11, 2011	30	2	  COMBINATION_SNOTEL_410 MT             
161.7.84.37	01:26 pm  Tuesday January 11, 2011	30	2	  COMBINATION_SNOTEL_410 MT             
161.7.100.139	02:02 pm  Tuesday January 11, 2011	30	1	  DRUMMOND AVIATION MT                  
161.7.100.139	02:03 pm  Tuesday January 11, 2011	30	1	  DRUMMOND AVIATION MT                  
161.7.100.139	02:04 pm  Tuesday January 11, 2011	30	2	  COMBINATION_SNOTEL_410 MT             
161.7.100.139	02:05 pm  Tuesday January 11, 2011	30	1	  COMBINATION_SNOTEL_410 MT             
161.7.100.139	02:06 pm  Tuesday January 11, 2011	30	3	  COMBINATION_SNOTEL_410 MT             
161.7.100.139	02:11 pm  Tuesday January 11, 2011	30	1	  DRUMMOND AVIATION MT                  
161.7.100.139	02:12 pm  Tuesday January 11, 2011	30	1	  DRUMMOND AVIATION MT                  
161.7.100.139	02:13 pm  Tuesday January 11, 2011	30	2	  COMBINATION_SNOTEL_410 MT             
161.7.100.139	02:14 pm  Tuesday January 11, 2011	30	1	  COMBINATION_SNOTEL_410 MT             
161.7.100.139	02:15 pm  Tuesday January 11, 2011	30	3	  COMBINATION_SNOTEL_410 MT             
166.7.46.85	05:21 pm  Wednesday January 12, 2011	30	4	  Antimony +                            
199.144.222.238	12:39 pm  Thursday January 13, 2011	30	5	  BANGOR DOW FIELD ME                   
72.16.201.66	02:15 pm  Thursday January 13, 2011	30	5	  TROUT CREEK RS MT 38.83+ +            
166.2.22.209	02:41 pm  Thursday January 13, 2011	30	5	  MOSCOW U OF I ID                      
166.6.147.13	12:49 pm  Thursday January 20, 2011	50	5	  LAYNG CK +                            
166.6.147.13	01:02 pm  Thursday January 20, 2011	50	27	  LAYNG CK +                            
166.6.147.13	01:27 pm  Thursday January 20, 2011	50	5	  LAYNG CK +                            
166.6.147.13	01:30 pm  Thursday January 20, 2011	50	27	  LAYNG CK +                            
166.6.147.13	01:49 pm  Thursday January 20, 2011	50	27	  LAYNG CK +                            
166.6.147.13	01:50 pm  Thursday January 20, 2011	50	10	  LAYNG CK +                            
166.6.147.13	01:57 pm  Thursday January 20, 2011	50	19	  LAYNG CK +                            
166.6.147.13	02:17 pm  Thursday January 20, 2011	25	19	  LAYNG CK +                            
166.6.147.13	02:22 pm  Thursday January 20, 2011	2	19	  LAYNG CK +                            
166.6.147.13	02:25 pm  Thursday January 20, 2011	2	10	  LAYNG CK +                            
166.6.147.13	02:26 pm  Thursday January 20, 2011	2	10	  LAYNG CK +                            
166.6.147.13	02:27 pm  Thursday January 20, 2011	25	10	  LAYNG CK +                            
166.6.147.13	02:28 pm  Thursday January 20, 2011	2	27	  LAYNG CK +                            
166.6.147.13	02:30 pm  Thursday January 20, 2011	25	27	  LAYNG CK +                            
166.6.147.13	02:31 pm  Thursday January 20, 2011	2	5	  LAYNG CK +                            
166.6.147.13	02:32 pm  Thursday January 20, 2011	25	5	  LAYNG CK +                            
166.6.147.13	02:43 pm  Thursday January 20, 2011	2	5	  LAYNG CK +                            
166.6.147.13	02:44 pm  Thursday January 20, 2011	25	5	  LAYNG CK +                            
166.6.147.13	02:45 pm  Thursday January 20, 2011	2	5	  LAYNG CK +                            
166.6.147.13	02:48 pm  Thursday January 20, 2011	2	5	  LAYNG CK +                            
166.6.147.13	02:49 pm  Thursday January 20, 2011	25	5	  LAYNG CK +                            
166.6.147.13	02:51 pm  Thursday January 20, 2011	2	27	  LAYNG CK +                            
166.6.147.13	02:52 pm  Thursday January 20, 2011	25	27	  LAYNG CK +                            
166.6.147.13	02:53 pm  Thursday January 20, 2011	2	10	  LAYNG CK +                            
166.6.147.13	02:54 pm  Thursday January 20, 2011	25	10	  LAYNG CK +                            
166.6.147.13	02:55 pm  Thursday January 20, 2011	2	19	  LAYNG CK +                            
166.6.147.13	02:56 pm  Thursday January 20, 2011	25	19	  LAYNG CK +                            
166.6.147.13	03:04 pm  Thursday January 20, 2011	2	19	  LAYNG CK +                            
166.6.147.13	03:04 pm  Thursday January 20, 2011	25	19	  LAYNG CK +                            
166.6.147.13	03:06 pm  Thursday January 20, 2011	25	19	  LAYNG CK +                            
166.6.147.13	03:07 pm  Thursday January 20, 2011	2	10	  LAYNG CK +                            
166.6.147.13	03:08 pm  Thursday January 20, 2011	25	10	  LAYNG CK +                            
166.6.147.13	03:10 pm  Thursday January 20, 2011	2	27	  LAYNG CK +                            
166.6.147.13	03:11 pm  Thursday January 20, 2011	25	27	  LAYNG CK +                            
166.6.147.13	03:13 pm  Thursday January 20, 2011	2	5	  LAYNG CK +                            
166.6.147.13	03:13 pm  Thursday January 20, 2011	25	5	  LAYNG CK +                            
166.6.147.13	10:40 am  Friday January 21, 2011	2	5	  LAYNG CK +                            
166.6.147.13	10:41 am  Friday January 21, 2011	25	5	  LAYNG CK +                            
166.6.147.13	10:43 am  Friday January 21, 2011	2	27	  LAYNG CK +                            
166.6.147.13	10:44 am  Friday January 21, 2011	25	27	  LAYNG CK +                            
166.6.147.13	10:47 am  Friday January 21, 2011	2	10	  LAYNG CK +                            
166.6.147.13	10:52 am  Friday January 21, 2011	25	10	  LAYNG CK +                            
166.6.147.13	10:53 am  Friday January 21, 2011	2	19	  LAYNG CK +                            
166.6.147.13	10:54 am  Friday January 21, 2011	25	19	  LAYNG CK +                            
166.6.147.13	11:36 am  Friday January 21, 2011	2	5	  LAYNG CK +                            
166.6.147.13	11:38 am  Friday January 21, 2011	25	5	  LAYNG CK +                            
166.6.147.13	11:40 am  Friday January 21, 2011	2	27	  LAYNG CK +                            
166.6.147.13	11:41 am  Friday January 21, 2011	25	27	  LAYNG CK +                            
166.6.147.13	12:05 pm  Friday January 21, 2011	25	27	  LAYNG CK +                            
166.6.147.13	12:06 pm  Friday January 21, 2011	2	10	  LAYNG CK +                            
166.6.147.13	12:06 pm  Friday January 21, 2011	25	10	  LAYNG CK +                            
166.6.147.13	12:08 pm  Friday January 21, 2011	2	19	  LAYNG CK +                            
166.6.147.13	12:08 pm  Friday January 21, 2011	25	19	  LAYNG CK +                            
87.107.115.156	00:40 am  Sunday January 30, 2011	1	1	  MOSCOW U OF I ID                      
207.32.194.8	09:32 pm  Monday January 31, 2011	30	5	  SAINT MARIES ID                       
166.7.136.95	09:51 am  Tuesday February 1, 2011	30	5	  EFM upper +                           
166.7.136.95	09:53 am  Tuesday February 1, 2011	30	5	  EFM upper +                           
166.7.136.95	09:54 am  Tuesday February 1, 2011	30	5	  EFM upper +                           
166.7.134.31	09:55 am  Tuesday February 1, 2011	30	5	  Charlie Preston +                     
166.7.134.31	10:30 am  Wednesday February 2, 2011	30	95	  Charlie Preston +                     
166.2.64.157	08:17 am  Friday February 4, 2011	30	2	  Iron Springs +                        
166.2.64.157	08:17 am  Friday February 4, 2011	30	2	  Iron Springs +                        
166.7.77.183	11:47 am  Wednesday February 9, 2011	30	11	  Cabin Gulch (2008) +                  
166.7.77.183	11:52 am  Wednesday February 9, 2011	30	9	  Cabin Gulch (2008) +                  
166.7.77.183	11:54 am  Wednesday February 9, 2011	30	9	  Cabin Gulch (2008) +                  
166.7.77.183	11:57 am  Wednesday February 9, 2011	30	11	  Cabin Gulch (2008) +                  
166.7.134.31	03:43 pm  Wednesday February 9, 2011	30	150	  Charlie Preston +                     
166.7.134.31	04:32 pm  Wednesday February 9, 2011	30	71	  Charlie Preston +                     
166.7.134.31	04:47 pm  Wednesday February 9, 2011		141	 Charlie Preston +                      
166.7.134.31	04:55 pm  Wednesday February 9, 2011	30	144	  Charlie Preston +                     
131.94.113.67	06:54 pm  Thursday February 10, 2011	30	11	  Schweitzer +                          
131.94.113.67	06:56 pm  Thursday February 10, 2011	30	11	  Schweitzer +                          
131.94.113.67	07:07 pm  Thursday February 10, 2011	30	4	  Schweitzer +                          
131.94.113.67	07:11 pm  Thursday February 10, 2011	30	5	  Schweitzer +                          
166.7.134.31	02:25 pm  Friday February 11, 2011	30	116	  Charlie Preston +                     
166.7.134.31	12:15 pm  Saturday February 12, 2011	50	15	  Charlie Preston 1 +                   
166.7.134.31	12:33 pm  Saturday February 12, 2011	30	15	  CHARLIE P ROADS +                     
166.7.134.31	01:01 pm  Saturday February 12, 2011	30	149	  CHARLIE P ROADS +                     
166.7.134.31	01:44 pm  Saturday February 12, 2011	30	192	  CHARLIE P ROADS +                     
166.7.134.31	03:26 pm  Saturday February 12, 2011	30	144	  CHARLIE P ROADS +                     
166.7.134.31	03:41 pm  Saturday February 12, 2011	30	71	  CHARLIE P ROADS +                     
166.7.134.31	03:56 pm  Sunday February 13, 2011	10	71	  CHARLIE P ROADS +                     
166.7.149.189	12:58 pm  Monday February 14, 2011	50	25	  EastResHigh +                         
166.7.149.189	01:07 pm  Monday February 14, 2011	50	27	  EastResHigh +                         
166.7.149.189	01:13 pm  Monday February 14, 2011	50	4	  EastResHigh +                         
166.7.149.189	01:15 pm  Monday February 14, 2011	50	5	  EastResHigh +                         
166.7.149.189	01:22 pm  Monday February 14, 2011	50	7	  EastResHigh +                         
166.7.149.189	01:32 pm  Monday February 14, 2011	50	31	  EastResHigh +                         
166.7.149.189	01:53 pm  Monday February 14, 2011	50	36	  EastResHigh +                         
166.7.149.189	02:00 pm  Monday February 14, 2011	50	25	  EastResHigh +                         
166.7.149.189	02:05 pm  Monday February 14, 2011	50	5	  EastResHigh +                         
166.7.149.189	02:14 pm  Monday February 14, 2011	50	35	  EastResHigh +                         
166.7.149.189	02:23 pm  Monday February 14, 2011	50	15	  EastResHigh +                         
166.7.149.189	02:31 pm  Monday February 14, 2011	50	21	  EastResHigh +                         
166.7.149.189	02:35 pm  Monday February 14, 2011	50	5	  EastResHigh +                         
166.7.149.189	02:37 pm  Monday February 14, 2011	50	4	  EastResHigh +                         
166.7.149.189	02:42 pm  Monday February 14, 2011	50	20	  EastResHigh +                         
166.7.149.189	06:56 am  Tuesday February 15, 2011	50	4	  EastResHigh +                         
166.7.149.189	06:59 am  Tuesday February 15, 2011	50	2	  EastResHigh +                         
166.7.149.189	07:21 am  Tuesday February 15, 2011	50	2	  EastResHigh +                         
166.7.149.189	07:23 am  Tuesday February 15, 2011	50	4	  EastResHigh +                         
166.7.149.189	07:29 am  Tuesday February 15, 2011	50	7	  EastResHigh +                         
166.7.149.189	07:35 am  Tuesday February 15, 2011	50	9	  EastResHigh +                         
166.7.149.189	07:38 am  Tuesday February 15, 2011	50	4	  EastResHigh +                         
166.7.149.189	07:41 am  Tuesday February 15, 2011	50	4	  EastResHigh +                         
166.7.149.189	07:42 am  Tuesday February 15, 2011	50	6	  EastResHigh +                         
166.7.149.189	07:45 am  Tuesday February 15, 2011	50	5	  EastResHigh +                         
131.94.113.67	06:56 pm  Tuesday February 15, 2011	30	5	  Schweitzer +                          
131.94.113.67	06:59 pm  Tuesday February 15, 2011	30	5	  Schweitzer +                          
131.94.113.67	07:07 pm  Tuesday February 15, 2011	30	5	  Schweitzer +                          
131.94.113.67	07:08 pm  Tuesday February 15, 2011	30	5	  Schweitzer +                          
131.94.113.67	07:09 pm  Tuesday February 15, 2011	30	5	  Schweitzer +                          
131.94.113.67	07:10 pm  Tuesday February 15, 2011	30	5	  Schweitzer +                          
131.94.113.67	07:11 pm  Tuesday February 15, 2011	30	5	  Schweitzer +                          
131.94.113.67	07:26 pm  Tuesday February 15, 2011	30	5	  Schweitzer +                          
170.144.85.227	07:41 pm  Tuesday February 15, 2011	30	5	  Schweitzer +                          
166.3.65.124	10:02 am  Wednesday February 16, 2011	30	1	  JEMEZ SPRINGS NM                      
166.3.65.124	10:03 am  Wednesday February 16, 2011	30	1	  JEMEZ SPRINGS NM                      
166.7.149.189	10:05 am  Wednesday February 16, 2011	50	56	  LibbyMine +                           
166.7.77.183	12:19 pm  Wednesday February 16, 2011	30	12	  Warm Springs 2010 +                   
166.7.77.183	12:24 pm  Wednesday February 16, 2011	30	12	  Warm Springs 2010 +                   
166.7.77.183	12:32 pm  Wednesday February 16, 2011	30	12	  Warm Springs 2010 +                   
166.7.149.189	10:45 am  Thursday February 17, 2011	50	2	  WolfPleasantValley +                  
166.7.149.189	10:46 am  Thursday February 17, 2011	50	2	  WolfPleasantValley +                  
166.7.149.189	10:48 am  Thursday February 17, 2011	50	2	  WolfPleasantValley +                  
166.7.149.189	10:54 am  Thursday February 17, 2011	50	1	  WolfPleasantValley +                  
166.7.149.189	10:59 am  Thursday February 17, 2011	50	5	  WolfPleasantValley +                  
166.7.149.189	11:10 am  Thursday February 17, 2011	50	5	  WolfPleasantValley +                  
166.7.149.189	11:16 am  Thursday February 17, 2011	50	3	  WolfPleasantValley +                  
166.7.149.189	11:58 am  Thursday February 17, 2011	50	4	  WolfPleasantValley +                  
166.7.149.189	01:02 pm  Thursday February 17, 2011	50	3	  LibbyTailings +                       
