166.2.22.221	"01:09 am  Tuesday January 1, 2013"	2	"SANDPOINT EXP STA ID"	  48.28	-116.57
109.213.237.46	"06:40 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"06:44 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"06:52 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"07:09 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"07:09 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"07:10 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"07:25 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"07:25 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"07:26 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"07:27 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"07:34 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"07:36 am  Tuesday January 1, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
69.144.241.90	"02:41 pm  Tuesday January 1, 2013"	30	"LIMA MT"	  44.65	-112.58
69.144.241.90	"02:42 pm  Tuesday January 1, 2013"	30	"LIMA MT"	  44.65	-112.58
69.144.241.90	"02:42 pm  Tuesday January 1, 2013"	30	"TROUT CREEK RS MT -20% +"	  47.87	-115.62
69.144.241.90	"02:43 pm  Tuesday January 1, 2013"	30	"TROUT CREEK RS MT -20% +"	  47.87	-115.62
69.144.241.90	"02:43 pm  Tuesday January 1, 2013"	30	"TROUT CREEK RS MT -20% +"	  47.87	-115.62
69.144.241.90	"02:43 pm  Tuesday January 1, 2013"	30	"TROUT CREEK RS MT -20% +"	  47.87	-115.62
69.144.241.90	"02:43 pm  Tuesday January 1, 2013"	30	"TROUT CREEK RS MT -20% +"	  47.87	-115.62
69.144.241.90	"02:49 pm  Tuesday January 1, 2013"	30	"TROUT CREEK RS MT_2 +"	  47.87	-115.62
69.144.241.90	"02:49 pm  Tuesday January 1, 2013"	30	"TROUT CREEK RS MT_2 +"	  47.87	-115.62
69.144.241.90	"02:51 pm  Tuesday January 1, 2013"	30	"TROUT CREEK RS MT_2 +"	  47.87	-115.62
69.144.241.90	"02:53 pm  Tuesday January 1, 2013"	30	"TROUT CREEK RS MT_2 +"	  47.87	-115.62
69.144.241.90	"02:55 pm  Tuesday January 1, 2013"	30	"TROUT CREEK RS MT_2 +"	  47.87	-115.62
161.55.10.35	"09:49 am  Wednesday January 2, 2013"	30	"MOUNT SHASTA CA"	  41.32	-122.32
72.95.126.9	"09:55 am  Wednesday January 2, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"09:56 am  Wednesday January 2, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"09:56 am  Wednesday January 2, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"09:57 am  Wednesday January 2, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
67.211.84.249	"11:24 am  Wednesday January 2, 2013"	30	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
216.227.119.89	"11:26 am  Wednesday January 2, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"11:29 am  Wednesday January 2, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"11:30 am  Wednesday January 2, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"01:08 pm  Wednesday January 2, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"01:14 pm  Wednesday January 2, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
109.213.237.46	"05:24 am  Thursday January 3, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.213.237.46	"05:34 am  Thursday January 3, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
216.227.119.89	"08:36 am  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"08:38 am  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"08:41 am  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
69.144.241.90	"10:00 am  Thursday January 3, 2013"	30	"LIBBY 1 NE RS MT +"	  48.40	-115.53
216.227.119.89	"10:01 am  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
69.144.241.90	"10:02 am  Thursday January 3, 2013"	30	"LIBBY 1 NE RS MT"	  48.40	-115.53
69.144.241.90	"10:02 am  Thursday January 3, 2013"	30	"LIBBY 1 NE RS MT"	  48.40	-115.53
216.227.119.89	"10:02 am  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
69.144.241.90	"10:02 am  Thursday January 3, 2013"	50	"LIBBY 1 NE RS MT"	  48.40	-115.53
69.144.241.90	"10:04 am  Thursday January 3, 2013"	50	"LIBBY 1 NE RS MT"	  48.40	-115.53
69.144.241.90	"10:05 am  Thursday January 3, 2013"	50	"LIBBY 1 NE RS MT"	  48.40	-115.53
69.144.241.90	"10:05 am  Thursday January 3, 2013"	50	"LIBBY 1 NE RS MT"	  48.40	-115.53
69.144.241.90	"10:06 am  Thursday January 3, 2013"	50	"LIBBY 1 NE RS MT"	  48.40	-115.53
69.144.241.90	"10:06 am  Thursday January 3, 2013"	50	"LIBBY 1 NE RS MT"	  48.40	-115.53
69.144.241.90	"10:07 am  Thursday January 3, 2013"	50	"LIBBY 1 NE RS MT"	  48.40	-115.53
216.227.119.89	"10:29 am  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"10:45 am  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"10:49 am  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.119.89	"01:44 pm  Thursday January 3, 2013"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
