166.2.22.221	01:28 am  Tuesday January 1, 2013	1	1	  SANDPOINT EXP STA ID                  
166.5.71.175	01:25 pm  Monday January 14, 2013	30	5	  MOUNT SHASTA CA                       
166.7.118.36	11:23 am  Thursday January 24, 2013	30	45	  SEELEY LAKE RS MT                     
166.7.118.36	11:30 am  Thursday January 24, 2013	30	45	  SEELEY LAKE RS MT                     
166.7.118.36	01:48 pm  Thursday January 24, 2013	30	46	  SEELEY LAKE RS MT                     
166.5.227.138	01:22 pm  Monday January 28, 2013	30	5	  FLAGSTAFF WB AP AZ                    
166.7.111.133	08:11 am  Wednesday January 30, 2013	50	16	  Generic Flathead NF +                 
166.7.111.133	08:21 am  Wednesday January 30, 2013	50	16	  Generic Flathead NF +                 
166.7.111.133	08:25 am  Wednesday January 30, 2013	50	16	  Generic Flathead NF +                 
166.6.82.94	04:01 pm  Wednesday January 30, 2013	30	8	  MITCHELL 17 SW OCH OR +               
134.197.42.121	06:29 pm  Wednesday January 30, 2013	30	5	  MOUNT SHASTA CA                       
166.6.82.94	07:42 am  Thursday January 31, 2013	30	8	  MITCHELL 17 SW OCH OR +               
166.6.82.94	08:06 am  Thursday January 31, 2013	30	8	  MITCHELL 17 SW OCH OR +               
166.6.82.94	08:07 am  Thursday January 31, 2013	30	8	  MITCHELL 17 SW OCH OR +               
170.144.81.75	09:14 am  Friday February 1, 2013	30	2	  MITCHELL 17 SW OCH OR +               
12.29.26.18	12:12 pm  Friday February 1, 2013	50	14	  GILBERT AR                            
12.29.26.18	12:15 pm  Friday February 1, 2013	50	14	  GILBERT AR                            
166.2.21.246	05:21 pm  Tuesday February 12, 2013	30	41	  GOLD BEACH RS OR                      
166.2.21.246	03:01 pm  Wednesday February 13, 2013	30	1	  GOLD BEACH RS OR                      
166.2.21.246	03:03 pm  Wednesday February 13, 2013	30	19	  GOLD BEACH RS OR                      
166.2.21.246	03:06 pm  Wednesday February 13, 2013	30	39	  GOLD BEACH RS OR                      
166.2.21.246	03:59 pm  Wednesday February 13, 2013	30	799	  GOLD BEACH RS OR                      
166.2.21.246	04:07 pm  Wednesday February 13, 2013	30	399	  GOLD BEACH RS OR                      
166.2.21.246	02:27 pm  Thursday February 14, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.246	03:56 pm  Thursday February 14, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.246	04:03 pm  Thursday February 14, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.246	04:11 pm  Thursday February 14, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.246	09:46 am  Friday February 15, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.246	10:50 am  Friday February 15, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.246	11:35 am  Friday February 15, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.246	01:11 pm  Friday February 15, 2013	30	25	  TAHOE CA                              
166.2.21.246	02:23 pm  Friday February 15, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.246	03:27 pm  Friday February 15, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.246	04:36 pm  Friday February 15, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.246	04:43 pm  Friday February 15, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.246	08:31 am  Tuesday February 19, 2013	30	304	  GOLD BEACH RS OR                      
170.144.71.101	02:17 pm  Tuesday February 19, 2013	30	60	  Magdalena RD +                        
166.7.48.197	07:40 am  Thursday February 21, 2013	30	801	  12 Tamarack Project +                 
166.7.48.197	07:58 am  Thursday February 21, 2013	30	11	  12 Tamarack Project +                 
166.7.48.197	08:02 am  Thursday February 21, 2013	30	11	  12 Tamarack Project +                 
166.7.48.197	08:04 am  Thursday February 21, 2013	30	11	  12 Tamarack Project +                 
166.7.48.197	08:13 am  Thursday February 21, 2013	30	800	  12 Tamarack Project +                 
166.7.48.197	10:07 am  Thursday February 21, 2013	30	101	  12 Tamarack Project +                 
166.7.48.197	10:08 am  Thursday February 21, 2013	30	800	  12 Tamarack Project +                 
166.7.48.197	10:18 am  Thursday February 21, 2013	30	100	  12 Tamarack Project +                 
166.7.48.197	10:24 am  Thursday February 21, 2013	30	100	  12 Tamarack Project +                 
166.7.48.197	10:29 am  Thursday February 21, 2013	30	100	  12 Tamarack Project +                 
166.7.48.197	10:34 am  Thursday February 21, 2013	30	100	  12 Tamarack Project +                 
166.7.48.197	10:39 am  Thursday February 21, 2013	30	100	  12 Tamarack Project +                 
166.7.48.197	10:44 am  Thursday February 21, 2013	30	100	  12 Tamarack Project +                 
166.7.48.197	10:52 am  Thursday February 21, 2013	30	193	  12 Tamarack Project +                 
166.7.48.197	11:19 am  Thursday February 21, 2013	30	193	  12 Tamarack Project +                 
166.7.48.197	11:24 am  Thursday February 21, 2013	30	100	  12 Tamarack Project +                 
166.7.48.197	11:28 am  Thursday February 21, 2013	30	93	  12 Tamarack Project +                 
166.7.48.197	11:39 am  Thursday February 21, 2013	30	93	  12 Tamarack Project +                 
166.7.48.197	11:44 am  Thursday February 21, 2013	30	93	  12 Tamarack Project +                 
166.7.48.197	01:17 pm  Thursday February 21, 2013	30	88	  12 Tamarack Project +                 
166.7.48.197	01:21 pm  Thursday February 21, 2013	30	91	  12 Tamarack Project +                 
166.7.48.197	01:45 pm  Thursday February 21, 2013	30	91	  12 Tamarack Project +                 
166.7.48.197	07:17 am  Friday February 22, 2013	30	99	  12 Tamarack Project +                 
166.7.48.197	07:21 am  Friday February 22, 2013	30	99	  12 Tamarack Project +                 
166.7.48.197	07:25 am  Friday February 22, 2013	30	99	  12 Tamarack Project +                 
166.7.48.197	07:30 am  Friday February 22, 2013	30	89	  12 Tamarack Project +                 
166.7.48.197	07:34 am  Friday February 22, 2013	30	93	  12 Tamarack Project +                 
166.7.48.197	07:37 am  Friday February 22, 2013	30	61	  12 Tamarack Project +                 
166.7.48.197	07:47 am  Friday February 22, 2013	30	86	  12 Tamarack Project +                 
166.7.48.197	07:53 am  Friday February 22, 2013	30	94	  12 Tamarack Project +                 
166.7.48.197	07:56 am  Friday February 22, 2013	30	69	  12 Tamarack Project +                 
166.7.48.197	07:59 am  Friday February 22, 2013	30	62	  12 Tamarack Project +                 
166.7.48.197	08:03 am  Friday February 22, 2013	30	85	  12 Tamarack Project +                 
166.7.48.197	08:05 am  Friday February 22, 2013	30	20	  12 Tamarack Project +                 
166.7.48.197	08:26 am  Friday February 22, 2013	30	107	  12 Tamarack Project +                 
166.7.48.197	08:56 am  Friday February 22, 2013	30	106	  12 Tamarack Project +                 
166.7.48.197	11:35 am  Friday February 22, 2013	30	100	  12 Tamarack Project +                 
166.7.48.197	11:39 am  Friday February 22, 2013	30	100	  12 Tamarack Project +                 
158.68.66.254	09:08 am  Monday February 25, 2013	30	1	  CASCADIA R S OR +                     
158.68.66.254	09:10 am  Monday February 25, 2013	30	1	  CASCADIA R S OR +                     
158.68.66.254	10:21 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:23 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:24 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:24 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:25 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:27 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:29 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:29 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:31 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:31 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:39 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:39 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:40 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:40 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:41 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:42 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:43 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
158.68.66.254	10:43 am  Monday February 25, 2013	30	1	  ELKTON 2 W OR                         
