64.126.175.127	01:30 am  Wednesday January 1, 2014	1	1	  MOUNT SHASTA CA                       
166.7.46.86	12:35 pm  Thursday January 9, 2014	30	5	  BIRMINGHAM WB AP AL                   
166.7.101.38	11:55 am  Thursday January 23, 2014		1	
166.7.101.38	11:58 am  Thursday January 23, 2014	30	1	  MYSTIC LAKE MT +                      
158.68.192.16	08:28 am  Tuesday January 28, 2014	100	5	  GRAND JUNCTION WBAP CO                
166.7.46.217	08:54 am  Thursday January 30, 2014	30	200	  CenterHorse_01302014 +                
166.4.123.71	10:00 am  Monday February 3, 2014	30	2	  Tunis,  +                             
64.222.104.61	03:11 pm  Tuesday February 4, 2014	30	5	  SEXTON SUMMIT WB OR                   
64.222.104.61	03:50 pm  Tuesday February 4, 2014	30	5	  OLYMPIA WB AP WA                      
166.7.137.5	10:35 am  Wednesday February 5, 2014	30	13	  Deer Creek #1 +                       
166.7.137.5	12:37 pm  Wednesday February 5, 2014	30	13	  Deer Creek #1 +                       
166.7.137.5	12:52 pm  Wednesday February 5, 2014	30	2	  Deer Creek #1 +                       
166.7.137.5	12:55 pm  Wednesday February 5, 2014	30	14	  Deer Creek #1 +                       
166.7.137.5	01:04 pm  Wednesday February 5, 2014	30	14	  Deer Creek #1 +                       
166.7.137.5	01:05 pm  Wednesday February 5, 2014	30	8	  Deer Creek #1 +                       
166.7.137.5	01:11 pm  Wednesday February 5, 2014	30	8	  Kriest_#2 +                           
166.7.137.5	01:12 pm  Wednesday February 5, 2014	30	8	  Deer Creek #1 +                       
166.7.137.5	01:19 pm  Wednesday February 5, 2014	30	67	  Kriest_#2 +                           
166.7.137.5	01:29 pm  Wednesday February 5, 2014	30	67	  Kriest_#2 +                           
166.7.137.5	01:34 pm  Wednesday February 5, 2014	30	67	  Deer Creek #1 +                       
166.7.137.5	02:57 pm  Wednesday February 5, 2014	30	247	  Deer Creek #1 +                       
166.7.101.38	10:55 am  Thursday February 6, 2014	30	3	  MYSTIC LAKE MT +                      
166.7.101.38	03:34 pm  Thursday February 6, 2014	30	3	  MYSTIC LAKE MT +                      
170.144.74.13	03:39 pm  Friday February 7, 2014	30	24	  MYSTIC LAKE MT                        
170.144.74.13	03:46 pm  Friday February 7, 2014	30	33	  MYSTIC LAKE MT                        
170.144.74.13	03:53 pm  Friday February 7, 2014	30	38	  MYSTIC LAKE MT                        
166.6.82.95	07:42 am  Monday February 10, 2014	30	2	  Jackson Creek +                       
166.6.82.95	07:42 am  Monday February 10, 2014	30	2	  Jackson Creek +                       
166.6.82.95	09:53 am  Monday February 10, 2014	30	4	  Lower Deep Creek +                    
166.6.82.95	09:53 am  Monday February 10, 2014	30	6	  Lower Deep Creek +                    
166.6.82.95	09:54 am  Monday February 10, 2014	30	2	  Lower Deep Creek +                    
