166.2.22.221	"03:16 pm  Thursday January 1, 2015"	10	"BREWTON 3 SSE AL +"	  31.07	 -87.05
216.17.156.204	"01:35 pm  Monday January 5, 2015"	30	"HOT SPRINGS SD"	  43.43	-103.47
61.135.189.181	"02:43 pm  Monday January 5, 2015"		""		
66.249.65.177	"02:08 pm  Wednesday January 7, 2015"		""		
166.7.101.103	"07:54 am  Thursday January 8, 2015"	30	"MYSTIC LAKE MT"	  45.23	-109.75
68.14.216.100	"01:14 pm  Thursday January 8, 2015"	10	"MIAMI AZ"	  33.40	-110.88
97.90.79.22	"01:15 pm  Thursday January 8, 2015"	10	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.5.81.47	"03:31 pm  Thursday January 8, 2015"	10	"MOUNT SHASTA CA"	  41.32	-122.32
166.5.81.47	"03:33 pm  Thursday January 8, 2015"	30	"MOUNT SHASTA CA"	  41.32	-122.32
166.5.81.47	"03:34 pm  Thursday January 8, 2015"	30	"MOUNT SHASTA CA"	  41.32	-122.32
166.5.81.47	"04:18 pm  Thursday January 8, 2015"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.95.97.228	"06:24 am  Friday January 9, 2015"	10	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
71.95.97.228	"06:27 am  Friday January 9, 2015"	10	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
71.95.97.228	"06:27 am  Friday January 9, 2015"	10	"SEXTON SUMMIT WB OR"	  42.62	-123.37
71.95.97.228	"06:27 am  Friday January 9, 2015"	10	"SEXTON SUMMIT WB OR"	  42.62	-123.37
97.90.79.22	"11:07 am  Friday January 9, 2015"	10	"MIAMI AZ"	  33.40	-110.88
97.90.79.22	"11:08 am  Friday January 9, 2015"	10	"MIAMI AZ"	  33.40	-110.88
97.90.79.22	"11:08 am  Friday January 9, 2015"	10	"MIAMI AZ"	  33.40	-110.88
97.90.79.22	"11:13 am  Friday January 9, 2015"	100	"MIAMI AZ"	  33.40	-110.88
166.6.137.105	"12:58 pm  Friday January 9, 2015"	30	"Thomas Creek 2014 +"	  45.37	 118.60
166.6.137.105	"01:01 pm  Friday January 9, 2015"	30	"Thomas Creek 2014 +"	  45.37	 118.60
166.6.137.105	"01:12 pm  Friday January 9, 2015"	30	"Thomas Creek 2014 +"	  45.37	 118.60
166.6.137.105	"01:13 pm  Friday January 9, 2015"	30	"Thomas Creek 2014 +"	  45.37	 118.60
166.6.137.105	"01:14 pm  Friday January 9, 2015"	30	"Thomas Creek 2014 +"	  45.37	 118.60
166.6.137.105	"01:16 pm  Friday January 9, 2015"	30	"Thomas Creek 2014 +"	  45.37	 118.60
166.2.53.140	"03:54 pm  Friday January 9, 2015"	10	""		
166.2.53.140	"03:54 pm  Friday January 9, 2015"	10	"RENO WSFO AP NV"	  39.50	-119.78
174.51.194.221	"04:07 pm  Friday January 9, 2015"	10	"DENVER WB AP CO"	  39.77	-104.88
174.51.194.221	"04:09 pm  Friday January 9, 2015"	10	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
146.243.239.148	"04:34 am  Monday January 12, 2015"	10	"WORCESTER CAA AP MA"	  42.27	 -71.87
172.17.67.203	"05:28 am  Monday January 12, 2015"	10	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
174.47.172.2	"09:06 am  Monday January 12, 2015"	10	"DENVER WB AP CO"	  39.77	-104.88
174.47.172.2	"09:07 am  Monday January 12, 2015"	10	"DENVER WB AP CO"	  39.77	-104.88
199.131.126.201	"10:17 am  Monday January 12, 2015"	10	"ALLENTOWN BETH WBAP PA"	  40.65	 -75.43
199.131.126.201	"10:17 am  Monday January 12, 2015"	10	"ALLENTOWN BETH WBAP PA"	  40.65	 -75.43
166.7.133.90	"12:32 pm  Monday January 12, 2015"	10	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"12:38 pm  Monday January 12, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.2.23.116	"01:45 pm  Monday January 12, 2015"	10	"Redfish Lake Idaho +"	  44.13	 114.88
166.2.23.116	"01:46 pm  Monday January 12, 2015"	10	"Redfish Lake Idaho +"	  44.13	 114.88
166.2.23.116	"02:57 pm  Monday January 12, 2015"	10	"Redfish Lake Idaho +"	  44.13	 114.88
61.135.189.181	"06:51 am  Tuesday January 13, 2015"		""		
166.7.136.77	"09:33 am  Tuesday January 13, 2015"	10	"EFM +"	  48.88	 116.26
166.7.133.90	"09:33 am  Tuesday January 13, 2015"	10	"WALLACE WDLND PK ID +"	  47.50	-115.88
166.7.133.90	"09:51 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:16 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:16 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:16 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:16 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:16 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:16 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:16 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:16 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:16 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:16 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:16 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"11:17 am  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
158.68.66.254	"11:57 am  Tuesday January 13, 2015"	10	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"12:05 pm  Tuesday January 13, 2015"	10	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"12:07 pm  Tuesday January 13, 2015"	10	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"12:13 pm  Tuesday January 13, 2015"	5	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"12:17 pm  Tuesday January 13, 2015"	5	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"12:23 pm  Tuesday January 13, 2015"	5	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"12:24 pm  Tuesday January 13, 2015"	5	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"12:25 pm  Tuesday January 13, 2015"	5	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"01:16 pm  Tuesday January 13, 2015"	10	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"01:18 pm  Tuesday January 13, 2015"	10	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"01:21 pm  Tuesday January 13, 2015"	10	"OR GULCH +"	  42.33	 122.71
158.68.66.254	"01:22 pm  Tuesday January 13, 2015"	5	"OR GULCH +"	  42.33	 122.71
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"01:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
