166.2.22.221	"03:15 pm  Thursday January 1, 2015"	"BREWTON 3 SSE AL +"	  31.07	 -87.05
84.232.8.73	"05:02 am  Friday January 2, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
108.243.157.193	"01:30 pm  Friday January 2, 2015"	"DONIPHAN MO"	  36.62	 -90.83
138.67.128.64	"01:09 pm  Sunday January 4, 2015"	"DENVER WB AP CO"	  39.77	-104.88
138.67.128.64	"01:12 pm  Sunday January 4, 2015"	"DENVER WB AP CO"	  39.77	-104.88
84.232.8.73	"01:16 am  Monday January 5, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
95.17.141.110	"01:41 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"02:12 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"02:27 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"02:32 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"02:36 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"02:46 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"02:48 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"02:54 am  Monday January 5, 2015"	""		
95.17.141.110	"02:54 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"03:00 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"03:00 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"03:03 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"03:58 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"04:11 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"04:12 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"04:12 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"04:27 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"04:32 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"04:34 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"04:34 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"04:36 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"04:40 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"04:41 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"04:41 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"06:15 am  Monday January 5, 2015"	"Ciudad Jardín, Alicante +"	  38.37	   0.49
95.17.141.110	"07:05 am  Monday January 5, 2015"	""		
84.126.168.231	"03:09 pm  Monday January 5, 2015"	"CASTELLON +"	  39.95	  -0.07
84.126.168.231	"03:10 pm  Monday January 5, 2015"	"CASTELLON +"	  39.95	  -0.07
84.232.8.73	"00:43 am  Tuesday January 6, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
84.232.8.73	"00:48 am  Tuesday January 6, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
84.232.8.73	"00:49 am  Tuesday January 6, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
84.232.8.73	"00:51 am  Tuesday January 6, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
84.232.8.73	"01:02 am  Tuesday January 6, 2015"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
84.232.8.73	"01:07 am  Tuesday January 6, 2015"	"San Javier España +"	  37.78	   0.00
84.126.168.231	"01:18 am  Tuesday January 6, 2015"	"CASTELLON +"	  39.95	  -0.07
84.126.168.231	"01:21 am  Tuesday January 6, 2015"	"CASTELLON +"	  39.95	  -0.07
84.126.168.231	"01:26 am  Tuesday January 6, 2015"	"CASTELLON +"	  39.95	  -0.07
70.210.148.48	"11:23 am  Tuesday January 6, 2015"	"VCNP +"	  35.90	 106.48
70.210.148.48	"11:24 am  Tuesday January 6, 2015"	"VCNP +"	  35.90	 106.48
70.210.148.48	"11:46 am  Tuesday January 6, 2015"	"VCNP +"	  35.90	 106.48
70.210.148.48	"11:47 am  Tuesday January 6, 2015"	"VCNP +"	  35.90	 106.48
70.210.148.48	"11:48 am  Tuesday January 6, 2015"	"VCNP +"	  35.90	 106.48
83.42.160.73	"01:14 am  Thursday January 8, 2015"	"Castellon, Spain + +"	  39.95	  -0.07
83.42.160.73	"01:19 am  Thursday January 8, 2015"	"Castellon, Spain + +"	  39.95	  -0.07
83.54.97.56	"11:25 am  Friday January 9, 2015"	"Puerto de Navacerrada, Spain +"	  40.00	  -4.00
83.54.97.56	"11:27 am  Friday January 9, 2015"	"Puerto de Navacerrada, Spain +"	  40.00	  -4.00
