
24.9.117.224	"09:58 am  Friday January 1, 2016"	10	"DENVER WB AP CO"	  39.77	-104.88
40.77.167.56	"11:22 pm  Friday January 1, 2016"		""		
207.46.13.65	"09:16 am  Monday January 4, 2016"		""		
173.160.40.174	"10:01 am  Monday January 4, 2016"	10	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.7.101.136	"03:40 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:40 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:40 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:40 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:40 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:40 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:40 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:55 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:55 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:55 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:55 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:55 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:55 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
166.7.101.136	"03:55 pm  Monday January 4, 2016"	50	"BRANDERBERG MT +"	  45.32	 106.27
180.190.185.113	"06:29 pm  Monday January 4, 2016"	10	"Iloilo City - Philippines  +"	 -36.37	-146.71
180.190.185.113	"07:29 pm  Monday January 4, 2016"	10	"Iloilo City - Philippines  +"	 -36.37	-146.71
180.190.185.113	"07:35 pm  Monday January 4, 2016"	10	"Iloilo City - Philippines  +"	 -36.37	-146.71
