
166.2.22.221	"01:27 am  Friday January 1, 2016"	"Canyon Creek BAER + +"	  44.18	 118.87
204.124.92.254	"12:40 pm  Tuesday January 5, 2016"	"Lewistown, MT +"	  46.65	-112.27
204.124.92.254	"12:43 pm  Tuesday January 5, 2016"	"Lewistown, MT +"	  46.65	-112.27
134.197.80.133	"03:30 pm  Tuesday January 5, 2016"	"MOUNT SHASTA CA"	  41.32	-122.32
164.159.62.2	"11:49 am  Thursday January 7, 2016"	"MOSCOW U OF I ID"	  46.73	-117.00
198.22.133.211	"01:40 pm  Monday January 11, 2016"	"MOUNT SHASTA CA"	  41.32	-122.32
198.22.133.211	"01:44 pm  Monday January 11, 2016"	"MOUNT SHASTA CA"	  41.32	-122.32
165.83.47.253	"03:57 pm  Monday January 11, 2016"	"SEXTON SUMMIT WB OR"	  42.62	-123.37
165.83.47.253	"04:00 pm  Monday January 11, 2016"	"SEXTON SUMMIT WB OR"	  42.62	-123.37
165.83.47.253	"04:01 pm  Monday January 11, 2016"	"SEXTON SUMMIT WB OR"	  42.62	-123.37
165.83.47.253	"04:02 pm  Monday January 11, 2016"	"SEXTON SUMMIT WB OR"	  42.62	-123.37
165.83.47.253	"04:02 pm  Monday January 11, 2016"	"SEXTON SUMMIT WB OR"	  42.62	-123.37
165.83.47.253	"04:03 pm  Monday January 11, 2016"	"SEXTON SUMMIT WB OR"	  42.62	-123.37
165.83.47.253	"04:04 pm  Monday January 11, 2016"	"SEXTON SUMMIT WB OR"	  42.62	-123.37
165.83.47.253	"04:05 pm  Monday January 11, 2016"	"SEXTON SUMMIT WB OR"	  42.62	-123.37
24.108.150.147	"09:25 pm  Monday January 11, 2016"	"CONCRETE WA"	  48.53	-121.75
24.108.150.147	"09:26 pm  Monday January 11, 2016"	"CONCRETE WA"	  48.53	-121.75
166.2.113.90	"10:24 am  Wednesday January 13, 2016"	"CEDAR CITY AP UT"	  37.70	-113.10
166.2.41.202	"05:12 am  Thursday January 14, 2016"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
50.78.200.89	"10:26 am  Thursday January 14, 2016"	"WALSENBURG CO"	  37.63	-104.78
166.2.22.198	"11:03 am  Thursday January 14, 2016"	"Fossil OR +"	  44.98	 120.22
158.68.66.254	"03:37 pm  Thursday January 14, 2016"	"WALLACE WDLND PK ID"	  47.50	-115.88
165.83.47.253	"04:15 pm  Thursday January 14, 2016"	"JODA +"	  44.36	 119.38
165.83.47.253	"04:23 pm  Thursday January 14, 2016"	"JODA +"	  44.36	 119.38
