166.2.22.221	"01:23 am  Friday January 1, 2016"	"Canyon Creek BAER + +"	  44.18	 118.87
69.92.25.80	"03:31 pm  Tuesday January 12, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"03:34 pm  Tuesday January 12, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"03:47 pm  Tuesday January 12, 2016"	"NFk noadjust +"	  48.69	 117.81
69.92.25.80	"03:48 pm  Tuesday January 12, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"03:52 pm  Tuesday January 12, 2016"	"MidSouthFork unadjust +"	  48.69	 117.81
69.92.25.80	"03:52 pm  Tuesday January 12, 2016"	"MidSouthFork unadjust +"	  48.69	 117.81
69.92.25.80	"03:54 pm  Tuesday January 12, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"04:02 pm  Tuesday January 12, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"04:05 pm  Tuesday January 12, 2016"	"NFk noadjust +"	  48.69	 117.81
69.92.25.80	"04:09 pm  Tuesday January 12, 2016"	"COLVILLE WB AP WA"	  48.53	-117.87
218.241.214.114	"04:50 pm  Tuesday January 12, 2016"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
69.92.25.80	"05:24 pm  Tuesday January 12, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"05:25 pm  Tuesday January 12, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"11:37 am  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"11:44 am  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"11:50 am  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"11:52 am  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"11:53 am  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"11:54 am  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"11:55 am  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"11:58 am  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"12:01 pm  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"12:10 pm  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"12:19 pm  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
69.92.25.80	"12:20 pm  Thursday January 14, 2016"	"MidSouthFork +"	  48.61	 117.71
