166.2.22.221	"02:30 pm  Tuesday January 3, 2017"	"FENN RS ID + +"	  46.10	-115.55
166.6.143.101	"03:22 pm  Friday January 20, 2017"	"POMEROY WA +"	  46.19	 117.47
166.6.143.101	"03:24 pm  Friday January 20, 2017"	"POMEROY WA +"	  46.19	 117.47
166.6.143.101	"03:25 pm  Friday January 20, 2017"	"POMEROY WA +"	  46.19	 117.47
166.6.143.101	"03:26 pm  Friday January 20, 2017"	"POMEROY WA +"	  46.19	 117.47
166.6.143.101	"03:29 pm  Friday January 20, 2017"	"POMEROY WA +"	  46.19	 117.47
166.6.143.101	"02:37 pm  Monday January 23, 2017"	"POMEROY WA +"	  46.19	 117.47
166.3.38.174	"11:12 am  Thursday January 26, 2017"	"ALPINE AZ"	  33.85	-109.13
166.2.64.141	"01:58 pm  Monday January 30, 2017"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.2.64.141	"02:01 pm  Monday January 30, 2017"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.2.64.141	"02:02 pm  Monday January 30, 2017"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.2.64.141	"02:02 pm  Monday January 30, 2017"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.7.136.65	"09:52 am  Thursday February 2, 2017"	"LIBBY 1 NE RS MT +"	  48.36	 115.49
166.2.77.41	"02:14 pm  Thursday February 2, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"02:14 pm  Thursday February 2, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"02:38 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"02:49 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"02:56 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"02:59 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"02:59 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"03:01 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"03:04 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"03:04 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"03:07 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"03:09 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"03:13 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"03:20 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"03:22 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"03:26 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.77.41	"03:28 pm  Friday February 3, 2017"	"Moon Lake, UT +"	  40.57	 110.32
166.2.17.227	"01:10 pm  Monday February 6, 2017"	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.17.227	"01:13 pm  Monday February 6, 2017"	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.17.227	"01:16 pm  Monday February 6, 2017"	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.17.227	"01:18 pm  Monday February 6, 2017"	"DEADWOOD DAM ID"	  44.32	-115.63
