IP	Date and time	hills	version	climate	lat	long
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	1618		"Salish Good DistWEPP +"	48.46	114.59
166.7.111.71	"01:23 pm  Tuesday January 2, 2018"	853		"Salish Good DistWEPP +"	48.46	114.59
166.7.111.71	"02:04 pm  Tuesday January 2, 2018"	1012		"Salish Good DistWEPP +"	48.46	114.59
166.7.111.71	"02:57 pm  Tuesday January 2, 2018"	422		"Salish Good DistWEPP +"	48.46	114.59
166.7.111.71	"03:14 pm  Tuesday January 2, 2018"	799		"Salish Good DistWEPP +"	48.46	114.59
166.7.111.71	"06:45 am  Thursday January 4, 2018"	89		"Salish Good DistWEPP +"	48.46	114.59
166.7.111.71	"06:56 am  Thursday January 4, 2018"	1946		"Salish Good DistWEPP +"	48.46	114.59
166.7.111.71	"10:22 am  Thursday January 4, 2018"	799		"Salish Good DistWEPP +"	48.46	114.59
166.2.22.236	"08:08 am  Thursday January 25, 2018"	683		"BugCreek +"	46.33	114.34
166.2.22.236	"08:56 am  Thursday January 25, 2018"	683		"BugCreek +"	46.33	114.34
166.2.22.236	"04:57 am  Friday January 26, 2018"	523		"CrystalCedarMT +"	48.5	114.19
66.86.91.5	"11:40 am  Wednesday February 21, 2018"	4		"BATTLE MTN AP NV"	40.6	-116.87
66.86.91.5	"11:50 am  Wednesday February 21, 2018"	3		"BATTLE MTN AP NV"	40.6	-116.87
66.86.91.5	"12:54 pm  Wednesday February 21, 2018"	2		"BATTLE MTN AP NV"	40.6	-116.87
66.86.91.5	"01:40 pm  Wednesday February 21, 2018"	8		"BATTLE MTN AP NV"	40.6	-116.87
66.86.91.5	"03:22 pm  Wednesday February 21, 2018"	10		"BATTLE MTN AP NV"	40.6	-116.87
166.7.101.116	"01:20 pm  Monday March 5, 2018"	47		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"01:36 pm  Monday March 5, 2018"	47		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"01:42 pm  Monday March 5, 2018"	47		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"06:45 am  Wednesday March 7, 2018"	1574		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"08:11 am  Wednesday March 7, 2018"	48		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"08:33 am  Wednesday March 7, 2018"	41		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"08:54 am  Wednesday March 7, 2018"	264		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"09:03 am  Wednesday March 7, 2018"	371		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"09:13 am  Wednesday March 7, 2018"	48		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"09:48 am  Wednesday March 7, 2018"	47		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"10:16 am  Wednesday March 7, 2018"	85		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"10:20 am  Wednesday March 7, 2018"	47		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"10:23 am  Wednesday March 7, 2018"	47		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"10:28 am  Wednesday March 7, 2018"	1064		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"12:45 pm  Wednesday March 7, 2018"	502		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"12:54 pm  Wednesday March 7, 2018"	498		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"01:03 pm  Wednesday March 7, 2018"	64		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"01:09 pm  Wednesday March 7, 2018"	64		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"01:12 pm  Wednesday March 7, 2018"	64		"BRANDERBERG MT_mod2 +"	45.46	105.99
166.7.101.116	"07:02 am  Thursday March 8, 2018"	4		"BRANDERBERG MT_mod2 +"	45.46	105.99
