166.2.22.221	"00:32 am  Monday January 1, 2018"	10	"Cove Fire CA +"	  41.89	 120.82
100.43.85.106	"03:55 am  Monday January 1, 2018"		""		
66.249.79.24	"07:16 am  Monday January 1, 2018"		""		
106.120.173.144	"01:26 pm  Monday January 1, 2018"		""		
50.37.82.50	"03:22 pm  Monday January 1, 2018"		""		
50.37.82.50	"03:22 pm  Monday January 1, 2018"		""		
66.87.139.185	"07:36 pm  Monday January 1, 2018"		""		
118.71.251.244	"08:39 am  Tuesday January 2, 2018"		""		
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:28 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"12:29 pm  Tuesday January 2, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
