166.2.22.221	"00:33 am  Monday January 1, 2018"	"Cove Fire CA +"	  41.89	 120.82
199.159.128.176	"08:12 am  Thursday January 11, 2018"	"DENVER WB AP CO"	  39.77	-104.88
172.56.42.148	"01:54 pm  Thursday January 18, 2018"	"MOSCOW U OF I ID"	  46.73	-117.00
166.2.139.32	"01:24 pm  Wednesday January 24, 2018"	"DENVER WB AP CO"	  39.77	-104.88
166.2.22.123	"01:14 pm  Friday January 26, 2018"	"CHARLESTON KAN AP WV"	  38.37	 -81.60
71.196.196.71	"02:14 pm  Monday January 29, 2018"	"DENVER WB AP CO"	  39.77	-104.88
71.196.196.71	"02:57 pm  Monday January 29, 2018"	"DENVER WB AP CO"	  39.77	-104.88
71.196.196.71	"09:41 am  Thursday February 1, 2018"	"ALAMOSA WB AP CO"	  37.43	-105.85
71.196.196.71	"09:42 am  Thursday February 1, 2018"	"ALAMOSA WB AP CO"	  37.43	-105.85
71.196.196.71	"09:48 am  Thursday February 1, 2018"	"ALAMOSA WB AP CO"	  37.43	-105.85
71.196.196.71	"09:49 am  Thursday February 1, 2018"	"ALAMOSA WB AP CO"	  37.43	-105.85
71.196.196.71	"09:49 am  Thursday February 1, 2018"	"ALAMOSA WB AP CO"	  37.43	-105.85
150.131.75.237	"02:08 pm  Friday February 9, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
150.131.75.237	"02:10 pm  Friday February 9, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
150.131.75.237	"02:16 pm  Friday February 9, 2018"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
150.131.75.237	"02:16 pm  Friday February 9, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.5.118.239	"11:37 am  Monday February 12, 2018"	"TAHOE CITY CROSS CA SNOTEL"	  39.17	-120.15
150.131.77.191	"12:55 pm  Tuesday February 20, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
63.153.71.163	"12:15 pm  Wednesday February 21, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
66.109.147.134	"07:11 am  Thursday February 22, 2018"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
