166.2.22.221	"00:28 am  Monday January 1, 2018"	30	"SANDPOINT EXP STA ID"	  48.28	-116.57
100.43.85.106	"00:42 am  Monday January 1, 2018"	1	""		
100.43.85.106	"03:09 am  Tuesday January 2, 2018"	1	""		
24.22.179.132	"10:14 am  Tuesday January 2, 2018"	1	"COLVILLE WB AP WA"	  48.53	-117.87
24.22.179.132	"10:15 am  Tuesday January 2, 2018"	20	"COLVILLE WB AP WA"	  48.53	-117.87
24.22.179.132	"10:19 am  Tuesday January 2, 2018"	20	"COLVILLE WB AP WA"	  48.53	-117.87
24.22.179.132	"10:20 am  Tuesday January 2, 2018"	20	"COLVILLE WB AP WA"	  48.53	-117.87
106.120.173.144	"02:34 pm  Tuesday January 2, 2018"	1	""		
96.93.100.217	"03:31 pm  Tuesday January 2, 2018"	30	"MOSCOW U OF I ID"	  46.73	-117.00
207.46.13.77	"09:22 am  Wednesday January 3, 2018"	1	""		
100.43.85.106	"06:42 pm  Wednesday January 3, 2018"	1	""		
207.46.13.77	"11:19 pm  Wednesday January 3, 2018"	1	""		
100.43.85.106	"00:41 am  Friday January 5, 2018"	1	""		
74.209.0.230	"09:52 am  Friday January 5, 2018"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
74.209.0.230	"09:53 am  Friday January 5, 2018"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
74.209.0.230	"09:54 am  Friday January 5, 2018"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
74.209.0.230	"09:55 am  Friday January 5, 2018"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
74.209.0.230	"09:55 am  Friday January 5, 2018"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
74.209.0.230	"09:57 am  Friday January 5, 2018"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
74.209.0.230	"09:58 am  Friday January 5, 2018"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
74.209.0.230	"09:58 am  Friday January 5, 2018"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
74.209.0.230	"10:01 am  Friday January 5, 2018"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
74.209.0.230	"10:02 am  Friday January 5, 2018"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
74.209.0.230	"10:02 am  Friday January 5, 2018"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
161.55.198.94	"04:06 pm  Friday January 5, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
161.55.198.94	"04:08 pm  Friday January 5, 2018"	30	"PACKWOOD WA"	  46.62	-121.67
161.55.198.94	"04:14 pm  Friday January 5, 2018"	1	"PACKWOOD WA"	  46.62	-121.67
100.43.85.106	"10:52 pm  Saturday January 6, 2018"	1	""		
106.120.173.144	"04:16 am  Monday January 8, 2018"	1	""		
152.8.78.161	"09:28 am  Monday January 8, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
152.8.78.161	"09:31 am  Monday January 8, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
137.161.255.14	"03:37 pm  Monday January 8, 2018"	30	"RIVERSIDE CA"	  33.97	-117.35
137.161.255.14	"03:43 pm  Monday January 8, 2018"	30	"RIVERSIDE CA"	  33.97	-117.35
137.161.255.14	"03:55 pm  Monday January 8, 2018"	30	"RIVERSIDE CA"	  33.97	-117.35
137.161.255.14	"03:58 pm  Monday January 8, 2018"	30	"RIVERSIDE CA"	  33.97	-117.35
137.161.255.14	"03:59 pm  Monday January 8, 2018"	30	"RIVERSIDE CA"	  33.97	-117.35
137.161.255.14	"09:11 am  Tuesday January 9, 2018"	30	"RIVERSIDE CA"	  33.97	-117.35
137.161.255.14	"09:18 am  Tuesday January 9, 2018"	30	"RIVERSIDE CA"	  33.97	-117.35
100.43.85.106	"11:33 am  Tuesday January 9, 2018"	1	""		
68.189.115.13	"11:02 am  Wednesday January 10, 2018"	30	"MANZANITA LAKE CA"	  40.53	-121.57
166.7.136.43	"12:23 pm  Wednesday January 10, 2018"	30	"MOSCOW U OF I ID"	  46.73	-117.00
166.3.47.193	"03:06 pm  Wednesday January 10, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
147.46.214.198	"09:39 pm  Wednesday January 10, 2018"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
209.193.106.62	"09:54 pm  Wednesday January 10, 2018"	30	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"01:01 pm  Thursday January 11, 2018"	30	"MOSCOW U OF I ID"	  46.73	-117.00
166.3.47.193	"01:14 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.2.22.188	"01:21 pm  Thursday January 11, 2018"	30	"TAHOE CA"	  39.17	-120.15
166.3.47.193	"01:35 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:37 pm  Thursday January 11, 2018"	30	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:38 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:38 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:42 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:43 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:44 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:46 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:50 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:51 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:52 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:53 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:54 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:56 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"01:58 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
209.193.106.158	"01:59 pm  Thursday January 11, 2018"	10	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"01:59 pm  Thursday January 11, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
166.3.47.193	"01:59 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:00 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:05 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:06 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:06 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:07 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:09 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
209.193.106.158	"02:10 pm  Thursday January 11, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
166.3.47.193	"02:11 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:12 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:13 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:15 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:17 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:17 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:18 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:20 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:21 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:21 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:22 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"02:28 pm  Thursday January 11, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
100.43.85.106	"03:06 am  Friday January 12, 2018"	1	""		
209.193.106.158	"07:27 am  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"07:28 am  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
71.93.0.102	"10:24 am  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"10:25 am  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"10:47 am  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
209.193.106.158	"10:47 am  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"10:48 am  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"10:49 am  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"10:49 am  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"10:50 am  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"10:58 am  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"10:58 am  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"10:59 am  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
71.93.0.102	"11:21 am  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
209.193.106.158	"12:09 pm  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"12:09 pm  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"12:10 pm  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"12:10 pm  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"12:10 pm  Friday January 12, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
71.93.0.102	"01:53 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
137.161.255.14	"01:59 pm  Friday January 12, 2018"	30	"RIVERSIDE CA"	  33.97	-117.35
137.161.255.14	"02:00 pm  Friday January 12, 2018"	30	"RIVERSIDE CA"	  33.97	-117.35
71.93.0.102	"02:06 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"02:06 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"02:12 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"02:14 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
137.161.255.14	"02:19 pm  Friday January 12, 2018"	50	"RIVERSIDE CA"	  33.97	-117.35
137.161.255.14	"02:20 pm  Friday January 12, 2018"	50	"RIVERSIDE CA"	  33.97	-117.35
137.161.255.14	"02:29 pm  Friday January 12, 2018"	50	"RIVERSIDE CA"	  33.97	-117.35
71.93.0.102	"05:18 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:23 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:26 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:29 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:34 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:35 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:37 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:39 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:39 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:42 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:46 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:50 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:56 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:57 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:59 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"05:59 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"06:04 pm  Friday January 12, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
106.120.173.144	"05:30 pm  Saturday January 13, 2018"	1	""		
100.43.85.106	"09:04 pm  Saturday January 13, 2018"	1	""		
71.93.0.102	"02:13 pm  Monday January 15, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"02:19 pm  Monday January 15, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"02:23 pm  Monday January 15, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"02:27 pm  Monday January 15, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"02:32 pm  Monday January 15, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
71.93.0.102	"02:36 pm  Monday January 15, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
100.43.85.106	"06:12 am  Tuesday January 16, 2018"	1	""		
71.15.212.10	"11:44 am  Tuesday January 16, 2018"	30	"DENVER WB AP CO"	  39.77	-104.88
209.193.106.158	"12:53 pm  Tuesday January 16, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"12:53 pm  Tuesday January 16, 2018"	30	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"12:54 pm  Tuesday January 16, 2018"	1	"MOSCOW U OF I ID"	  46.73	-117.00
209.193.106.158	"12:59 pm  Tuesday January 16, 2018"	1	"COBALT ID"	  45.08	-114.23
209.193.106.158	"01:00 pm  Tuesday January 16, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"01:00 pm  Tuesday January 16, 2018"	1	"COBALT ID"	  45.08	-114.23
209.193.106.158	"01:00 pm  Tuesday January 16, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"01:00 pm  Tuesday January 16, 2018"	10	"COBALT ID"	  45.08	-114.23
209.193.106.158	"01:00 pm  Tuesday January 16, 2018"	10	"COBALT ID"	  45.08	-114.23
84.254.2.21	"00:46 am  Wednesday January 17, 2018"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.6.193.104	"09:31 am  Wednesday January 17, 2018"	5	"SEXTON SUMMIT WB OR"	  42.62	-123.37
209.193.106.158	"12:36 pm  Wednesday January 17, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"12:37 pm  Wednesday January 17, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"12:39 pm  Wednesday January 17, 2018"	1	"COBALT ID"	  45.08	-114.23
209.193.106.158	"12:49 pm  Wednesday January 17, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"12:50 pm  Wednesday January 17, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"12:50 pm  Wednesday January 17, 2018"	30	"COBALT ID"	  45.08	-114.23
166.7.61.146	"01:02 pm  Wednesday January 17, 2018"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.7.61.146	"01:07 pm  Wednesday January 17, 2018"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
72.46.201.78	"04:02 pm  Wednesday January 17, 2018"	30	"MOUNT SHASTA CA"	  41.32	-122.32
98.232.187.213	"05:50 pm  Wednesday January 17, 2018"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
93.158.161.160	"07:53 pm  Wednesday January 17, 2018"	1	""		
166.7.48.176	"05:28 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
166.7.48.176	"05:36 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
166.7.48.176	"05:40 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
166.7.48.176	"05:46 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
166.7.48.176	"05:59 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
166.7.48.176	"06:03 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
166.7.48.176	"06:05 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
166.7.48.176	"06:08 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
