
166.2.22.221	"12:00 pm  Thursday March 7, 2019"	"FENN RS ID + +"	  46.10	-115.55
147.46.229.146	"10:50 pm  Tuesday March 12, 2019"	"Chupung-lyeong  + +"	  37.13	 127.59
65.125.206.130	"04:20 am  Wednesday March 13, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
65.125.206.130	"04:20 am  Wednesday March 13, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
65.125.206.130	"04:21 am  Wednesday March 13, 2019"	"MOSCOW U OF I ID"	  46.73	-117.00
65.125.206.130	"04:22 am  Wednesday March 13, 2019"	"SEXTON SUMMIT WB OR"	  42.62	-123.37
184.178.124.87	"11:13 am  Wednesday March 13, 2019"	"SANTA BARBARA CA"	  34.42	-119.72
198.22.133.211	"11:52 am  Wednesday March 13, 2019"	"ALABAMA STATE FARM AL +"	  34.68	 -86.88
31.4.157.240	"11:51 pm  Wednesday March 13, 2019"	"Gerona, Spain REAL +"	  41.05	   2.21
31.4.157.240	"00:07 am  Thursday March 14, 2019"	"Gerona, Spain REAL +"	  41.05	   2.21
184.178.124.87	"12:37 pm  Thursday March 14, 2019"	"SANTA BARBARA CA"	  34.42	-119.72
193.137.169.135	"03:05 pm  Thursday March 14, 2019"	"MOSCOW U OF I ID"	  46.73	-117.00
37.26.147.191	"08:17 am  Saturday March 16, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
37.130.149.57	"12:51 pm  Sunday March 17, 2019"	"MARANCHON GUADALAJARA +"	  41.05	  -2.21
37.130.149.57	"01:14 pm  Sunday March 17, 2019"	"MARANCHON GUADALAJARA +"	  41.05	  -2.21
37.130.149.57	"01:17 pm  Sunday March 17, 2019"	"MARANCHON GUADALAJARA +"	  41.05	  -2.21
193.146.109.18	"06:22 am  Monday March 18, 2019"	"CHARLESTON KAN AP WV"	  38.37	 -81.60
193.146.109.18	"06:25 am  Monday March 18, 2019"	"Orense, Spain +"	  42.40	  -7.86
185.167.90.5	"01:31 pm  Wednesday March 20, 2019"	"MARANCHON + + +"	  41.05	  -2.21
185.167.90.5	"01:34 pm  Wednesday March 20, 2019"	"MARANCHON + + + +"	  41.05	  -2.21
185.167.90.5	"01:36 pm  Wednesday March 20, 2019"	"MARANCHON + + + +"	  41.05	  -2.21
185.167.90.5	"01:37 pm  Wednesday March 20, 2019"	"MARANCHON + + + +"	  41.05	  -2.21
185.167.90.5	"01:37 pm  Wednesday March 20, 2019"	"MARANCHON + + + +"	  41.05	  -2.21
185.167.90.5	"01:38 pm  Wednesday March 20, 2019"	"MARANCHON + + + +"	  41.05	  -2.21
185.167.90.5	"01:39 pm  Wednesday March 20, 2019"	"MARANCHON + + + +"	  41.05	  -2.21
185.167.90.5	"01:46 pm  Wednesday March 20, 2019"	"MARANCHON + + + +"	  41.05	  -2.21
185.167.90.5	"01:55 pm  Wednesday March 20, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
185.167.90.5	"02:07 pm  Wednesday March 20, 2019"	"Guadalajara 2005 +"	  41.05	   2.21
185.167.90.5	"02:14 pm  Wednesday March 20, 2019"	"Guadalajara 2005 +"	  41.05	   2.21
185.167.90.5	"02:24 pm  Wednesday March 20, 2019"	"Guadalajara 2005 +"	  41.05	   2.21
185.167.90.5	"02:27 pm  Wednesday March 20, 2019"	"Guadalajara 2005 +"	  41.05	   2.21
166.2.22.165	"12:04 pm  Thursday March 21, 2019"	"MOSCOW U OF I IDmt +"	  46.85	 116.96
166.2.22.165	"12:05 pm  Thursday March 21, 2019"	"MOSCOW U OF I IDmt +"	  46.85	 116.96
166.2.22.165	"12:05 pm  Thursday March 21, 2019"	"MOSCOW U OF I IDmt +"	  46.85	 116.96
185.167.90.5	"12:40 pm  Thursday March 21, 2019"	"Guadalajara 2005 +"	  41.05	   2.21
185.167.90.5	"12:43 pm  Thursday March 21, 2019"	"Guadalajara 2005 +"	  41.05	   2.21
185.167.90.5	"12:50 pm  Thursday March 21, 2019"	"Guadalajara 2005 +"	  41.05	   2.21
185.167.90.5	"12:51 pm  Thursday March 21, 2019"	"Guadalajara 2005 +"	  41.05	   2.21
185.167.90.5	"12:54 pm  Thursday March 21, 2019"	"Guadalajara 2005 +"	  41.05	   2.21
185.167.90.5	"01:11 pm  Thursday March 21, 2019"	"Guadalajara 2005 +"	  41.05	   2.21
185.167.90.5	"01:15 pm  Thursday March 21, 2019"	"Guadalajara 2005 +"	  41.05	   2.21
