
166.2.22.221	"12:07 pm  Thursday March 7, 2019"	"Canyon Creek BAER + +"	  44.18	 118.87
166.3.6.43	"08:09 am  Tuesday March 12, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.3.6.43	"08:09 am  Tuesday March 12, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.7.122.49	"03:05 pm  Tuesday March 12, 2019"	"Gold Hill1 +"	  47.01	 116.80
207.34.170.125	"10:23 am  Thursday March 14, 2019"	"ANACORTES WA +"	  48.52	-122.62
204.124.92.254	"02:05 pm  Friday March 29, 2019"	"ARBON 2NW ID +"	  42.54	 112.53
204.124.92.254	"03:25 pm  Friday March 29, 2019"	"ARBON 2NW ID +"	  42.54	 112.53
204.124.92.254	"10:03 am  Tuesday April 9, 2019"	"ARBON 2NW ID +"	  42.54	 112.53
204.124.92.254	"12:29 pm  Tuesday April 16, 2019"	"ARBON 2NW ID +"	  42.54	 112.53
204.124.92.254	"12:32 pm  Tuesday April 16, 2019"	"ARBON 2NW ID +"	  42.54	 112.53
76.113.33.122	"12:58 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.12	"02:23 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"02:29 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.12	"02:29 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.179.110	"02:29 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.12	"02:29 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"02:29 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"02:29 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"02:29 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"02:29 pm  Tuesday April 16, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
