
166.2.22.221	"12:10 pm  Thursday March 7, 2019"	2	"SANDPOINT EXP STA ID"	  48.28	-116.57
170.144.231.241	"12:13 pm  Thursday March 7, 2019"	30	"SAN DIEGO Power +"	  32.84	 116.65
170.144.231.241	"12:14 pm  Thursday March 7, 2019"	30	"SAN DIEGO Power +"	  32.84	 116.65
170.144.231.241	"12:48 pm  Thursday March 7, 2019"	30	"SAN DIEGO Power +"	  32.84	 116.65
170.144.231.241	"12:49 pm  Thursday March 7, 2019"	30	"SAN DIEGO Power +"	  32.84	 116.65
170.144.231.241	"12:51 pm  Thursday March 7, 2019"	30	"SAN DIEGO Power +"	  32.84	 116.65
170.144.231.241	"12:53 pm  Thursday March 7, 2019"	30	"SAN DIEGO Power +"	  32.84	 116.65
170.144.231.241	"12:54 pm  Thursday March 7, 2019"	30	"SAN DIEGO Power +"	  32.84	 116.65
170.144.231.241	"12:56 pm  Thursday March 7, 2019"	30	"SAN DIEGO Power +"	  32.84	 116.65
170.144.231.241	"12:57 pm  Thursday March 7, 2019"	30	"SAN DIEGO Power +"	  32.84	 116.65
170.144.231.241	"12:59 pm  Thursday March 7, 2019"	30	"SAN DIEGO Power +"	  32.84	 116.65
170.144.231.241	"01:23 pm  Thursday March 7, 2019"	30	"SAN DIEGO Power +"	  32.84	 116.65
173.165.133.234	"04:05 pm  Thursday March 7, 2019"	30	"MOSCOW U OF I ID"	  46.73	-117.00
173.165.133.234	"04:06 pm  Thursday March 7, 2019"	30	"MOSCOW U OF I ID"	  46.73	-117.00
178.154.244.142	"08:17 pm  Friday March 8, 2019"	1	""		
178.154.244.142	"05:38 am  Saturday March 9, 2019"	1	""		
106.120.173.144	"04:24 pm  Saturday March 9, 2019"	1	""		
170.144.239.99	"10:43 am  Monday March 11, 2019"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
170.144.239.99	"11:01 am  Monday March 11, 2019"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
134.49.226.204	"11:26 am  Monday March 11, 2019"	30	"RUBICON #2 CA SNOTEL"	  39.00	-120.13
134.49.226.204	"11:26 am  Monday March 11, 2019"	30	"RUBICON #2 CA SNOTEL"	  39.00	-120.13
207.46.13.200	"09:32 pm  Monday March 11, 2019"	1	""		
206.123.180.150	"12:59 pm  Wednesday March 13, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.150	"01:10 pm  Wednesday March 13, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
72.174.247.86	"09:38 am  Thursday March 14, 2019"	30	"LIBBY 1 NE RS MT"	  48.40	-115.53
47.37.56.221	"12:16 pm  Thursday March 14, 2019"	5	"STEVENSVILLE MT PR1 + +"	  45.95	 114.02
