170.144.239.44	"09:32 am  Friday April 10, 2020"	4	2018.04.01	"*_LIVINGSTON_CAA_AP_MT_PR1_ _ "
169.237.45.183	"02:44 pm  Tuesday April 14, 2020"	36	2018.04.01	"*_LAKEPORT_CA"
169.237.45.183	"02:59 pm  Tuesday April 14, 2020"	36	2018.04.01	"*_LAKEPORT_CA"
128.120.234.2	"09:42 am  Tuesday April 28, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
128.120.234.2	"09:43 am  Tuesday April 28, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
128.120.234.2	"09:46 am  Tuesday April 28, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
128.120.234.2	"09:47 am  Tuesday April 28, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"04:45 pm  Tuesday April 28, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
128.120.234.143	"01:40 pm  Wednesday April 29, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
128.120.234.143	"01:51 pm  Wednesday April 29, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
128.120.251.193	"03:25 pm  Tuesday May 5, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
68.189.12.146	"12:13 pm  Thursday May 7, 2020"	7	2018.04.01	"*_SHASTA_DAM_CA1_ "
68.189.12.146	"12:19 pm  Thursday May 7, 2020"	7	2018.04.01	"*_SHASTA_DAM_CA1_ "
76.20.47.162	"05:34 pm  Thursday May 7, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"05:55 pm  Thursday May 7, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"06:05 pm  Thursday May 7, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"06:13 pm  Thursday May 7, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"06:23 pm  Thursday May 7, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"06:35 pm  Thursday May 7, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"07:10 pm  Thursday May 7, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"07:11 pm  Thursday May 7, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"07:17 pm  Thursday May 7, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"07:26 pm  Thursday May 7, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"07:32 pm  Thursday May 7, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"12:40 pm  Friday May 8, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"12:47 pm  Friday May 8, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
76.20.47.162	"03:31 pm  Friday May 8, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
128.120.234.96	"05:02 pm  Tuesday May 12, 2020"	18	2018.04.01	"*_LAKEPORT_CA"
68.189.12.146	"03:18 pm  Monday June 1, 2020"	982	2018.04.01	"*_Brandy_Creek_ "
68.189.12.146	"04:49 pm  Monday June 1, 2020"	82	2018.04.01	"*_Brandy_Creek_ "
68.189.12.146	"05:09 pm  Monday June 1, 2020"	82	2018.04.01	"*_Brandy_Creek_ "
68.189.12.146	"03:12 pm  Tuesday June 2, 2020"	224	2018.04.01	"*_Brandy_Creek_ "
68.189.12.146	"04:33 pm  Tuesday June 2, 2020"	224	2018.04.01	"*_Brandy_Creek_ "
68.189.12.146	"09:10 pm  Tuesday June 2, 2020"	105	2018.04.01	"*_Getty_ "
68.189.12.146	"07:25 am  Wednesday June 3, 2020"	105	2018.04.01	"*_Getty_ "
68.189.12.146	"02:03 pm  Wednesday June 3, 2020"	105	2018.04.01	"*_Getty_ "
68.189.12.146	"04:11 pm  Wednesday June 3, 2020"	318	2018.04.01	"*_Brandy_Creek_ "
68.189.12.146	"12:40 pm  Thursday June 4, 2020"	469	2018.04.01	"*_Brandy_Creek_ "
68.189.12.146	"03:10 pm  Thursday June 4, 2020"	469	2018.04.01	"*_Brandy_Creek_ "
68.189.12.146	"01:04 pm  Monday June 8, 2020"	99	2018.04.01	"*_Getty_ "
68.189.12.146	"07:09 am  Tuesday June 9, 2020"	99	2018.04.01	"*_Getty_ "
68.189.12.146	"09:51 am  Tuesday June 9, 2020"	149	2018.04.01	"*_Montecito1_ "
68.189.12.146	"10:37 am  Tuesday June 9, 2020"	149	2018.04.01	"*_Montecito1_ "
170.144.198.174	"06:58 pm  Wednesday June 17, 2020"	10	2017.02.03	"*_Scorpion_Fire_ "
170.144.198.174	"07:03 pm  Wednesday June 17, 2020"	10	2017.02.03	"*_Scorpion_Fire_ "
170.144.200.75	"01:54 pm  Tuesday June 30, 2020"	26	2018.04.01	"*__ "
170.144.200.75	"01:56 pm  Tuesday June 30, 2020"	26	2018.04.01	"*_LZ3_ "
170.144.200.75	"02:01 pm  Tuesday June 30, 2020"	26	2018.04.01	"*_LZ3_ "
170.144.200.75	"02:03 pm  Tuesday June 30, 2020"	25	2018.04.01	"*_LZ3_ "
170.144.200.75	"02:06 pm  Tuesday June 30, 2020"	19	2018.04.01	"*_LZ3_ "
170.144.200.75	"02:19 pm  Tuesday June 30, 2020"	19	2018.04.01	"*_LZ3_ "
170.144.200.75	"02:21 pm  Tuesday June 30, 2020"	19	2017.02.03	"*_LZ3_ "
170.144.200.75	"02:22 pm  Tuesday June 30, 2020"	19	2017.02.03	"*_LZ3_ "
170.144.200.75	"02:22 pm  Tuesday June 30, 2020"	19	2017.02.03	"*__ "
170.144.200.75	"02:22 pm  Tuesday June 30, 2020"	19	2017.02.03	"*__ "
170.144.200.75	"02:24 pm  Tuesday June 30, 2020"	19	2018.04.01	"*_LZ3_ "
170.144.200.75	"02:26 pm  Tuesday June 30, 2020"	19	2018.04.01	"*_LZ3_ "
170.144.200.75	"02:27 pm  Tuesday June 30, 2020"	19	2018.04.01	"*_LZ3_ "
170.144.200.75	"02:44 pm  Tuesday June 30, 2020"	19	2018.04.01	"*_ROOSEVELT_AZ_ "
170.144.200.75	"03:27 pm  Tuesday June 30, 2020"	26	2018.04.01	"*_ROOSEVELT_AZ_ "
170.144.200.75	"04:04 pm  Tuesday June 30, 2020"	65	2018.04.01	"*_MORMON_FLAT_AZ"
170.144.200.75	"04:15 pm  Tuesday June 30, 2020"	65	2018.04.01	"*_MORMON_FLAT_AZ"
170.144.234.65	"08:18 am  Wednesday July 1, 2020"	12	2018.04.01	"*_PAYSON_WB_CITY_AZ_ "
170.144.234.65	"09:09 am  Wednesday July 1, 2020"	130	2018.04.01	"*_PAYSON_WB_CITY_AZ_modified_ "
170.144.246.129	"03:00 pm  Monday July 6, 2020"	26	2018.04.01	"*_ROOSEVELT_AZ_ "
170.144.220.88	"09:07 pm  Tuesday July 7, 2020"	75	2018.04.01	"*_Poeville_Fire_ "
170.144.246.91	"08:14 am  Wednesday July 8, 2020"	13	2018.04.01	"*_LSM34_CAREFREE_AZ_ "
170.144.246.91	"08:27 am  Wednesday July 8, 2020"	19	2018.04.01	"*_LSM_2_CAREFREE_AZ_ _ "
