	"04:59 pm  Friday April 15, 2011"			""
166.2.22.221	"04:52 pm  Tuesday May 31, 2011"			""
166.2.22.221	"05:34 pm  Tuesday May 31, 2011"	0	2011.05.31	"Single_Climate"
166.2.22.221	"05:37 pm  Tuesday May 31, 2011"		2011.05.31	"Single_Climate"
166.2.22.221	"05:37 pm  Tuesday May 31, 2011"		2011.05.31	"Single_Climate"
166.2.22.221	"05:39 pm  Tuesday May 31, 2011"		2011.05.31	"Single_Climate"
166.2.22.221	"05:40 pm  Tuesday May 31, 2011"	1	2011.05.31	"Single_Climate"
166.2.22.221	"05:41 pm  Tuesday May 31, 2011"	2	2011.05.31	"Single_Climate"
166.2.22.221	"05:44 pm  Tuesday May 31, 2011"	2	2011.05.31	"Single_Climate"
166.2.22.221	"05:55 pm  Tuesday May 31, 2011"	0	2011.05.31	"Single_Climate"
166.2.22.221	"05:55 pm  Tuesday May 31, 2011"	0	2011.05.31	"Single_Climate"
166.2.22.221	"05:56 pm  Tuesday May 31, 2011"	0	2011.05.31	"Single_Climate"
166.2.22.221	"05:56 pm  Tuesday May 31, 2011"	10	2011.05.31	"Single_Climate"
