 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-155295.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-155295.slp                        
       CLIMATE: ../working/wepp-155295.cli                        
       Station:  LAKEPORT CA - Mend2 +                          CLIGEN VERSION  4.31
          SOIL: ../working/wepp-155295.sol                        
      PLANE  1 HIGH                loam                
      PLANE  2 HIGH                loam                


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

        65     892.20       2       0.96       2      55.58


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.192 kg/m2 **
      ** Maximum Soil Loss  =    0.344 kg/m2 at  121.95 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 169.52    0.192     0.130      0.344  121.95     0.001     0.61

  B.  AREA OF SOIL DEPOSITION

      ** Soil Deposition (Avg. of Net Deposition Areas) =    -0.033 kg/m2 **
      ** Maximum Soil Deposition  =    -0.052 kg/m2 at  182.93 meters **

      Area of    Soil Dep   Soil Dep     MAX    MAX Dep   MIN   MIN Dep
      Net Dep       MEAN     STDEV       Dep     Point    Dep    Point
        (m)       (kg/m2)    (kg/m2)   (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
 179.27- 182.93   -0.033     0.028     -0.052  182.93     0.000   180.49



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   0.61     0.001  1       41.47     0.116  1      103.66     0.329  2
   1.22     0.001  1       42.08     0.119  1      104.88     0.330  2
   1.83     0.001  1       42.69     0.122  1      106.10     0.331  2
   2.44     0.001  1       43.30     0.125  1      107.32     0.333  2
   3.05     0.001  1       43.91     0.128  1      108.54     0.334  2
   3.66     0.001  1       44.52     0.131  1      109.76     0.335  2
   4.27     0.001  1       45.13     0.134  1      110.98     0.336  2
   4.88     0.001  1       45.73     0.137  1      112.20     0.337  2
   5.49     0.001  1       46.34     0.140  1      113.42     0.338  2
   6.10     0.001  1       46.95     0.143  1      114.64     0.339  2
   6.71     0.001  1       47.56     0.146  1      115.86     0.340  2
   7.32     0.001  1       48.17     0.148  1      117.08     0.341  2
   7.93     0.001  1       48.78     0.151  1      118.30     0.342  2
   8.54     0.001  1       49.39     0.154  1      119.52     0.343  2
   9.15     0.001  1       50.00     0.157  1      120.74     0.343  2
   9.76     0.001  1       50.61     0.159  1      121.95     0.344  2
  10.37     0.001  1       51.22     0.162  1      123.17     0.342  2
  10.98     0.001  1       51.83     0.164  1      124.39     0.336  2
  11.59     0.001  1       52.44     0.167  1      125.61     0.330  2
  12.20     0.001  1       53.05     0.169  1      126.83     0.324  2
  12.81     0.001  1       53.66     0.172  1      128.05     0.317  2
  13.42     0.001  1       54.27     0.174  1      129.27     0.311  2
  14.03     0.001  1       54.88     0.177  1      130.49     0.304  2
  14.64     0.001  1       55.49     0.179  1      131.71     0.298  2
  15.25     0.001  1       56.10     0.181  1      132.93     0.291  2
  15.85     0.001  1       56.71     0.184  1      134.15     0.284  2
  16.46     0.001  1       57.32     0.186  1      135.37     0.276  2
  17.07     0.001  1       57.93     0.188  1      136.59     0.269  2
  17.68     0.001  1       58.54     0.190  1      137.81     0.261  2
  18.29     0.001  1       59.15     0.192  1      139.03     0.254  2
  18.90     0.002  1       59.76     0.195  1      140.25     0.246  2
  19.51     0.002  1       60.37     0.197  1      141.47     0.238  2
  20.12     0.002  1       60.98     0.199  1      142.69     0.230  2
  20.73     0.003  1       62.20     0.272  2      143.91     0.221  2
  21.34     0.003  1       63.42     0.275  2      145.13     0.213  2
  21.95     0.003  1       64.64     0.277  2      146.34     0.204  2
  22.56     0.004  1       65.86     0.279  2      147.56     0.195  2
  23.17     0.004  1       67.08     0.281  2      148.78     0.186  2
  23.78     0.004  1       68.30     0.284  2      150.00     0.177  2
  24.39     0.004  1       69.52     0.286  2      151.22     0.167  2
  25.00     0.005  1       70.74     0.288  2      152.44     0.158  2
  25.61     0.005  1       71.96     0.290  2      153.66     0.148  2
  26.22     0.005  1       73.17     0.292  2      154.88     0.138  2
