 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-155437.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-155437.slp                        
       CLIMATE: ../working/wepp-155437.cli                        
       Station:  LAKEPORT CA - Mend2 +                          CLIGEN VERSION  4.31
          SOIL: ../working/wepp-155437.sol                        
      PLANE  1 shrub               loam                
      PLANE  2 shrub               loam                


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

        65     892.20       0       0.00       1      40.65


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.011 kg/m2 **
      ** Maximum Soil Loss  =    0.018 kg/m2 at  121.95 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
  45.13- 151.22    0.011     0.006      0.018  121.95     0.000   151.22



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   0.61     0.000  1       41.47     0.000  1      103.66     0.016  2
   1.22     0.000  1       42.08     0.000  1      104.88     0.016  2
   1.83     0.000  1       42.69     0.000  1      106.10     0.016  2
   2.44     0.000  1       43.30     0.000  1      107.32     0.016  2
   3.05     0.000  1       43.91     0.000  1      108.54     0.016  2
   3.66     0.000  1       44.52     0.000  1      109.76     0.017  2
   4.27     0.000  1       45.13     0.000  1      110.98     0.017  2
   4.88     0.000  1       45.73     0.000  1      112.20     0.017  2
   5.49     0.000  1       46.34     0.000  1      113.42     0.017  2
   6.10     0.000  1       46.95     0.001  1      114.64     0.017  2
   6.71     0.000  1       47.56     0.001  1      115.86     0.017  2
   7.32     0.000  1       48.17     0.001  1      117.08     0.017  2
   7.93     0.000  1       48.78     0.001  1      118.30     0.017  2
   8.54     0.000  1       49.39     0.002  1      119.52     0.017  2
   9.15     0.000  1       50.00     0.002  1      120.74     0.018  2
   9.76     0.000  1       50.61     0.002  1      121.95     0.018  2
  10.37     0.000  1       51.22     0.002  1      123.17     0.017  2
  10.98     0.000  1       51.83     0.003  1      124.39     0.017  2
  11.59     0.000  1       52.44     0.003  1      125.61     0.016  2
  12.20     0.000  1       53.05     0.003  1      126.83     0.016  2
  12.81     0.000  1       53.66     0.003  1      128.05     0.015  2
  13.42     0.000  1       54.27     0.004  1      129.27     0.014  2
  14.03     0.000  1       54.88     0.004  1      130.49     0.014  2
  14.64     0.000  1       55.49     0.004  1      131.71     0.013  2
  15.25     0.000  1       56.10     0.004  1      132.93     0.012  2
  15.85     0.000  1       56.71     0.004  1      134.15     0.012  2
  16.46     0.000  1       57.32     0.005  1      135.37     0.011  2
  17.07     0.000  1       57.93     0.005  1      136.59     0.010  2
  17.68     0.000  1       58.54     0.005  1      137.81     0.009  2
  18.29     0.000  1       59.15     0.005  1      139.03     0.009  2
  18.90     0.000  1       59.76     0.005  1      140.25     0.008  2
  19.51     0.000  1       60.37     0.006  1      141.47     0.007  2
  20.12     0.000  1       60.98     0.006  1      142.69     0.006  2
  20.73     0.000  1       62.20     0.008  2      143.91     0.005  2
  21.34     0.000  1       63.42     0.009  2      145.13     0.004  2
