 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-155839.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-155839.slp                        
       CLIMATE: ../working/wepp-155839.cli                        
       Station:  LAKEPORT CA - Mend2 +                          CLIGEN VERSION  4.31
          SOIL: ../working/wepp-155839.sol                        
      PLANE  1 skid                loam                
      PLANE  2 shrub               loam                


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

        65     892.20       2       0.29       5      22.16


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.009 kg/m2 **
      ** Maximum Soil Loss  =    0.033 kg/m2 at  152.44 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 176.53    0.009     0.008      0.033  152.44     0.000   176.53

  B.  AREA OF SOIL DEPOSITION

      ** Soil Deposition (Avg. of Net Deposition Areas) =    -0.138 kg/m2 **
      ** Maximum Soil Deposition  =    -0.215 kg/m2 at  182.93 meters **

      Area of    Soil Dep   Soil Dep     MAX    MAX Dep   MIN   MIN Dep
      Net Dep       MEAN     STDEV       Dep     Point    Dep    Point
        (m)       (kg/m2)    (kg/m2)   (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
 180.19- 182.93   -0.138     0.058     -0.215  182.93    -0.009   180.49



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.52     0.000  1      103.66     0.010  1      163.11     0.009  2
   3.05     0.000  1      105.18     0.011  1      163.42     0.009  2
   4.57     0.000  1      106.71     0.012  1      163.72     0.009  2
   6.10     0.000  1      108.23     0.013  1      164.03     0.009  2
   7.62     0.000  1      109.76     0.013  1      164.33     0.009  2
   9.15     0.000  1      111.28     0.014  1      164.64     0.009  2
  10.67     0.000  1      112.81     0.015  1      164.94     0.009  2
  12.20     0.000  1      114.33     0.016  1      165.25     0.009  2
  13.72     0.000  1      115.85     0.017  1      165.55     0.008  2
  15.24     0.000  1      117.38     0.017  1      165.86     0.008  2
  16.77     0.000  1      118.90     0.018  1      166.16     0.008  2
  18.29     0.000  1      120.43     0.019  1      166.47     0.008  2
  19.82     0.000  1      121.95     0.020  1      166.77     0.008  2
  21.34     0.000  1      123.48     0.020  1      167.08     0.008  2
  22.87     0.000  1      125.00     0.021  1      167.38     0.008  2
  24.39     0.000  1      126.53     0.022  1      167.69     0.008  2
  25.91     0.000  1      128.05     0.023  1      167.99     0.007  2
  27.44     0.000  1      129.57     0.023  1      168.29     0.007  2
  28.96     0.000  1      131.10     0.024  1      168.60     0.006  2
  30.49     0.000  1      132.62     0.025  1      168.90     0.005  2
  32.01     0.000  1      134.15     0.025  1      169.21     0.005  2
  33.54     0.000  1      135.67     0.026  1      169.51     0.004  2
  35.06     0.000  1      137.20     0.027  1      169.82     0.003  2
  36.59     0.000  1      138.72     0.027  1      170.12     0.003  2
  38.11     0.000  1      140.24     0.028  1      170.43     0.002  2
  39.63     0.001  1      141.77     0.028  1      170.73     0.001  2
  41.16     0.001  1      143.29     0.029  1      171.04     0.001  2
  42.68     0.001  1      144.82     0.030  1      171.34     0.001  2
  44.21     0.001  1      146.34     0.030  1      171.65     0.001  2
  45.73     0.001  1      147.87     0.031  1      171.95     0.000  2
  47.26     0.001  1      149.39     0.031  1      172.26     0.000  2
  48.78     0.002  1      150.92     0.032  1      172.56     0.000  2
  50.31     0.002  1      152.44     0.033  1      172.87     0.000  2
  51.83     0.002  1      152.74     0.013  2      173.17     0.000  2
  53.35     0.002  1      153.05     0.013  2      173.48     0.000  2
  54.88     0.003  1      153.35     0.013  2      173.78     0.000  2
  56.40     0.003  1      153.66     0.012  2      174.09     0.000  2
  57.93     0.003  1      153.96     0.012  2      174.39     0.000  2
  59.45     0.003  1      154.27     0.012  2      174.70     0.000  2
  60.98     0.004  1      154.57     0.012  2      175.00     0.000  2
  62.50     0.004  1      154.88     0.012  2      175.31     0.000  2
  64.02     0.004  1      155.18     0.012  2      175.61     0.000  2
  65.55     0.004  1      155.49     0.012  2      175.92     0.000  2
