 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-155927.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-155927.slp                        
       CLIMATE: ../working/wepp-155927.cli                        
       Station:  LAKEPORT CA - Mend2 +                          CLIGEN VERSION  4.31
          SOIL: ../working/wepp-155927.sol                        
      PLANE  1 LOW                 loam                
      PLANE  2 LOW                 loam                


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

        65     892.20       2       0.00       1      39.28


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.014 kg/m2 **
      ** Maximum Soil Loss  =    0.053 kg/m2 at  122.56 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 157.32    0.014     0.021      0.053  122.56     0.000     1.22



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.22     0.000  1       82.93     0.000  1      143.29     0.039  2
   2.44     0.000  1       84.15     0.000  1      143.90     0.039  2
   3.66     0.000  1       85.37     0.000  1      144.51     0.038  2
   4.88     0.000  1       86.58     0.000  1      145.12     0.038  2
   6.10     0.000  1       87.80     0.000  1      145.73     0.037  2
   7.32     0.000  1       89.02     0.001  1      146.34     0.037  2
   8.54     0.000  1       90.24     0.002  1      146.95     0.036  2
   9.76     0.000  1       91.46     0.004  1      147.56     0.036  2
  10.98     0.000  1       92.68     0.006  1      148.17     0.035  2
  12.20     0.000  1       93.90     0.008  1      148.78     0.035  2
  13.41     0.000  1       95.12     0.010  1      149.39     0.034  2
  14.63     0.000  1       96.34     0.012  1      150.00     0.033  2
  15.85     0.000  1       97.56     0.014  1      150.61     0.033  2
  17.07     0.000  1       98.78     0.016  1      151.22     0.032  2
  18.29     0.000  1      100.00     0.018  1      151.83     0.032  2
  19.51     0.000  1      101.22     0.019  1      152.44     0.031  2
  20.73     0.000  1      102.44     0.021  1      153.05     0.029  2
  21.95     0.000  1      103.66     0.023  1      153.66     0.025  2
  23.17     0.000  1      104.88     0.024  1      154.27     0.021  2
  24.39     0.000  1      106.10     0.026  1      154.88     0.017  2
  25.61     0.000  1      107.32     0.028  1      155.49     0.013  2
  26.83     0.000  1      108.54     0.029  1      156.10     0.010  2
  28.05     0.000  1      109.75     0.031  1      156.71     0.006  2
  29.27     0.000  1      110.97     0.033  1      157.32     0.002  2
  30.49     0.000  1      112.19     0.034  1      157.93     0.000  2
  31.71     0.000  1      113.41     0.036  1      158.54     0.000  2
  32.93     0.000  1      114.63     0.037  1      159.15     0.000  2
  34.15     0.000  1      115.85     0.039  1      159.76     0.000  2
  35.37     0.000  1      117.07     0.040  1      160.37     0.000  2
  36.59     0.000  1      118.29     0.042  1      160.98     0.000  2
  37.80     0.000  1      119.51     0.043  1      161.59     0.000  2
  39.02     0.000  1      120.73     0.044  1      162.20     0.000  2
  40.24     0.000  1      121.95     0.046  1      162.81     0.000  2
  41.46     0.000  1      122.56     0.053  2      163.42     0.000  2
  42.68     0.000  1      123.17     0.052  2      164.03     0.000  2
