 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-156107.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-156107.slp                        
       CLIMATE: ../working/wepp-156107.cli                        
       Station:  LAKEPORT CA - Mend2 +                          CLIGEN VERSION  4.31
          SOIL: ../working/wepp-156107.sol                        
      PLANE  1 skid                loam                
      PLANE  2 LOW                 loam                


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

        65     892.20       2       0.42       5      25.11


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.006 kg/m2 **
      ** Maximum Soil Loss  =    0.011 kg/m2 at  121.95 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 163.42    0.006     0.004      0.011  121.95     0.000   163.42

  B.  AREA OF SOIL DEPOSITION

      ** Soil Deposition (Avg. of Net Deposition Areas) =    -0.102 kg/m2 **
      ** Maximum Soil Deposition  =    -0.119 kg/m2 at  181.71 meters **

      Area of    Soil Dep   Soil Dep     MAX    MAX Dep   MIN   MIN Dep
      Net Dep       MEAN     STDEV       Dep     Point    Dep    Point
        (m)       (kg/m2)    (kg/m2)   (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
 179.88- 182.93   -0.102     0.022     -0.119  181.71    -0.066   180.49



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.22     0.000  1       82.93     0.009  1      143.29     0.006  2
   2.44     0.000  1       84.15     0.009  1      143.90     0.006  2
   3.66     0.000  1       85.37     0.009  1      144.51     0.006  2
   4.88     0.000  1       86.58     0.009  1      145.12     0.005  2
   6.10     0.000  1       87.80     0.009  1      145.73     0.005  2
   7.32     0.000  1       89.02     0.009  1      146.34     0.005  2
   8.54     0.000  1       90.24     0.009  1      146.95     0.005  2
   9.76     0.000  1       91.46     0.009  1      147.56     0.005  2
  10.98     0.000  1       92.68     0.009  1      148.17     0.005  2
  12.20     0.000  1       93.90     0.009  1      148.78     0.005  2
  13.41     0.000  1       95.12     0.009  1      149.39     0.005  2
  14.63     0.000  1       96.34     0.010  1      150.00     0.004  2
  15.85     0.000  1       97.56     0.010  1      150.61     0.004  2
  17.07     0.000  1       98.78     0.010  1      151.22     0.004  2
  18.29     0.000  1      100.00     0.010  1      151.83     0.004  2
  19.51     0.000  1      101.22     0.010  1      152.44     0.004  2
  20.73     0.000  1      102.44     0.010  1      153.05     0.004  2
  21.95     0.000  1      103.66     0.010  1      153.66     0.003  2
  23.17     0.000  1      104.88     0.010  1      154.27     0.003  2
  24.39     0.000  1      106.10     0.010  1      154.88     0.003  2
  25.61     0.000  1      107.32     0.010  1      155.49     0.003  2
  26.83     0.000  1      108.54     0.010  1      156.10     0.002  2
  28.05     0.000  1      109.75     0.010  1      156.71     0.002  2
  29.27     0.000  1      110.97     0.011  1      157.32     0.002  2
  30.49     0.000  1      112.19     0.011  1      157.93     0.002  2
  31.71     0.000  1      113.41     0.011  1      158.54     0.002  2
  32.93     0.000  1      114.63     0.011  1      159.15     0.001  2
  34.15     0.001  1      115.85     0.011  1      159.76     0.001  2
  35.37     0.001  1      117.07     0.011  1      160.37     0.001  2
  36.59     0.001  1      118.29     0.011  1      160.98     0.001  2
  37.80     0.001  1      119.51     0.011  1      161.59     0.000  2
  39.02     0.001  1      120.73     0.011  1      162.20     0.000  2
  40.24     0.001  1      121.95     0.011  1      162.81     0.000  2
  41.46     0.002  1      122.56     0.011  2      163.42     0.000  2
  42.68     0.002  1      123.17     0.011  2      164.03     0.000  2
  43.90     0.002  1      123.78     0.011  2      164.64     0.000  2
  45.12     0.003  1      124.39     0.010  2      165.25     0.000  2
  46.34     0.003  1      125.00     0.010  2      165.86     0.000  2
  47.56     0.003  1      125.61     0.010  2      166.47     0.000  2
  48.78     0.003  1      126.22     0.010  2      167.08     0.000  2
  50.00     0.004  1      126.83     0.010  2      167.69     0.000  2
  51.22     0.004  1      127.44     0.010  2      168.29     0.000  2
  52.44     0.004  1      128.05     0.010  2      168.90     0.000  2
