 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-158262.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-158262.slp                        
       CLIMATE: ../working/wepp-158262.cli                        
       Station:  Mica Creek @ 3800ft +                          CLIGEN VERSION  4.31
          SOIL: ../working/wepp-158262.sol                        
      PLANE  1 YoungF              silt loam           
      PLANE  2 TALL                silt loam           


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

       119     776.40       0       0.00       2       0.62


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------




  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.83     0.000  1      124.39     0.000  1      193.60     0.000  2
   3.66     0.000  1      126.22     0.000  1      193.91     0.000  2
   5.49     0.000  1      128.05     0.000  1      194.21     0.000  2
   7.32     0.000  1      129.88     0.000  1      194.52     0.000  2
   9.15     0.000  1      131.71     0.000  1      194.82     0.000  2
  10.98     0.000  1      133.54     0.000  1      195.13     0.000  2
  12.81     0.000  1      135.37     0.000  1      195.43     0.000  2
  14.63     0.000  1      137.20     0.000  1      195.74     0.000  2
  16.46     0.000  1      139.03     0.000  1      196.04     0.000  2
  18.29     0.000  1      140.86     0.000  1      196.35     0.000  2
  20.12     0.000  1      142.69     0.000  1      196.65     0.000  2
  21.95     0.000  1      144.51     0.000  1      196.96     0.000  2
  23.78     0.000  1      146.34     0.000  1      197.26     0.000  2
  25.61     0.000  1      148.17     0.000  1      197.57     0.000  2
  27.44     0.000  1      150.00     0.000  1      197.87     0.000  2
  29.27     0.000  1      151.83     0.000  1      198.18     0.000  2
  31.10     0.000  1      153.66     0.000  1      198.48     0.000  2
  32.93     0.000  1      155.49     0.000  1      198.78     0.000  2
  34.76     0.000  1      157.32     0.000  1      199.09     0.000  2
  36.59     0.000  1      159.15     0.000  1      199.39     0.000  2
  38.42     0.000  1      160.98     0.000  1      199.70     0.000  2
  40.24     0.000  1      162.81     0.000  1      200.00     0.000  2
  42.07     0.000  1      164.64     0.000  1      200.31     0.000  2
  43.90     0.000  1      166.47     0.000  1      200.61     0.000  2
  45.73     0.000  1      168.30     0.000  1      200.92     0.000  2
  47.56     0.000  1      170.12     0.000  1      201.22     0.000  2
  49.39     0.000  1      171.95     0.000  1      201.53     0.000  2
