 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-186916.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-186916.slp                        
       CLIMATE: ../working/wepp-186916.cli                        
       Station:  MOSCOW U OF I ID                               CLIGEN VERSION  4.31
          SOIL: ../working/wepp-186916.sol                        
      PLANE  1 HIGH                clay loam           
      PLANE  2 HIGH                clay loam           


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

       122     631.90       0       0.00       0       0.00


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------




  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   0.15     0.000  1       10.36     0.000  1       20.57     0.000  2
   0.30     0.000  1       10.52     0.000  1       20.73     0.000  2
   0.46     0.000  1       10.67     0.000  1       20.88     0.000  2
   0.61     0.000  1       10.82     0.000  1       21.03     0.000  2
   0.76     0.000  1       10.97     0.000  1       21.18     0.000  2
   0.91     0.000  1       11.13     0.000  1       21.34     0.000  2
   1.07     0.000  1       11.28     0.000  1       21.49     0.000  2
   1.22     0.000  1       11.43     0.000  1       21.64     0.000  2
   1.37     0.000  1       11.58     0.000  1       21.79     0.000  2
   1.52     0.000  1       11.73     0.000  1       21.95     0.000  2
   1.68     0.000  1       11.89     0.000  1       22.10     0.000  2
   1.83     0.000  1       12.04     0.000  1       22.25     0.000  2
   1.98     0.000  1       12.19     0.000  1       22.40     0.000  2
   2.13     0.000  1       12.34     0.000  1       22.56     0.000  2
   2.29     0.000  1       12.50     0.000  1       22.71     0.000  2
   2.44     0.000  1       12.65     0.000  1       22.86     0.000  2
   2.59     0.000  1       12.80     0.000  1       23.01     0.000  2
   2.74     0.000  1       12.95     0.000  1       23.16     0.000  2
   2.90     0.000  1       13.11     0.000  1       23.32     0.000  2
   3.05     0.000  1       13.26     0.000  1       23.47     0.000  2
   3.20     0.000  1       13.41     0.000  1       23.62     0.000  2
   3.35     0.000  1       13.56     0.000  1       23.77     0.000  2
   3.51     0.000  1       13.72     0.000  1       23.93     0.000  2
   3.66     0.000  1       13.87     0.000  1       24.08     0.000  2
   3.81     0.000  1       14.02     0.000  1       24.23     0.000  2
   3.96     0.000  1       14.17     0.000  1       24.38     0.000  2
