 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-187268.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-187268.slp                        
       CLIMATE: ../working/wepp-187268.cli                        
       Station:  ORLEANS CA - Klam3 +                           CLIGEN VERSION  4.31
          SOIL: ../working/wepp-187268.sol                        
      PLANE  1 HIGH                loam                
      PLANE  2 skid                loam                


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

        89    1407.00       2       0.67       2       9.09


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.012 kg/m2 **
      ** Maximum Soil Loss  =    0.026 kg/m2 at  123.17 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 182.93    0.012     0.010      0.026  123.17     0.000   181.71



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   0.61     0.000  1       41.47     0.000  1      103.66     0.022  2
   1.22     0.000  1       42.08     0.000  1      104.88     0.023  2
   1.83     0.000  1       42.69     0.000  1      106.10     0.023  2
   2.44     0.000  1       43.30     0.000  1      107.32     0.023  2
   3.05     0.000  1       43.91     0.000  1      108.54     0.023  2
   3.66     0.000  1       44.52     0.001  1      109.76     0.024  2
   4.27     0.000  1       45.13     0.001  1      110.98     0.024  2
   4.88     0.000  1       45.73     0.001  1      112.20     0.024  2
   5.49     0.000  1       46.34     0.001  1      113.42     0.025  2
   6.10     0.000  1       46.95     0.001  1      114.64     0.025  2
   6.71     0.000  1       47.56     0.001  1      115.86     0.025  2
   7.32     0.000  1       48.17     0.001  1      117.08     0.025  2
   7.93     0.000  1       48.78     0.002  1      118.30     0.025  2
   8.54     0.000  1       49.39     0.002  1      119.52     0.026  2
   9.15     0.000  1       50.00     0.002  1      120.74     0.026  2
   9.76     0.000  1       50.61     0.002  1      121.95     0.026  2
  10.37     0.000  1       51.22     0.002  1      123.17     0.026  2
  10.98     0.000  1       51.83     0.002  1      124.39     0.026  2
  11.59     0.000  1       52.44     0.002  1      125.61     0.026  2
  12.20     0.000  1       53.05     0.002  1      126.83     0.026  2
  12.81     0.000  1       53.66     0.003  1      128.05     0.025  2
  13.42     0.000  1       54.27     0.003  1      129.27     0.025  2
  14.03     0.000  1       54.88     0.003  1      130.49     0.025  2
  14.64     0.000  1       55.49     0.003  1      131.71     0.025  2
  15.25     0.000  1       56.10     0.003  1      132.93     0.024  2
  15.85     0.000  1       56.71     0.003  1      134.15     0.024  2
  16.46     0.000  1       57.32     0.003  1      135.37     0.024  2
  17.07     0.000  1       57.93     0.003  1      136.59     0.024  2
  17.68     0.000  1       58.54     0.003  1      137.81     0.023  2
  18.29     0.000  1       59.15     0.004  1      139.03     0.023  2
  18.90     0.000  1       59.76     0.004  1      140.25     0.023  2
  19.51     0.000  1       60.37     0.004  1      141.47     0.022  2
  20.12     0.000  1       60.98     0.004  1      142.69     0.022  2
  20.73     0.000  1       62.20     0.009  2      143.91     0.021  2
  21.34     0.000  1       63.42     0.010  2      145.13     0.021  2
