 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-187313.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-187313.slp                        
       CLIMATE: ../working/wepp-187313.cli                        
       Station:  ORLEANS CA - Klam3 +                           CLIGEN VERSION  4.31
          SOIL: ../working/wepp-187313.sol                        
      PLANE  1 skid                loam                
      PLANE  2 HIGH                loam                


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

        89    1407.00       2       0.35       2       4.91


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.026 kg/m2 **
      ** Maximum Soil Loss  =    0.047 kg/m2 at   62.20 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 171.95    0.026     0.015      0.047   62.20     0.000   171.95



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   0.61     0.001  1       41.47     0.023  1      103.66     0.040  2
   1.22     0.001  1       42.08     0.023  1      104.88     0.040  2
   1.83     0.001  1       42.69     0.023  1      106.10     0.039  2
   2.44     0.001  1       43.30     0.024  1      107.32     0.039  2
   3.05     0.001  1       43.91     0.024  1      108.54     0.039  2
   3.66     0.001  1       44.52     0.024  1      109.76     0.039  2
   4.27     0.001  1       45.13     0.025  1      110.98     0.039  2
   4.88     0.001  1       45.73     0.025  1      112.20     0.038  2
   5.49     0.001  1       46.34     0.025  1      113.42     0.038  2
   6.10     0.001  1       46.95     0.025  1      114.64     0.038  2
   6.71     0.001  1       47.56     0.026  1      115.86     0.038  2
   7.32     0.001  1       48.17     0.026  1      117.08     0.037  2
   7.93     0.001  1       48.78     0.026  1      118.30     0.037  2
   8.54     0.001  1       49.39     0.027  1      119.52     0.037  2
   9.15     0.001  1       50.00     0.027  1      120.74     0.037  2
   9.76     0.001  1       50.61     0.027  1      121.95     0.037  2
  10.37     0.001  1       51.22     0.027  1      123.17     0.036  2
  10.98     0.001  1       51.83     0.028  1      124.39     0.035  2
  11.59     0.001  1       52.44     0.028  1      125.61     0.035  2
  12.20     0.001  1       53.05     0.028  1      126.83     0.034  2
  12.81     0.001  1       53.66     0.029  1      128.05     0.033  2
  13.42     0.001  1       54.27     0.029  1      129.27     0.032  2
  14.03     0.001  1       54.88     0.029  1      130.49     0.031  2
  14.64     0.001  1       55.49     0.029  1      131.71     0.031  2
  15.25     0.001  1       56.10     0.029  1      132.93     0.030  2
  15.85     0.001  1       56.71     0.030  1      134.15     0.029  2
  16.46     0.002  1       57.32     0.030  1      135.37     0.028  2
  17.07     0.003  1       57.93     0.030  1      136.59     0.027  2
  17.68     0.003  1       58.54     0.030  1      137.81     0.026  2
  18.29     0.004  1       59.15     0.031  1      139.03     0.026  2
  18.90     0.004  1       59.76     0.031  1      140.25     0.025  2
  19.51     0.005  1       60.37     0.031  1      141.47     0.024  2
  20.12     0.006  1       60.98     0.031  1      142.69     0.023  2
  20.73     0.006  1       62.20     0.047  2      143.91     0.022  2
  21.34     0.007  1       63.42     0.047  2      145.13     0.021  2
