 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-187520.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-187520.slp                        
       CLIMATE: ../working/wepp-187520.cli                        
       Station:  ORLEANS CA - Klam3 +                           CLIGEN VERSION  4.31
          SOIL: ../working/wepp-187520.sol                        
      PLANE  1 skid                loam                
      PLANE  2 SHORT               loam                


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

        89    1407.00       2       0.19       3       7.94


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.014 kg/m2 **
      ** Maximum Soil Loss  =    0.030 kg/m2 at  121.95 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 171.95    0.014     0.009      0.030  121.95     0.000   171.95

  B.  AREA OF SOIL DEPOSITION

      ** Soil Deposition (Avg. of Net Deposition Areas) =    -0.412 kg/m2 **
      ** Maximum Soil Deposition  =    -0.549 kg/m2 at  182.32 meters **

      Area of    Soil Dep   Soil Dep     MAX    MAX Dep   MIN   MIN Dep
      Net Dep       MEAN     STDEV       Dep     Point    Dep    Point
        (m)       (kg/m2)    (kg/m2)   (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
 180.49- 182.93   -0.412     0.209     -0.549  182.32    -0.104   181.10



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.22     0.000  1       82.93     0.023  1      143.29     0.014  2
   2.44     0.000  1       84.15     0.023  1      143.90     0.013  2
   3.66     0.000  1       85.37     0.024  1      144.51     0.013  2
   4.88     0.000  1       86.58     0.024  1      145.12     0.013  2
   6.10     0.000  1       87.80     0.024  1      145.73     0.013  2
   7.32     0.000  1       89.02     0.024  1      146.34     0.013  2
   8.54     0.000  1       90.24     0.025  1      146.95     0.012  2
   9.76     0.000  1       91.46     0.025  1      147.56     0.012  2
  10.98     0.000  1       92.68     0.025  1      148.17     0.012  2
  12.20     0.000  1       93.90     0.025  1      148.78     0.012  2
  13.41     0.000  1       95.12     0.026  1      149.39     0.011  2
  14.63     0.000  1       96.34     0.026  1      150.00     0.011  2
  15.85     0.000  1       97.56     0.026  1      150.61     0.011  2
  17.07     0.000  1       98.78     0.026  1      151.22     0.011  2
  18.29     0.000  1      100.00     0.027  1      151.83     0.011  2
  19.51     0.000  1      101.22     0.027  1      152.44     0.010  2
  20.73     0.000  1      102.44     0.027  1      153.05     0.010  2
  21.95     0.000  1      103.66     0.027  1      153.66     0.010  2
  23.17     0.000  1      104.88     0.028  1      154.27     0.009  2
  24.39     0.001  1      106.10     0.028  1      154.88     0.009  2
  25.61     0.001  1      107.32     0.028  1      155.49     0.009  2
  26.83     0.002  1      108.54     0.028  1      156.10     0.008  2
  28.05     0.002  1      109.75     0.028  1      156.71     0.008  2
  29.27     0.003  1      110.97     0.029  1      157.32     0.007  2
  30.49     0.003  1      112.19     0.029  1      157.93     0.007  2
  31.71     0.004  1      113.41     0.029  1      158.54     0.007  2
  32.93     0.004  1      114.63     0.029  1      159.15     0.006  2
  34.15     0.005  1      115.85     0.029  1      159.76     0.006  2
  35.37     0.005  1      117.07     0.030  1      160.37     0.006  2
  36.59     0.006  1      118.29     0.030  1      160.98     0.005  2
  37.80     0.007  1      119.51     0.030  1      161.59     0.005  2
  39.02     0.007  1      120.73     0.030  1      162.20     0.005  2
  40.24     0.008  1      121.95     0.030  1      162.81     0.004  2
  41.46     0.008  1      122.56     0.021  2      163.42     0.004  2
  42.68     0.009  1      123.17     0.021  2      164.03     0.004  2
  43.90     0.009  1      123.78     0.021  2      164.64     0.003  2
  45.12     0.010  1      124.39     0.021  2      165.25     0.003  2
  46.34     0.011  1      125.00     0.021  2      165.86     0.003  2
  47.56     0.011  1      125.61     0.020  2      166.47     0.002  2
  48.78     0.012  1      126.22     0.020  2      167.08     0.002  2
  50.00     0.013  1      126.83     0.020  2      167.69     0.002  2
  51.22     0.013  1      127.44     0.020  2      168.29     0.002  2
  52.44     0.014  1      128.05     0.019  2      168.90     0.001  2
