 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-188023.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-188023.slp                        
       CLIMATE: ../working/wepp-188023.cli                        
       Station:  ORLEANS CA - Klam3 +                           CLIGEN VERSION  4.31
          SOIL: ../working/wepp-188023.sol                        
      PLANE  1 OldF                loam                
      PLANE  2 OldF                loam                


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

        89    1407.00       0       0.00       3      35.54


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------




  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.68     0.000  1      114.02     0.000  1      173.01     0.000  2
   3.35     0.000  1      115.70     0.000  1      173.17     0.000  2
   5.03     0.000  1      117.38     0.000  1      173.32     0.000  2
   6.71     0.000  1      119.05     0.000  1      173.47     0.000  2
   8.38     0.000  1      120.73     0.000  1      173.62     0.000  2
  10.06     0.000  1      122.41     0.000  1      173.78     0.000  2
  11.74     0.000  1      124.08     0.000  1      173.93     0.000  2
  13.41     0.000  1      125.76     0.000  1      174.08     0.000  2
  15.09     0.000  1      127.44     0.000  1      174.23     0.000  2
  16.77     0.000  1      129.11     0.000  1      174.39     0.000  2
  18.44     0.000  1      130.79     0.000  1      174.54     0.000  2
  20.12     0.000  1      132.47     0.000  1      174.69     0.000  2
  21.80     0.000  1      134.14     0.000  1      174.84     0.000  2
  23.48     0.000  1      135.82     0.000  1      175.00     0.000  2
  25.15     0.000  1      137.50     0.000  1      175.15     0.000  2
  26.83     0.000  1      139.17     0.000  1      175.30     0.000  2
  28.51     0.000  1      140.85     0.000  1      175.45     0.000  2
  30.18     0.000  1      142.53     0.000  1      175.60     0.000  2
  31.86     0.000  1      144.20     0.000  1      175.76     0.000  2
  33.54     0.000  1      145.88     0.000  1      175.91     0.000  2
  35.21     0.000  1      147.56     0.000  1      176.06     0.000  2
  36.89     0.000  1      149.24     0.000  1      176.21     0.000  2
  38.57     0.000  1      150.91     0.000  1      176.37     0.000  2
  40.24     0.000  1      152.59     0.000  1      176.52     0.000  2
  41.92     0.000  1      154.27     0.000  1      176.67     0.000  2
  43.60     0.000  1      155.94     0.000  1      176.82     0.000  2
