 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-213991.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-213991.slp                        
       CLIMATE: ../working/wepp-213991.cli                        
       Station:  SAINT MARIES ID 3800 +                         CLIGEN VERSION  4.31
          SOIL: ../working/wepp-213991.sol                        
      PLANE  1 SHORT               silt loam           
      PLANE  2 OldF                silt loam           


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

       119     776.40       0       0.00       6       6.90


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------




  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.22     0.000  1       82.93     0.000  1      125.15     0.000  2
   2.44     0.000  1       84.15     0.000  1      125.24     0.000  2
   3.66     0.000  1       85.37     0.000  1      125.34     0.000  2
   4.88     0.000  1       86.58     0.000  1      125.43     0.000  2
   6.10     0.000  1       87.80     0.000  1      125.52     0.000  2
   7.32     0.000  1       89.02     0.000  1      125.61     0.000  2
   8.54     0.000  1       90.24     0.000  1      125.70     0.000  2
   9.76     0.000  1       91.46     0.000  1      125.79     0.000  2
  10.98     0.000  1       92.68     0.000  1      125.88     0.000  2
  12.20     0.000  1       93.90     0.000  1      125.98     0.000  2
  13.41     0.000  1       95.12     0.000  1      126.07     0.000  2
  14.63     0.000  1       96.34     0.000  1      126.16     0.000  2
  15.85     0.000  1       97.56     0.000  1      126.25     0.000  2
  17.07     0.000  1       98.78     0.000  1      126.34     0.000  2
  18.29     0.000  1      100.00     0.000  1      126.43     0.000  2
  19.51     0.000  1      101.22     0.000  1      126.53     0.000  2
  20.73     0.000  1      102.44     0.000  1      126.62     0.000  2
  21.95     0.000  1      103.66     0.000  1      126.71     0.000  2
  23.17     0.000  1      104.88     0.000  1      126.80     0.000  2
  24.39     0.000  1      106.10     0.000  1      126.89     0.000  2
  25.61     0.000  1      107.32     0.000  1      126.98     0.000  2
  26.83     0.000  1      108.54     0.000  1      127.07     0.000  2
  28.05     0.000  1      109.75     0.000  1      127.17     0.000  2
  29.27     0.000  1      110.97     0.000  1      127.26     0.000  2
  30.49     0.000  1      112.19     0.000  1      127.35     0.000  2
  31.71     0.000  1      113.41     0.000  1      127.44     0.000  2
  32.93     0.000  1      114.63     0.000  1      127.53     0.000  2
