 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-214866.man                        
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-214866.slp                        
       CLIMATE: ../working/wepp-214866.cli                        
       Station:  FRESNO WB AP CA +                              CLIGEN VERSION  4.31
          SOIL: ../working/wepp-214866.sol                        
      PLANE  1 HIGH                clay loam           
      PLANE  2 HIGH                clay loam           


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

        45     307.40       3       0.04       0       0.00


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.002 kg/m2 **
      ** Maximum Soil Loss  =    0.003 kg/m2 at  152.44 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 304.88    0.002     0.001      0.003  152.44     0.000     1.52



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.52     0.000  1      103.66     0.002  1      205.79     0.003  2
   3.05     0.000  1      105.18     0.002  1      207.32     0.003  2
   4.57     0.000  1      106.71     0.002  1      208.84     0.003  2
   6.10     0.000  1      108.23     0.002  1      210.37     0.003  2
   7.62     0.000  1      109.76     0.002  1      211.89     0.003  2
   9.15     0.000  1      111.28     0.002  1      213.42     0.003  2
  10.67     0.000  1      112.81     0.002  1      214.94     0.003  2
  12.20     0.001  1      114.33     0.002  1      216.46     0.003  2
  13.72     0.001  1      115.85     0.002  1      217.99     0.003  2
  15.24     0.001  1      117.38     0.002  1      219.51     0.003  2
  16.77     0.001  1      118.90     0.002  1      221.04     0.003  2
  18.29     0.001  1      120.43     0.002  1      222.56     0.003  2
  19.82     0.001  1      121.95     0.002  1      224.09     0.003  2
  21.34     0.001  1      123.48     0.003  1      225.61     0.003  2
  22.87     0.001  1      125.00     0.003  1      227.14     0.003  2
  24.39     0.001  1      126.53     0.003  1      228.66     0.003  2
  25.91     0.001  1      128.05     0.003  1      230.18     0.003  2
  27.44     0.001  1      129.57     0.003  1      231.71     0.003  2
  28.96     0.001  1      131.10     0.003  1      233.23     0.003  2
  30.49     0.001  1      132.62     0.003  1      234.76     0.003  2
  32.01     0.001  1      134.15     0.003  1      236.28     0.003  2
  33.54     0.001  1      135.67     0.003  1      237.81     0.003  2
  35.06     0.001  1      137.20     0.003  1      239.33     0.003  2
  36.59     0.001  1      138.72     0.003  1      240.86     0.003  2
  38.11     0.001  1      140.24     0.003  1      242.38     0.003  2
  39.63     0.001  1      141.77     0.003  1      243.90     0.003  2
  41.16     0.001  1      143.29     0.003  1      245.43     0.003  2
  42.68     0.002  1      144.82     0.003  1      246.95     0.003  2
  44.21     0.002  1      146.34     0.003  1      248.48     0.003  2
  45.73     0.002  1      147.87     0.003  1      250.00     0.003  2
  47.26     0.002  1      149.39     0.003  1      251.53     0.003  2
  48.78     0.002  1      150.92     0.003  1      253.05     0.003  2
  50.31     0.002  1      152.44     0.003  1      254.57     0.003  2
  51.83     0.002  1      153.96     0.003  2      256.10     0.003  2
  53.35     0.002  1      155.49     0.003  2      257.62     0.003  2
