 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-77198.man                         
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-77198.slp                         
       CLIMATE: ../working/wepp-77198.cli                         
       Station:  SAINT MARIES ID** + +                          CLIGEN VERSION  4.31
          SOIL: ../working/wepp-77198.sol                         
      PLANE  1 SHORT               silt loam           
      PLANE  2 SHORT               silt loam           


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

       119    1008.50       1       0.01       3      44.96


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.003 kg/m2 **
      ** Maximum Soil Loss  =    0.052 kg/m2 at  133.38 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 144.82    0.003     0.017      0.052  133.38     0.000     1.22



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.22     0.000  1       82.93     0.000  1      129.95     0.040  2
   2.44     0.000  1       84.15     0.000  1      130.18     0.041  2
   3.66     0.000  1       85.37     0.000  1      130.41     0.041  2
   4.88     0.000  1       86.58     0.000  1      130.64     0.042  2
   6.10     0.000  1       87.80     0.000  1      130.87     0.043  2
   7.32     0.000  1       89.02     0.000  1      131.10     0.044  2
   8.54     0.000  1       90.24     0.000  1      131.33     0.045  2
   9.76     0.000  1       91.46     0.000  1      131.56     0.045  2
  10.98     0.000  1       92.68     0.000  1      131.78     0.046  2
  12.20     0.000  1       93.90     0.000  1      132.01     0.047  2
  13.41     0.000  1       95.12     0.000  1      132.24     0.048  2
  14.63     0.000  1       96.34     0.000  1      132.47     0.048  2
  15.85     0.000  1       97.56     0.000  1      132.70     0.049  2
  17.07     0.000  1       98.78     0.000  1      132.93     0.050  2
  18.29     0.000  1      100.00     0.000  1      133.16     0.051  2
  19.51     0.000  1      101.22     0.000  1      133.38     0.052  2
  20.73     0.000  1      102.44     0.000  1      133.61     0.049  2
  21.95     0.000  1      103.66     0.000  1      133.84     0.042  2
  23.17     0.000  1      104.88     0.000  1      134.07     0.035  2
  24.39     0.000  1      106.10     0.000  1      134.30     0.028  2
  25.61     0.000  1      107.32     0.000  1      134.53     0.021  2
  26.83     0.000  1      108.54     0.000  1      134.76     0.014  2
  28.05     0.000  1      109.75     0.000  1      134.99     0.007  2
  29.27     0.000  1      110.97     0.000  1      135.21     0.001  2
  30.49     0.000  1      112.19     0.000  1      135.44     0.000  2
  31.71     0.000  1      113.41     0.000  1      135.67     0.000  2
  32.93     0.000  1      114.63     0.000  1      135.90     0.000  2
  34.15     0.000  1      115.85     0.000  1      136.13     0.000  2
  35.37     0.000  1      117.07     0.000  1      136.36     0.000  2
  36.59     0.000  1      118.29     0.000  1      136.59     0.000  2
  37.80     0.000  1      119.51     0.003  1      136.82     0.000  2
  39.02     0.000  1      120.73     0.007  1      137.04     0.000  2
  40.24     0.000  1      121.95     0.011  1      137.27     0.000  2
  41.46     0.000  1      122.18     0.014  2      137.50     0.000  2
  42.68     0.000  1      122.41     0.014  2      137.73     0.000  2
