 Annual; detailed (Metric Units)                                        


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2010.100
           January 28,      2010


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    275 SOUTH RUSSELL STREET
                    WEST LAFAYETTE, IN 47907-2077  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu


     HILLSLOPE INPUT DATA FILES - VERSION  2010.100
      January 28,      2010


    MANAGEMENT: ../working/wepp-94415.man                         
 MAN. PRACTICE: Two OFEs for forest conditions                              
                W. Elliot 02/99                                             
                                                                            
         SLOPE: ../working/wepp-94415.slp                         
       CLIMATE: ../working/wepp-94415.cli                         
       Station:  SAINT MARIES ID 2.1 +                          CLIGEN VERSION  4.31
          SOIL: ../working/wepp-94415.sol                         
      PLANE  1 SHORT               silt loam           
      PLANE  2 OldF                silt loam           


     HILLSLOPE 1 YEARLY SUMMARY FOR    1
     ----------------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      year:      1

         Rainfall         Storm Runoff        Melt Runoff
      events   amount   events   amount     events  amount
                (mm)              (mm)               (mm)

       119    1008.50       0       0.00       9      48.64


II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.098 kg/m2 **
      ** Maximum Soil Loss  =    0.224 kg/m2 at  135.67 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
 104.47- 135.67    0.098     0.067      0.224  135.67     0.001   105.82



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.36     0.000  1       92.26     0.000  1      138.87     0.000  2
   2.71     0.000  1       93.61     0.000  1      138.96     0.000  2
   4.07     0.000  1       94.97     0.000  1      139.06     0.000  2
   5.43     0.000  1       96.33     0.000  1      139.15     0.000  2
   6.78     0.000  1       97.68     0.000  1      139.24     0.000  2
   8.14     0.000  1       99.04     0.000  1      139.33     0.000  2
   9.50     0.000  1      100.40     0.000  1      139.42     0.000  2
  10.85     0.000  1      101.75     0.000  1      139.51     0.000  2
  12.21     0.000  1      103.11     0.000  1      139.60     0.000  2
  13.57     0.000  1      104.47     0.000  1      139.70     0.000  2
  14.92     0.000  1      105.82     0.001  1      139.79     0.000  2
  16.28     0.000  1      107.18     0.008  1      139.88     0.000  2
  17.64     0.000  1      108.54     0.017  1      139.97     0.000  2
  18.99     0.000  1      109.89     0.025  1      140.06     0.000  2
  20.35     0.000  1      111.25     0.033  1      140.15     0.000  2
  21.71     0.000  1      112.61     0.041  1      140.24     0.000  2
  23.06     0.000  1      113.96     0.049  1      140.34     0.000  2
  24.42     0.000  1      115.32     0.057  1      140.43     0.000  2
  25.78     0.000  1      116.68     0.066  1      140.52     0.000  2
  27.13     0.000  1      118.03     0.074  1      140.61     0.000  2
  28.49     0.000  1      119.39     0.082  1      140.70     0.000  2
  29.85     0.000  1      120.75     0.090  1      140.79     0.000  2
  31.20     0.000  1      122.10     0.097  1      140.89     0.000  2
  32.56     0.000  1      123.46     0.105  1      140.98     0.000  2
  33.92     0.000  1      124.82     0.113  1      141.07     0.000  2
  35.27     0.000  1      126.17     0.126  1      141.16     0.000  2
  36.63     0.000  1      127.53     0.140  1      141.25     0.000  2
  37.99     0.000  1      128.89     0.154  1      141.34     0.000  2
  39.34     0.000  1      130.24     0.168  1      141.43     0.000  2
  40.70     0.000  1      131.60     0.182  1      141.53     0.000  2
  42.06     0.000  1      132.96     0.196  1      141.62     0.000  2
  43.41     0.000  1      134.31     0.210  1      141.71     0.000  2
  44.77     0.000  1      135.67     0.224  1      141.80     0.000  2
  46.13     0.000  1      135.76     0.000  2      141.89     0.000  2
  47.48     0.000  1      135.85     0.000  2      141.98     0.000  2
