166.2.22.221	"03:58 pm  Thursday December 29, 2011"	3	"SANDPOINT EXP STA ID"	  48.28	-116.57
216.227.91.39	"06:17 am  Friday December 30, 2011"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"06:30 am  Friday December 30, 2011"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"06:31 am  Friday December 30, 2011"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"06:32 am  Friday December 30, 2011"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"06:33 am  Friday December 30, 2011"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"06:34 am  Friday December 30, 2011"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"06:35 am  Friday December 30, 2011"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"06:36 am  Friday December 30, 2011"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"06:36 am  Friday December 30, 2011"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"06:37 am  Friday December 30, 2011"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"06:38 am  Friday December 30, 2011"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
208.80.194.26	"05:48 pm  Friday December 30, 2011"	1	""		
208.80.194.29	"01:59 am  Sunday January 1, 2012"	1	""		
208.80.194.29	"09:43 am  Monday January 2, 2012"	1	""		
71.211.60.3	"01:29 pm  Tuesday January 3, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
166.2.202.177	"03:37 pm  Tuesday January 3, 2012"	30	"DILLON 1 S CO"	  39.60	-106.05
199.192.1.80	"06:10 am  Wednesday January 4, 2012"	30	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
132.3.57.68	"06:49 am  Wednesday January 4, 2012"	30	"GREAT FALLS WB AP MT"	  47.48	-111.37
178.254.188.56	"10:15 am  Wednesday January 4, 2012"	30	"MOSCOW U OF I ID"	  46.73	-117.00
72.174.164.95	"12:45 pm  Wednesday January 4, 2012"	100	"CRESTED BUTTE CO"	  38.87	-106.97
72.174.164.95	"12:45 pm  Wednesday January 4, 2012"	100	"CRESTED BUTTE CO"	  38.87	-106.97
72.174.164.95	"12:47 pm  Wednesday January 4, 2012"	100	"CRESTED BUTTE CO"	  38.87	-106.97
72.174.164.95	"01:01 pm  Wednesday January 4, 2012"	100	"CRESTED BUTTE CO"	  38.87	-106.97
72.174.164.95	"01:02 pm  Wednesday January 4, 2012"	100	"CRESTED BUTTE CO"	  38.87	-106.97
72.174.164.95	"01:02 pm  Wednesday January 4, 2012"	100	"CRESTED BUTTE CO"	  38.87	-106.97
72.174.164.95	"01:04 pm  Wednesday January 4, 2012"	100	"CRESTED BUTTE CO"	  38.87	-106.97
72.174.164.95	"01:04 pm  Wednesday January 4, 2012"	100	"CRESTED BUTTE CO"	  38.87	-106.97
72.174.164.95	"01:04 pm  Wednesday January 4, 2012"	100	"CRESTED BUTTE CO"	  38.87	-106.97
72.174.164.95	"01:16 pm  Wednesday January 4, 2012"	100	"CRESTED BUTTE CO"	  38.87	-106.97
72.174.164.95	"01:17 pm  Wednesday January 4, 2012"	200	"CRESTED BUTTE CO"	  38.87	-106.97
166.2.22.204	"04:28 pm  Wednesday January 4, 2012"	30	"Perkins Ck,  MI +"	  44.32	  85.66
166.2.22.204	"04:29 pm  Wednesday January 4, 2012"	30	"Perkins Ck,  MI +"	  44.32	  85.66
208.80.194.34	"02:40 am  Thursday January 5, 2012"	1	""		
166.7.90.239	"01:13 pm  Thursday January 5, 2012"	30	"MYSTIC LAKE MT"	  45.23	-109.75
166.7.90.239	"01:14 pm  Thursday January 5, 2012"	30	"MYSTIC LAKE MT"	  45.23	-109.75
166.7.90.239	"01:16 pm  Thursday January 5, 2012"	30	"MYSTIC LAKE MT"	  45.23	-109.75
