Habitat Type,Tree Species,Plant Species,Vegetation Subseries,Habitat Type Manual,State
PJ/DG,PJ,DG,PJ/DG,ADDED,
SF/STOC,COLDF,DG,COLDF/DG,BLUE MT,OR
SF/CAGE,COLDF,DG,COLDF/DG,BLUE MT,OR
SF/LIBO,COLDF,DH,COLDF/DH,BLUE MT,OR
SF/MEFE,COLDF,DH,COLDF/DH,BLUE MT,OR
SF/VAME,COLDF,DH,COLDF/DH,BLUE MT,OR
SF/ARCO,COLDF,DH,COLDF/DH,BLUE MT,OR
LP/VASC,COLDF,DH,COLDF/DH,BLUE MT,OR
SF/VASC,COLDF,DS,COLDF/DS,BLUE MT,OR
SF/CLUN,COLDF,MH,COLDF/MH,BLUE MT,OR
SF/TRCA,COLDF,WF,COLDF/WF,BLUE MT,OR
GF/SPBE,COOLF,DH,COOLF/DH,BLUE MT,OR
GF/VASC-LIBO,COOLF,DH,COOLF/DH,BLUE MT,OR
GF/VAME,COOLF,DH,COOLF/DH,BLUE MT,OR
LP/VAME-LIBO,COOLF,DH,COOLF/DH,BLUE MT,OR
GF/BRVU,COOLF,DH,COOLF/DH,BLUE MT,OR
GF/TABR/LIBO,COOLF,DH,COOLF/DH,BLUE MT,OR
GF/LIBO,COOLF,DH,COOLF/DH,BLUE MT,OR
GF/ARCO,COOLF,DS,COOLF/DS,BLUE MT,OR
GF/VASC,COOLF,DS,COOLF/DS,BLUE MT,OR
GF/CAGE,COOLF,DS,COOLF/DS,BLUE MT,OR
GF/CARU,COOLF,DS,COOLF/DS,BLUE MT,OR
GF/CLUN,COOLF,MH,COOLF/MH,BLUE MT,OR
GF/TABR/CLUN,COOLF,MH,COOLF/MH,BLUE MT,OR
GF/ACGL,COOLF,MH,COOLF/MH,BLUE MT,OR
GF/TRCA,COOLF,WF,COOLF/WF,BLUE MT,OR
GF/GYDR,COOLF,WF,COOLF/WF,BLUE MT,OR
GF/POMU-ASCA,COOLF,WH,COOLF/WH,BLUE MT,OR
LP/VASC/CARU,COOLP,DH,COOLP/DH,BLUE MT,OR
LP/VAME/CARU,COOLP,DH,COOLP/DH,BLUE MT,OR
LP(GF)/CAR,COOLP,DS,COOLP/DS,BLUE MT,OR
LP/CARU,COOLP,DS,COOLP/DS,BLUE MT,OR
DF/PHMA,DF,DH,DF/DH,BLUE MT,OR
DF/VAME,DF,DH,DF/DH,BLUE MT,OR
DF/CARU,DF,DS,DF/DS,BLUE MT,OR
DF/SYAL,DF,DS,DF/DS,BLUE MT,OR
DF/SYOR,DF,DS,DF/DS,BLUE MT,OR
DF/CAGE,DF,DS,DF/DS,BLUE MT,OR
DF/HODI,DF,MH,DF/MH,BLUE MT,OR
PP/PUTR/CARO,PP,DG,PP/DG,BLUE MT,OR
PP/CELE/PONE,PP,DG,PP/DG,BLUE MT,OR
PP/CELE/FEID,PP,DG,PP/DG,BLUE MT,OR
PP/ARTRV/FEI,PP,DG,PP/DG,BLUE MT,OR
PP/PUTR/FEID,PP,DS,PP/DS,BLUE MT,OR
PP/SYAL,PP,DS,PP/DS,BLUE MT,OR
PP/PUTR/CAGE,PP,DS,PP/DS,BLUE MT,OR
PP/FEID,PP,DS,PP/DS,BLUE MT,OR
PP/SYOR,PP,DS,PP/DS,BLUE MT,OR
PP/AGSP,PP,DS,PP/DS,BLUE MT,OR
PP/CELE/CAGE,PP,DS,PP/DS,BLUE MT,OR
PP/CARU,PP,DS,PP/DS,BLUE MT,OR
PP/CAGE,PP,DS,PP/DS,BLUE MT,OR
SF/WBP/SF,COLDF,DG,COLDF/DG,CENTRAL ID,ID
SF/RIMO,COLDF,DG,COLDF/DG,CENTRAL ID,ID
SF/JUCO,COLDF,DG,COLDF/DG,CENTRAL ID,ID
ES/HYRE,COLDF,DG,COLDF/DG,CENTRAL ID,ID
SF/CAGE/ARTR,COLDF,DG,COLDF/DG,CENTRAL ID,ID
SF/ARCO,COLDF,DG,COLDF/DG,CENTRAL ID,ID
SF/VAGL,COLDF,DH,COLDF/DH,CENTRAL ID,ID
SF/XETE/LUHI,COLDF,DH,COLDF/DH,CENTRAL ID,ID
SF/LIBO,COLDF,DH,COLDF/DH,CENTRAL ID,ID
SF/XETE/VAGL,COLDF,DH,COLDF/DH,CENTRAL ID,ID
SF/LUHI/LUHI,COLDF,DH,COLDF/DH,CENTRAL ID,ID
SF/XETE/VASC,COLDF,DH,COLDF/DH,CENTRAL ID,ID
SF/VACA,COLDF,DH,COLDF/DH,CENTRAL ID,ID
SF/CAGE/CAGE,COLDF,DH,COLDF/DH,CENTRAL ID,ID
SF/MEFE,COLDF,DH,COLDF/DH,CENTRAL ID,ID
SF/CACA/VACA,COLDF,DH,COLDF/DH,CENTRAL ID,ID
SF/LUHI/VASC,COLDF,DH,COLDF/DH,CENTRAL ID,ID
SF/SPBE,COLDF,DS,COLDF/DS,CENTRAL ID,ID
SF/VASC/VASC,COLDF,DS,COLDF/DS,CENTRAL ID,ID
SF/CARU,COLDF,DS,COLDF/DS,CENTRAL ID,ID
SF/VASC/WBP,COLDF,DS,COLDF/DS,CENTRAL ID,ID
SF/ACGL,COLDF,DS,COLDF/DS,CENTRAL ID,ID
SF/VASC/CARU,COLDF,DS,COLDF/DS,CENTRAL ID,ID
SF/CLUN,COLDF,MH,COLDF/MH,CENTRAL ID,ID
ES/CADI,COLDF,WF,COLDF/WF,CENTRAL ID,ID
SF/CABI,COLDF,WF,COLDF/WF,CENTRAL ID,ID
SF/STAM/STAM,COLDF,WF,COLDF/WF,CENTRAL ID,ID
SF/CACA/LEGL,COLDF,WF,COLDF/WF,CENTRAL ID,ID
SF/CACA/LICA,COLDF,WF,COLDF/WF,CENTRAL ID,ID
SF/STAM/LICA,COLDF,WF,COLDF/WF,CENTRAL ID,ID
SF/CACA/CACA,COLDF,WH,COLDF/WH,CENTRAL ID,ID
GF/LIBO/VAGL,COOLF,DH,COOLF/DH,CENTRAL ID,ID
GF/LIBO/LIBO,COOLF,DH,COOLF/DH,CENTRAL ID,ID
GF/ACGL/PHMA,COOLF,DH,COOLF/DH,CENTRAL ID,ID
GF/ACGL/ACGL,COOLF,DH,COOLF/DH,CENTRAL ID,ID
GF/SPBE,COOLF,DH,COOLF/DH,CENTRAL ID,ID
GF/VACA,COOLF,DS,COOLF/DS,CENTRAL ID,ID
GF/CARU,COOLF,DS,COOLF/DS,CENTRAL ID,ID
GF/CLUN,COOLF,MH,COOLF/MH,CENTRAL ID,ID
GF/VAGL,COOLF,WH,COOLF/WH,CENTRAL ID,ID
LP/FEID,COOLP,DS,COOLP/DS,CENTRAL ID,ID
DF/ARCO/ASMI,DF,DG,DF/DG,CENTRAL ID,ID
FP/FEID,DF,DG,DF/DG,CENTRAL ID,ID
DF/ARCO/ARCO,DF,DG,DF/DG,CENTRAL ID,ID
DF/AGSP,DF,DG,DF/DG,CENTRAL ID,ID
DF/JUCO,DF,DG,DF/DG,CENTRAL ID,ID
DF/CAGE/SYOR,DF,DG,DF/DG,CENTRAL ID,ID
DF/FEID/PP,DF,DG,DF/DG,CENTRAL ID,ID
DF/FEID/FEID,DF,DG,DF/DG,CENTRAL ID,ID
DF/CELE,DF,DG,DF/DG,CENTRAL ID,ID
DF/BERE/BERE,DF,DH,DF/DH,CENTRAL ID,ID
DF/BERE/SYOR,DF,DH,DF/DH,CENTRAL ID,ID
DF/PHMA/PP,DF,DH,DF/DH,CENTRAL ID,ID
DF/ACGL/ACGL,DF,DH,DF/DH,CENTRAL ID,ID
DF/OSCH,DF,DS,DF/DS,CENTRAL ID,ID
DF/SPBE/CARU,DF,DS,DF/DS,CENTRAL ID,ID
DF/SPBE/PP,DF,DS,DF/DS,CENTRAL ID,ID
DF/SPBE/SPBE,DF,DS,DF/DS,CENTRAL ID,ID
DF/SYAL/PP,DF,DS,DF/DS,CENTRAL ID,ID
DF/SYAL/SYAL,DF,DS,DF/DS,CENTRAL ID,ID
DF/SYOR,DF,DS,DF/DS,CENTRAL ID,ID
DF/PHMA/DF,DF,DS,DF/DS,CENTRAL ID,ID
DF/CARU/PP,DF,DS,DF/DS,CENTRAL ID,ID
DF/CARU/FEID,DF,DS,DF/DS,CENTRAL ID,ID
DF/CARU/CARU,DF,DS,DF/DS,CENTRAL ID,ID
DF/CAGE/PP,DF,DS,DF/DS,CENTRAL ID,ID
DF/CAGE/CAGE,DF,DS,DF/DS,CENTRAL ID,ID
DF/BERE/CAGE,DF,DS,DF/DS,CENTRAL ID,ID
DF/ACGL/SYOR,DF,DS,DF/DS,CENTRAL ID,ID
PP/FEID,PP,DG,PP/DG,CENTRAL ID,ID
PP/PUTR/FEID,PP,DG,PP/DG,CENTRAL ID,ID
PP/STOC,PP,DG,PP/DG,CENTRAL ID,ID
PP/SYOR,PP,DG,PP/DG,CENTRAL ID,ID
PP/AGSP,PP,DS,PP/DS,CENTRAL ID,ID
PP/SYAL,PP,DS,PP/DS,CENTRAL ID,ID
PP/PUTR/AGSP,PP,DS,PP/DS,CENTRAL ID,ID
ABLA/RIMO/RI,COLDF,DG,COLDF/DG,CENTRAL UT,UT
ABLA/JUCO,COLDF,DG,COLDF/DG,CENTRAL UT,UT
PIEN/RIMO,COLDF,DG,COLDF/DG,CENTRAL UT,UT
ABLA/CARO,COLDF,DG,COLDF/DG,CENTRAL UT,UT
ABLA/RIMO/ME,COLDF,DH,COLDF/DH,CENTRAL UT,UT
ABLA/CAGE,COLDF,DH,COLDF/DH,CENTRAL UT,UT
ABLA/PAMY,COLDF,DH,COLDF/DH,CENTRAL UT,UT
ABLA/VACA/PI,COLDF,DH,COLDF/DH,CENTRAL UT,UT
ABLA/PHMA,COLDF,DH,COLDF/DH,CENTRAL UT,UT
PIPU/EQAR,COLDF,DH,COLDF/DH,CENTRAL UT,UT
ABLA/BERE/PI,COLDF,DS,COLDF/DS,CENTRAL UT,UT
ABLA/BERE/PI,COLDF,DS,COLDF/DS,CENTRAL UT,UT
ABLA/BERE/BE,COLDF,DS,COLDF/DS,CENTRAL UT,UT
PIPU/JUCO,COLDF,DS,COLDF/DS,CENTRAL UT,UT
ABLA/ACCO,COLDF,WF,COLDF/WF,CENTRAL UT,UT
ABCO/JUCO,COOLF,DG,COOLF/DG,CENTRAL UT,UT
ABCO/SYOR,COOLF,DG,COOLF/DG,CENTRAL UT,UT
ABLA/ACGL,COOLF,DH,COOLF/DH,CENTRAL UT,UT
ABCO/CELE,COOLF,DS,COOLF/DS,CENTRAL UT,UT
ABCO/BERE/JU,COOLF,DS,COOLF/DS,CENTRAL UT,UT
ABCO/BERE/BE,COOLF,DS,COOLF/DS,CENTRAL UT,UT
ABCO/ARPA,COOLF,DS,COOLF/DS,CENTRAL UT,UT
ABLA/QUGA,COOLF,DS,COOLF/DS,CENTRAL UT,UT
PSME/SYOR,DF,DG,DF/DG,CENTRAL UT,UT
PSME/ARPA,DF,DG,DF/DG,CENTRAL UT,UT
PSME/CEMO,DF,DG,DF/DG,CENTRAL UT,UT
PIFL/PILO,DF,DS,DF/DS,CENTRAL UT,UT
PIPU/BERE,DF,DS,DF/DS,CENTRAL UT,UT
PSME/BERE/BE,DF,DS,DF/DS,CENTRAL UT,UT
