Scientific Name	Folder Name	Common Name
Abies amabilis	abiama	Pacific silver fir
Abies balsamea	abibal	balsam fir
Abies bracteata	abibra	bristlecone fir
Abies concolor	abicon	white fir
Abies fraseri	abifra	Fraser fir
Abies grandis	abigra	grand fir
Abies lasiocarpa	abilas	subalpine fir
Abies magnifica	abimag	California red fir
Abies procera	abipro	noble fir
Acacia constricta	acacon	whitethorn acacia
Acacia greggii	acagre	catclaw acacia
Acamptopappus sphaerocephalus	acasph	rayless goldenhead
Acer circinatum	acecir	vine maple
Acer glabrum	acegla	Rocky Mountain maple
Acer grandidentatum	acegra	bigtooth maple
Acer macrophyllum	acemac	bigleaf maple
Acer negundo	aceneg	boxelder
Acer pensylvanicum	acepen	striped maple
Acer rubrum	acerub	red maple
Acer saccharinum	acesah	silver maple
Acer saccharum	acesac	sugar maple
Acer spicatum	acespi	mountain maple
Achillea millefolium	achmil	western yarrow
Actaea rubra	actrub	red baneberry
Adenostoma fasciculatum	adefas	chamise
Adenostoma sparsifolium	adespa	red shank
Aesculus californica	aescal	California buckeye
Agastache cusickii	agacus	Cusick's giant hyssop
Agave lechuguilla	agalec	lechuguilla
Agropyron cristatum	agrcri	crested wheatgrass
Agropyron desertorum	agrdes	desert wheatgrass
Agrostis exarata	agrexa	spike bentgrass
Agrostis gigantea	agrgig	redtop
Agrostis scabra	agrsca	ticklegrass
Agrostis stolonifera	agrsto	creeping bentgrass
Allium fibrillum	allfib	fringed onion
Alnus incana ssp. tenuifolia	alninct	thinleaf alder
Alnus rhombifolia	alnrho	white alder
Alnus rubra	alnrub	red alder
Alnus rugosa	alnrug	speckled alder
Alnus viridis ssp. crispa	alnvirc	American green alder
Alnus viridis ssp. sinuata	alnvirs	Sitka alder
Amaranthus retroflexus	amaret	rough pigweed
Ambrosia deltoidea	ambdel	triangle bursage
Ambrosia dumosa	ambdum	white bursage
Ambrosia psilostachya	ambpsi	western ragweed
Amelanchier alnifolia	amealn	Saskatoon serviceberry
Amelanchier arborea	amearb	downy serviceberry
Amelanchier utahensis	ameuta	Utah serviceberry
Amorpha canescens	amocan	leadplant
Andropogon cabanisii	andcab	firegrass
Andropogon gerardii var. gerardii	andgerg	big bluestem
Andropogon gerardii var. paucipilus	andgerp	sand  bluestem
Andropogon ternarius	andter	paintbrush bluestem
Andropogon virginicus	andvir	broomsedge bluestem
Antennaria microphylla	antmic	rosy pussytoes
Antennaria parvifolia	antpar	littleleaf pussytoes
Antennaria racemosa	antrac	raceme pussytoes
Aquilegia canadensis	aqucan	wild columbine
Aralia nudicaulis	aranud	wild sarsaparilla
Aralia spinosa	araspi	Devil's walking stick
Arbutus arizonica	arbari	Arizona madrone
Arbutus menziesii	arbmen	Pacific madrone
Arbutus texana	arbtex	Texas madrone
Arctagrostis latifolia	arclat	polargrass
Arctostaphylos columbiana	arccol	hairy manzanita
Arctostaphylos glandulosa	arcgla	Eastwood manzanita
Arctostaphylos glauca	arcglu	bigberry manzanita
arctostaphylos manzanita	arcman	Parry manzanita
Arctostaphylos nevadensis	arcnev	pinemat manzanita
Arctostaphylos patula	arcpat	greenleaf manzanita
Arctostaphylos pungens	arcpun	pointleaf manzanita
Arctostaphylos uva-ursi	arcuva	bearberry
Arctostaphylos viscida	arcvis	whiteleaf manzanita
Aristida purpurea	aripur	purple threeawn
Aristida stricta	aristr	pineland threeawn
Arnica cordifolia	arncor	heartleaf arnica
Artemisia abrotanum	artabr	oldman wormwood
Artemisia absinthium	artabs	absinth wormwood
Artemisia arbuscula ssp. arbuscula	artarba	gray low sagebrush
Artemisia arbuscula ssp. thermopola	artarbt	hotsprings sagebrush
Artemisia bigelovii	artbig	Bigelow sagebrush
Artemisia californica	artcal	California sagebrush
Artemisia campestris	artcam	sagewort wormwood
Artemisia cana ssp. bolanderi	artcanb	Bolander silver sagebrush
Artemisia cana ssp. cana	artcanc	plains silver sagebrush
Artemisia cana ssp. viscidula	artcanv	mountain silver sagebrush
Artemisia dracunculus	artdra	tarragon
Artemisia filifolia	artfil	sand sagebrush
Artemisia frigida	artfri	fringed sagebrush
Artemisia longiloba	artlon	alkali sagebrush
Artemisia ludoviciana	artlud	Louisiana sagewort
Artemisia norvegica var. saxatilis	artnors	boreal sagewort
Artemisia nova	artnov	black sagebrush
Artemisia papposa	artpap	fuzzy sagebrush
Artemisia pedatifida	artped	birdfoot sagebrush
Artemisia pygmaea	artpyg	pygmy sagebrush
Artemisia rigida	artrig	stiff sagebrush
Artemisia spinescens	artspi	budsage
Artemisia tridentata ssp. tridentata	arttrit	basin big sagebrush
Artemisia tridentata ssp. vaseyana	arttriv	mountain big sagebrush
Artemisia tridentata ssp. wyomingensis	arttriw	Wyoming big sagebrush
Artemisia tripartita ssp. rupicola	arttrpr	Wyoming threetip sagebrush
Artemisia tripartita ssp. tripartita	arttrpt	tall threetip sagebrush
Arundinaria gigantea	arugig	cane
Arundo donax	arudon	giant reed
Asarum caudatum	asacau	wild ginger
Asclepias incarnata	ascinc	swamp milkweed
Asimina triloba	asitri	pawpaw
Asplenium adiantum-nigrum	aspadi	black spleenwort fern
Aster conspicuus	astcon	showy aster
Aster laevis	astlae	smooth aster
Athyrium filix-femina	athfil	lady fern
Atriplex canescens	atrcan	fourwing saltbush
Atriplex confertifolia	atrcon	shadscale
Atriplex gardneri	atrgar	Gardner's saltbush
Atriplex lentiformis	atrlen	big saltbrush
Baccharis halimifolia	bachal	groundsel-tree
Balsamorhiza hookeri	balhoo	Hooker balsamroot
Balsamorhiza sagittata	balsag	arrowleaf balsamroot
Berberis nervosa	berner	dwarf Oregon-grape
Betula alleghaniensis	betall	yellow birch
Betula glandulosa	betgla	bog birch
Betula nigra	betnig	river birch
Betula occidentalis	betocc	water birch
Betula papyrifera	betpap	paper birch
Betula populifolia	betpop	gray birch
Blechnum spicant	blespi	deer fern
Bothriochloa barbinodis	botbar	cane bluestem
Botrychium matricariaefolium	botmat	camomile grape-fern
Botrychium montanum	botmon	mountain moonwort
Botrychium paradoxum	botpar	perculiar moonwort
Bouteloua barbata var. barbata	boubarb	sixweeks grama
Bouteloua curtipendula	boucur	sideoats grama
Bouteloua eriopoda	boueri	black grama
Bouteloua gracilis	bougra	blue grama
Bouteloua hirsuta	bouhir	hairy grama
Bromus carinatus	brocar	California brome
Bromus ciliatus	brocil	fringed brome 
Bromus hordeaceus	brohor	soft chess
Bromus inermis	broine	smooth brome
Bromus japonicus	brojap	Japanese brome
Bromus pumpellianus	bropum	Pumpelly brome
Bromus rubens	brorub	red brome 
Bromus tectorum	brotec	cheatgrass
Bromus vulgaris	brovul	Columbia brome
Buchloe dactyloides	bucdac	buffalo grass
Calamagrostis canadensis	calcan	bluejoint reedgrass
Calamagrostis montanensis	calmon	plains reedgrass
Calamagrostis purpurascens	calpur	purple pinegrass
Calamagrostis rubescens	calrub	pinegrass
Calamovilfa longifolia	callon	prairie sandreed
Callicarpa americana	calame	American beautyberry
Calluna vulgaris	calvul	heather
Calocedrus decurrens	caldec	incense-cedar
Camassia quamash	camqua	common camas
Cardaria draba	cardra	heart-podded hoary cress
Carduus nutans	carnut	musk thistle
Carex aquatilis	caraqu	water sedge
Carex bigelowii	carbig	Bigelow sedge
Carex capitata	carcap	capitate sedge
Carex chordorrhiza	carcho	rope-root sedge
Carex concinna	carcoc	low northern sedge
Carex eleusinoides	carele	goose-grass sedge
Carex filifolia	carfil	threadleaf sedge
Carex garberi	cargar	Garber sedge
Carex geyeri	cargey	elk sedge
Carex heliophila	carhel	sun sedge
Carex lenticularis var. dolia	carlend	Kellog's sedge
Carex livida	carliv	pale sedge
Carex pensylvanica	carpen	yellow sedge
Carex petricosa	carpet	rock sedge
Carex rossii	carros	Ross' sedge
Carex rostrata	carrot	beaked sedge
Carex saxatilis	carsax	russet sedge
Carex stricta	carstr	tussock sedge
Carex vaginata	carvag	sheathed sedge
Carnegiea gigantea	cargig	saguaro
