
134.29.186.44	11:42 am  Friday April 11, 2014	Snowshoe hare /  Lepus americanus
116.112.6.66	06:23 am  Tuesday April 29, 2014	Hairy woodpecker / Picoides villosus
71.36.243.165	02:29 pm  Wednesday January 21, 2015	Bobcat / Lynx rufus
206.123.207.74	10:39 am  Thursday January 22, 2015	Mule deer / Odocoileus hemionus
133.187.4.141	05:45 pm  Thursday January 22, 2015	Acorn woodpecker / Melanerpes formicivorus
63.142.161.6	07:11 pm  Friday March 6, 2015	Acorn woodpecker / Melanerpes formicivorus
159.189.215.211	08:03 am  Thursday March 12, 2015	Mule deer / Odocoileus hemionus
163.247.40.160	11:53 am  Friday April 17, 2015	American marten / Martes americana
158.145.224.112	10:11 am  Wednesday September 16, 2015	American marten / Martes americana
166.7.50.93	02:04 pm  Tuesday October 27, 2015	Elk / Cervus elaphus
166.7.50.93	02:19 pm  Tuesday October 27, 2015	Elk / Cervus elaphus
166.7.50.93	02:19 pm  Tuesday October 27, 2015	Elk / Cervus elaphus
97.72.196.196	10:38 am  Thursday December 31, 2015	Elk / Cervus elaphus
97.72.196.196	10:43 am  Thursday December 31, 2015	Elk / Cervus elaphus
199.146.127.67	06:46 am  Wednesday March 23, 2016	Blue grouse / Dendragapus obscurus
162.244.213.88	02:37 pm  Saturday April 30, 2016	Northern goshawk / Accipiter gentilis
162.244.213.88	02:38 pm  Saturday April 30, 2016	Northern goshawk / Accipiter gentilis
162.244.213.88	02:43 pm  Saturday April 30, 2016	Northern goshawk / Accipiter gentilis
137.164.230.25	09:22 am  Monday May 2, 2016	Wolverine / Gulo gulo
137.164.230.27	09:43 am  Tuesday May 3, 2016	Wolverine / Gulo gulo
137.164.230.27	09:44 am  Tuesday May 3, 2016	Northern goshawk / Accipiter gentilis
170.144.101.74	06:20 pm  Tuesday August 30, 2016	American marten / Martes americana
170.144.101.74	08:30 pm  Tuesday August 30, 2016	Acorn woodpecker / Melanerpes formicivorus
166.7.29.214	10:25 am  Friday September 30, 2016	Acorn woodpecker / Melanerpes formicivorus
204.14.99.157	10:06 pm  Wednesday November 16, 2016	Elk / Cervus elaphus
204.14.99.157	09:19 am  Thursday November 17, 2016	Wolverine / Gulo gulo
204.14.99.157	09:21 am  Thursday November 17, 2016	Wolverine / Gulo gulo
204.14.99.157	09:25 am  Thursday November 17, 2016	Acorn woodpecker / Melanerpes formicivorus
204.14.99.157	09:28 am  Thursday November 17, 2016	Black bear / Ursus americanus
172.19.36.61	10:45 am  Thursday November 17, 2016	Downy woodpecker / Picoides  pubescens
172.19.41.198	10:46 am  Thursday November 17, 2016	Downy woodpecker / Picoides  pubescens
172.19.39.154	10:46 am  Thursday November 17, 2016	Downy woodpecker / Picoides  pubescens
172.19.43.125	10:46 am  Thursday November 17, 2016	Downy woodpecker / Picoides  pubescens
172.19.40.209	10:46 am  Thursday November 17, 2016	Downy woodpecker / Picoides  pubescens
172.19.39.142	10:46 am  Thursday November 17, 2016	American kestrel /  Falco sparverius
204.14.99.157	09:02 am  Thursday December 1, 2016	Elk / Cervus elaphus
207.118.8.251	05:29 pm  Friday December 9, 2016	Elk / Cervus elaphus
207.118.8.251	05:30 pm  Friday December 9, 2016	Elk / Cervus elaphus
207.118.8.251	05:39 pm  Friday December 9, 2016	Elk / Cervus elaphus
207.118.8.251	05:46 pm  Friday December 9, 2016	Elk / Cervus elaphus
207.118.8.251	05:49 pm  Friday December 9, 2016	Elk / Cervus elaphus
204.14.99.157	06:17 pm  Friday December 9, 2016	American kestrel / Falco sparverius
172.19.158.39	01:34 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
70.199.141.255	05:13 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
70.199.141.255	05:15 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
70.199.141.255	05:16 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
70.199.141.255	05:16 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
70.199.141.255	05:17 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
70.199.141.255	05:17 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
66.62.116.53	07:48 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
66.62.116.53	07:49 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
66.62.116.53	07:57 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
66.62.116.53	07:58 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
70.199.141.255	08:50 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
70.199.141.255	08:50 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
66.62.116.53	10:02 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
66.62.116.53	10:05 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
66.62.116.53	10:07 pm  Wednesday December 14, 2016	Elk / Cervus elaphus
172.76.100.160	00:28 am  Thursday December 15, 2016	Elk / Cervus elaphus
109.145.209.94	03:26 am  Thursday December 15, 2016	Elk / Cervus elaphus
109.145.209.94	05:40 am  Thursday December 15, 2016	Elk / Cervus elaphus
109.145.209.94	07:41 am  Thursday December 15, 2016	Elk / Cervus elaphus
109.145.209.94	07:42 am  Thursday December 15, 2016	Elk / Cervus elaphus
172.19.67.132	01:42 pm  Thursday December 15, 2016	Elk / Cervus elaphus
172.19.67.132	02:10 pm  Thursday December 15, 2016	Elk / Cervus elaphus
172.19.47.49	06:13 pm  Thursday December 15, 2016	Wolverine / Gulo gulo
172.19.47.49	06:17 pm  Thursday December 15, 2016	Elk / Cervus elaphus
172.19.47.49	06:24 pm  Thursday December 15, 2016	Elk / Cervus elaphus
172.19.41.137	06:52 pm  Thursday December 15, 2016	Elk / Cervus elaphus
67.5.151.237	07:49 pm  Thursday December 15, 2016	Elk / Cervus elaphus
67.5.151.237	07:55 pm  Thursday December 15, 2016	Elk / Cervus elaphus
172.19.41.137	08:18 pm  Thursday December 15, 2016	Elk / Cervus elaphus
172.76.100.160	09:02 pm  Thursday December 15, 2016	Elk / Cervus elaphus
69.166.47.134	09:41 pm  Thursday December 15, 2016	Elk / Cervus elaphus
69.166.47.134	09:46 pm  Thursday December 15, 2016	Elk / Cervus elaphus
67.5.151.237	09:46 pm  Thursday December 15, 2016	Elk / Cervus elaphus
69.166.47.129	09:49 pm  Thursday December 15, 2016	Elk / Cervus elaphus
66.62.116.53	09:49 pm  Thursday December 15, 2016	Elk / Cervus elaphus
67.5.151.237	11:14 pm  Thursday December 15, 2016	Elk / Cervus elaphus
70.199.139.15	11:26 pm  Thursday December 15, 2016	Elk / Cervus elaphus
70.199.139.15	11:26 pm  Thursday December 15, 2016	Elk / Cervus elaphus
76.178.146.237	07:57 am  Friday December 16, 2016	Elk / Cervus elaphus
69.166.47.129	08:51 am  Friday December 16, 2016	Elk / Cervus elaphus
69.166.47.129	08:55 am  Friday December 16, 2016	Elk / Cervus elaphus
69.166.47.129	08:55 am  Friday December 16, 2016	Elk / Cervus elaphus
69.166.47.129	10:05 am  Friday December 16, 2016	Elk / Cervus elaphus
69.166.47.129	10:12 am  Friday December 16, 2016	Elk / Cervus elaphus
69.166.47.129	10:12 am  Friday December 16, 2016	Elk / Cervus elaphus
69.166.47.129	10:17 am  Friday December 16, 2016	Elk / Cervus elaphus
76.178.177.79	10:36 am  Friday December 16, 2016	Elk / Cervus elaphus
74.50.193.136	11:00 am  Friday December 16, 2016	Elk / Cervus elaphus
69.76.16.126	11:19 am  Friday December 16, 2016	Elk / Cervus elaphus
74.50.193.136	12:37 pm  Friday December 16, 2016	Elk / Cervus elaphus
74.50.193.136	02:17 pm  Friday December 16, 2016	Elk / Cervus elaphus
