AK 1017                 -155.78 58.55    13  -99.0  -99.0  -99.0  -99.0   32.5   43.9   60.8   82.0   72.4   60.5  -99.0  -99.0
AK 1240                 -147.51 61.02    14  243.9  205.9  167.1  142.9  175.1  153.9  189.7  357.4  393.8  370.2  207.2  270.3
AK 1243                 -148.89 63.39   656   20.3    9.2   14.2   14.3   22.3   61.0   78.4   75.7   60.5   32.1   16.4   19.5
AK 1269                 -134.13 56.00    15  209.2  141.8  130.7  118.3   96.9   79.9   73.2   99.4  197.7  308.4  240.7  196.7
AK 1308                 -146.65 60.23    56  205.7  146.1  129.7  168.1  222.4  124.6  178.1  247.3  348.7  325.3  176.0  215.5
AK 1312                 -166.12 68.87    14   12.8    7.8    7.6   10.5   10.4   16.1   50.8   65.7   55.8   29.0   19.6   12.4
AK 1314                 -162.15 58.63   145   43.7   28.9   38.1   43.7   54.5   74.2   96.9  145.1  133.9  124.9   99.9   60.4
AK 1318                 -166.05 61.77   132   28.4   25.6   30.8   22.9   37.1   55.9   75.5  120.5  119.7   64.6   42.6   36.8
AK 1321                 -144.60 59.80    16  255.6  188.7  180.6  162.9  159.7  114.0  164.4  244.6  327.1  367.4  226.2  264.6
AK 1325                 -164.93 54.60    54   57.0   52.0   41.4   39.5   35.1   45.5   67.9   64.9   94.3   92.2   82.5   61.5
AK 1451                 -150.05 61.97    76   22.3   35.7   36.5   29.0   25.4   62.2   63.1   82.2   92.9   75.3   40.3   63.5
AK 1466                 -144.77 65.57   285    8.0   10.5    7.6    8.6   13.5   48.9   53.1   45.0   25.3   29.5   19.4   15.2
AK 1475                 -143.72 66.63   171    0.3  -99.0  -99.0    3.1  -99.0   27.0   34.4   18.0  -99.0   11.2  -99.0  -99.0
AK 1492                 -148.50 67.50   561   12.2   12.2   10.7    8.9   15.5   38.1   48.5   49.0   33.3   24.6   16.5   16.3
AK 1497                 -149.55 68.07   991  -99.0  -99.0  -99.0  -99.0   26.8   49.6  -99.0  -99.0   35.8   28.7   17.7   14.2
AK 1574                 -146.05 65.05   366    9.1    9.6    9.0   10.6   19.0   59.1   76.7   72.8   34.3   21.5   21.0   17.8
AK 1684                 -141.93 64.07   482    9.8   10.8    3.3    5.9   20.9   41.8   56.8   42.1   22.5   14.8   10.8    7.5
AK 1716                 -158.40 56.30     9  149.2  192.1  179.0  119.3  172.7  149.2  120.8  128.1  246.1  218.5  253.1  174.4
AK 1824                 -144.45 61.53   180   23.9   30.9    7.7    6.2   13.0   28.2   30.2   29.8   28.0   35.5   23.7   47.9
AK 1926                 -149.83 62.88   381   44.2   42.7   47.8   39.4   32.8   64.8  104.1  135.6  130.8   86.9   54.1   58.4
AK 1977                 -144.07 65.83   189   11.7   10.9   10.0    8.5    4.1   14.3   30.4   35.7   14.1   23.4   21.7   19.2
AK 1987                 -144.61 65.48   280    6.0    5.0    4.7   12.4   16.3   51.6   46.7   43.9   26.5   25.8   13.7   14.4
AK 2005                 -149.18 64.30   177   14.5   11.7   10.9    7.6   18.0   50.5   67.1   65.8   33.8   24.9   20.8   19.6
AK 201                  -158.57 59.28    21   53.7   58.0   58.9   69.3   75.0   64.2   57.6  116.4  126.0   80.8   77.3   79.2
AK 2019                 -145.52 64.05   335   21.1   16.0   15.2   13.5   26.7   65.5   69.9   49.5   33.3   33.0   28.7   19.8
AK 2102                 -162.72 55.20    29   72.1   57.7   54.9   50.0   58.2   53.3   64.0   82.3  112.0  110.2  106.4   93.2
AK 2104                 -150.18 67.25   320    4.7   12.1   13.2   12.4   22.7   54.8   67.3   78.1   69.2   35.6   19.1  -99.0
AK 2107                 -147.83 64.87   189   12.4   11.4   10.9    7.9   14.5   41.1   52.8   57.9   27.9   24.1   22.9   23.6
AK 2112                 -147.83 64.93   290   13.2   11.9   12.7    8.4   17.3   46.2   53.1   61.7   30.2   23.6   23.1   23.1
AK 2126                 -150.40 70.42     2    3.2    0.9    6.6    3.0    0.0   10.4   29.2   28.8    5.4   14.0    5.0    7.2
AK 2144                 -149.67 60.38   136   73.2   66.3   35.1   30.7   27.7   32.3   34.8   74.2  134.9  140.0   82.3   90.2
AK 2149                 -149.97 60.48   115   31.6   38.7   12.4    3.0   19.3   26.2   32.9   55.3   80.6   64.0   34.7   47.2
AK 2177                 -145.50 60.50    13  169.9  172.0  158.8  145.5  160.8  152.9  141.7  232.9  350.0  331.0  194.8  230.9
AK 2227                 -133.14 55.48     7  223.7  244.4  190.1  230.9  125.5   94.2   94.5  110.6  174.3  417.6  331.2  335.4
AK 2247                 -158.20 61.87    46   14.6    9.2   13.6   14.9   17.0   50.8   50.1   57.4   48.8   39.4   30.3   28.4
AK 230                  -152.66 66.56   165   18.3   15.6   14.9   12.5   14.6   32.0   49.3   66.2   35.9   32.6   27.1   20.2
AK 2352                 -145.11 63.96   346   10.6    6.6    4.6    8.1   26.0   47.5   62.6   44.9   29.2   20.9   13.7    8.5
AK 243                  -149.13 60.97    76  148.1   99.8   87.6   79.5   51.8   54.6   62.0   99.8  152.4  165.1  107.7  123.4
AK 2457                 -158.52 59.05    26   40.6   32.5   38.4   27.2   36.3   42.7   67.1   99.8   81.0   58.7   49.5   47.0
AK 2465                 -158.83 59.18    12   47.2   34.9   40.7   30.2   42.4   54.3   72.6   99.0   83.6   64.9   55.6   48.8
AK 2522                 -144.04 63.66   378   19.2   11.2   13.2   13.0   38.3   41.0   36.5   39.8  -99.0   16.1   16.7   21.5
