AK 1017                 -155.78 58.55    13  -99.0  -99.0  -99.0  -99.0   29.1   40.0   57.9  102.4   78.8   52.0  -99.0  -99.0
AK 1240                 -147.51 61.02    14  325.1  224.5  191.8  148.0  168.3  134.2  172.7  484.5  401.7  344.2  233.2  229.3
AK 1243                 -148.89 63.39   656   25.2    9.7   16.6   14.5   17.8   55.1   89.7   98.8   67.1   31.9   18.1   20.2
AK 1269                 -134.13 56.00    15  262.3  123.9  126.9  135.0  104.1   87.8   68.1  111.2  215.6  350.1  273.6  178.9
AK 1308                 -146.65 60.23    56  283.1  165.2  143.7  170.7  223.1  108.5  156.8  346.0  348.9  307.2  203.5  172.2
AK 1312                 -166.12 68.87    14   13.0   10.8    8.1    8.7    7.4   16.4   56.3   71.0   64.6   28.9   21.0   15.6
AK 1314                 -162.15 58.63   145   42.5   39.0   42.8   51.5   50.7   72.4  113.1  178.6  151.9  123.2  107.0   63.2
AK 1318                 -166.05 61.77   132   31.1   32.4   35.3   24.5   30.7   60.4   85.4  134.3  141.4   68.4   43.3   42.0
AK 1321                 -144.60 59.80    16  363.0  200.4  194.0  166.5  164.2  109.2  140.8  327.1  323.2  347.8  248.6  219.9
AK 1325                 -164.93 54.60    54   54.7   55.2   44.4   48.4   38.0   56.7   71.2   78.4  102.7   98.2   86.4   62.5
AK 1451                 -150.05 61.97    76   27.5   39.2   43.3   30.9   21.2   54.5   67.4  107.1  100.2   69.7   45.1   63.6
AK 1466                 -144.77 65.57   285   10.6   10.7    7.5    7.7   13.5   48.9   63.0   54.5   31.3   28.0   18.5   15.0
AK 1475                 -143.72 66.63   171    0.4  -99.0  -99.0    2.8  -99.0   26.2   39.2   20.5  -99.0   10.3  -99.0  -99.0
AK 1492                 -148.50 67.50   561   14.3   13.4   10.1    7.2   14.4   33.5   53.4   54.4   40.1   21.9   17.5   17.9
AK 1497                 -149.55 68.07   991  -99.0  -99.0  -99.0  -99.0   24.9   41.9  -99.0  -99.0   42.9   25.3   19.1   15.8
AK 1574                 -146.05 65.05   366   11.5    9.7    9.1    9.3   19.6   58.5   91.1   87.7   42.3   20.7   20.1   18.3
