AK 1017                 -155.78 58.55    13  -99.0  -99.0  -99.0  -99.0   38.8   46.6   65.2   92.8   85.6   62.4  -99.0  -99.0
AK 1240                 -147.51 61.02    14  365.7  215.6  202.3  186.0  213.8  166.2  205.6  408.6  430.6  396.7  268.1  270.2
AK 1243                 -148.89 63.39   656   31.6    8.9   15.4   18.9   27.2   59.9   76.8   93.2   61.3   32.3   21.4   21.0
AK 1269                 -134.13 56.00    15  252.1  155.4  133.4  159.5  101.1   89.6   98.6  104.4  209.5  361.7  235.1  184.4
AK 1308                 -146.65 60.23    56  304.4  156.8  167.6  215.5  271.1  135.8  203.9  267.8  398.3  366.4  226.6  204.0
AK 1312                 -166.12 68.87    14   21.3    6.0    6.1   10.4   10.4   13.2   43.0   87.9   51.9   28.7   29.1   22.6
AK 1314                 -162.15 58.63   145   49.0   25.6   41.3   58.8   62.1   78.9  101.5  165.3  150.4  140.3  137.3   77.3
AK 1318                 -166.05 61.77   132   43.0   22.5   32.1   27.6   43.1   51.8   73.4  142.9  130.7   69.1   63.4   51.5
AK 1321                 -144.60 59.80    16  367.8  199.2  229.8  192.0  188.9  125.8  189.6  250.5  369.3  394.0  272.3  248.5
AK 1325                 -164.93 54.60    54   59.0   46.2   41.8   49.3   42.9   54.6   72.5   82.0   89.9  102.9   87.3   60.8
AK 1451                 -150.05 61.97    76   33.2   35.4   39.8   39.2   31.0   62.4   63.2   99.9   97.7   77.5   52.3   70.4
AK 1466                 -144.77 65.57   285   12.8    9.8    8.1   11.1   15.2   57.3   57.4   57.3   26.4   29.0   20.5   16.0
AK 1475                 -143.72 66.63   171    0.4  -99.0  -99.0    3.9  -99.0   31.0   37.7   21.5  -99.0   11.3  -99.0  -99.0
AK 1492                 -148.50 67.50   561   16.8   11.5   10.0   11.0   16.3   39.3   53.2   56.8   33.7   26.3   21.9   21.4
AK 1497                 -149.55 68.07   991  -99.0  -99.0  -99.0  -99.0   29.0   49.1  -99.0  -99.0   36.3   31.6   24.7   19.3
AK 1574                 -146.05 65.05   366   14.9    9.0    9.7   13.5   21.4   69.0   82.7   93.5   35.8   21.3   23.7   18.8
