AK 1017                 -155.78 58.55    13  -99.0  -99.0  -99.0  -99.0   34.6   44.9   65.6  114.7   79.2   61.9  -99.0  -99.0
AK 1240                 -147.51 61.02    14  270.1  279.6  295.0  184.9  191.2  143.3  222.5  478.1  416.3  431.4  291.1  342.3
AK 1243                 -148.89 63.39   656   22.4   11.7   23.9   16.9   26.2   69.5   88.3  102.1   64.2   43.7   23.8   24.1
AK 1269                 -134.13 56.00    15  234.5  160.9  173.9  179.1  114.2   82.6   80.8  115.5  218.7  311.2  264.7  252.4
AK 1308                 -146.65 60.23    56  225.5  193.1  224.9  228.5  245.1  106.6  221.8  334.9  387.0  392.9  251.6  279.2
AK 1312                 -166.12 68.87    14   14.6    9.0    8.1    8.7   10.5   19.6   46.7   76.1   65.9   45.0   26.4   16.8
AK 1314                 -162.15 58.63   145   48.6   37.1   45.9   46.1   64.0   84.1  103.1  188.5  157.4  139.3  116.6   72.5
AK 1318                 -166.05 61.77   132   36.0   32.3   38.0   21.7   39.7   75.2   81.9  155.2  132.6   76.9   48.3   45.8
AK 1321                 -144.60 59.80    16  275.0  249.1  318.7  231.7  176.6   98.2  208.3  312.4  354.9  421.1  301.6  344.2
AK 1325                 -164.93 54.60    54   61.3   53.0   46.8   43.1   43.6   57.6   71.2   81.1  120.0  101.6   89.1   68.2
AK 1451                 -150.05 61.97    76   23.8   46.4   63.0   34.8   28.5   69.2   72.4  112.4   97.5   94.1   56.6   80.1
AK 1466                 -144.77 65.57   285    8.5   12.9   10.0   10.3   16.4   52.8   60.1   56.3   29.8   41.2   25.9   18.1
AK 1475                 -143.72 66.63   171    0.3  -99.0  -99.0    3.7  -99.0   29.1   39.5   20.4  -99.0   15.3  -99.0  -99.0
AK 1492                 -148.50 67.50   561   12.9   16.4   14.2    9.1   18.0   41.2   57.0   51.5   41.2   35.9   20.9   20.4
AK 1497                 -149.55 68.07   991  -99.0  -99.0  -99.0  -99.0   31.0   52.5  -99.0  -99.0   43.1   41.2   21.6   18.4
AK 1574                 -146.05 65.05   366   10.0   11.7   12.2   12.1   22.5   63.4   87.2   89.6   39.3   30.4   28.7   21.6
AK 1684                 -141.93 64.07   482   11.7   14.2    5.0    8.3   27.0   43.8   62.4   55.8   25.6   19.0   13.9    9.1
AK 1716                 -158.40 56.30     9  161.6  257.9  245.1  137.8  203.5  159.6  121.9  171.7  288.6  234.6  298.3  212.6
AK 1824                 -144.45 61.53   180   27.2   41.9   13.5    8.6   15.0   26.4   34.5   39.2   30.2   42.6   31.8   61.2
AK 1926                 -149.83 62.88   381   48.1   53.8   82.0   46.7   38.7   73.9  118.7  184.2  138.8  117.1   79.3   72.8
AK 1977                 -144.07 65.83   189   12.2   13.4   13.1   10.7    5.1   15.7   34.4   45.8   17.1   32.4   28.3   22.4
AK 1987                 -144.61 65.48   280    6.4    6.1    6.2   15.1   19.9   56.0   52.8   55.5   31.4   35.9   18.2   17.0
AK 2005                 -149.18 64.30   177   16.0   14.6   16.5    8.4   20.6   59.0   79.4   85.7   37.8   36.2   28.8   24.2
AK 201                  -158.57 59.28    21   55.3   82.3   80.3   74.3   83.3   70.3   62.6  166.7  144.2   89.5   89.6   99.0
AK 2019                 -145.52 64.05   335   24.6   20.8   24.1   17.0   32.2   71.6   75.5   65.6   35.9   44.9   39.7   24.1
AK 2102                 -162.72 55.20    29   80.0   67.9   66.2   57.5   74.9   65.4   65.7  110.1  136.3  125.1  117.4  105.4
AK 2104                 -150.18 67.25   320    5.0   15.8   17.1   12.0   25.9   61.7   79.5   85.1   85.4   54.6   23.4  -99.0
AK 2107                 -147.83 64.87   189   13.9   14.0   15.4    8.5   16.7   46.0   63.0   71.7   32.0   35.6   31.7   29.0
AK 2112                 -147.83 64.93   290   14.7   14.5   17.8    9.0   19.9   51.7   63.6   76.2   34.7   35.0   32.0   28.4
AK 2126                 -150.40 70.42     2    3.8    1.2    9.5    3.0    0.0   11.8   31.8   30.7    6.4   20.5    6.2    9.2
AK 2144                 -149.67 60.38   136   80.5   93.6   62.2   36.4   28.6   30.1   39.8   99.9  137.8  147.9  115.0  111.2
AK 2149                 -149.97 60.48   115   34.6   54.0   22.1    3.6   20.0   25.0   37.7   74.3   82.5   67.8   48.3   58.3
AK 2177                 -145.50 60.50    13  185.7  228.0  277.6  199.9  177.9  133.1  175.1  309.4  383.7  391.9  271.6  299.0
AK 2227                 -133.14 55.48     7  251.7  262.1  251.4  342.5  145.7  100.2  101.0  124.3  190.1  424.8  360.8  431.6
AK 2247                 -158.20 61.87    46   14.4   13.2   17.8   15.9   18.3   62.8   59.9   85.2   54.0   49.0   34.5   37.3
AK 230                  -152.66 66.56   165   20.4   20.4   18.5   11.0   15.5   39.0   61.6   77.8   44.4   54.1   32.4   24.0
AK 2352                 -145.11 63.96   346   12.4    8.7    7.3   10.4   31.8   51.6   67.3   59.6   31.6   28.1   18.7   10.4
AK 243                  -149.13 60.97    76  162.2  137.1  155.4   97.2   55.1   53.1   71.4  134.5  157.5  184.8  150.8  154.4
AK 2457                 -158.52 59.05    26   42.1   45.8   53.0   29.4   40.4   46.4   72.4  141.4   92.7   64.3   57.8   58.6
AK 2465                 -158.83 59.18    12   49.0   49.3   54.5   32.2   47.6   59.4   78.3  140.8   97.0   71.9   64.0   60.5
AK 2522                 -144.04 63.66   378   23.3   15.1   21.5   17.7   48.2   43.5   38.1   53.6  -99.0   21.0   22.5   26.6
AK 2568                 -144.60 63.67   412   20.1   13.0   19.8   15.3   51.4   55.7   74.3   82.8   38.0   38.5   31.8   28.2
AK 2587                 -166.53 53.90     4  195.6  154.6  153.6   88.1  107.0   68.2   53.0   64.9  168.5  196.5  181.7  221.8
AK 26                   -176.65 51.88     5  132.7  100.0  108.9  112.0   83.8   76.3   77.6  112.3  147.8  195.6  213.3  209.0
AK 260                  -157.87 67.08    37   32.7   37.8   29.1   29.2   33.9   48.7   75.0  119.4  108.6   57.6   23.4   50.9
AK 2607                 -141.20 64.78   259   13.9   14.7   10.3   13.5   28.5   47.1   60.7   61.3   34.5   33.1   22.5   21.7
AK 2648                 -149.43 61.23   653    0.7   18.8   43.4   13.5   16.1   41.4   54.0   74.2   80.2   36.8   42.9   33.4
AK 2656                 -149.43 61.29   183   27.3   29.7   31.3   23.9   22.8   39.9   59.9   75.9   66.0   54.0   78.1   45.6
AK 2665                 -150.28 62.53   232   68.3   65.2  105.0  -99.0  -99.0  110.8  127.3  -99.0  141.9  129.5  103.6   76.2
AK 270                  -151.77 68.17   640   11.1   15.3    9.0   13.0   19.4   53.7   46.1   32.4   27.5   45.4    6.0   16.0
AK 2707                 -147.10 64.67   167   16.0   13.9   17.0   11.1   20.5   48.7   73.9   75.6   37.1   36.4   27.3   22.6
AK 2730                 -149.17 61.47    12   30.7   31.6   35.8   23.5   25.0   49.6   74.5   83.8   71.9   52.6   47.7   45.3
