AK 1017                 -155.78 58.55    13  -99.0  -99.0  -99.0  -99.0   27.4   49.0   54.5   81.4   73.3   79.1  -99.0  -99.0
AK 1240                 -147.51 61.02    14  246.9  195.5  187.3  130.1  136.7  160.7  224.3  360.0  413.9  489.4  206.4  350.8
AK 1243                 -148.89 63.39   656   23.9    7.4   15.0   13.6   16.8  100.5   88.2   79.5   70.4   43.4   17.0   25.1
AK 1269                 -134.13 56.00    15  207.6  166.2  106.3  131.9  104.0  101.7   87.0   95.2  218.2  353.3  214.5  194.0
AK 1308                 -146.65 60.23    56  205.8  145.1  145.5  158.7  170.4  118.8  198.0  245.4  354.6  417.5  174.1  266.8
AK 1312                 -166.12 68.87    14   21.0    7.1    8.3   12.9   10.1   21.2   65.7   83.0   68.5   27.9   22.3   21.4
AK 1314                 -162.15 58.63   145   45.1   26.6   49.0   37.2   41.0   75.4   87.1  143.7  142.4  157.4  108.5   69.8
AK 1318                 -166.05 61.77   132   34.7   21.7   37.3   18.4   26.4   55.9   79.8  138.3  139.2   73.2   46.6   49.3
AK 1321                 -144.60 59.80    16  253.3  188.0  177.8  151.6  121.7  105.6  183.8  243.0  342.9  449.6  210.9  315.4
AK 1325                 -164.93 54.60    54   56.2   53.3   43.3   34.4   28.4   39.5   56.4   66.5   93.4  118.7   93.6   64.6
AK 1451                 -150.05 61.97    76   23.0   32.4   45.1   26.3   19.7   74.2   73.4   82.8  100.8  105.3   43.6   87.8
AK 1466                 -144.77 65.57   285   10.1    7.8    6.9    9.4    9.3   94.5   60.0   46.5   30.2   32.2   19.8   18.3
AK 1475                 -143.72 66.63   171    0.4  -99.0  -99.0    3.4  -99.0   45.4   39.6   18.7  -99.0   11.8  -99.0  -99.0
AK 1492                 -148.50 67.50   561   17.3    8.8   10.6    9.3   11.0   63.0   64.0   56.7   42.7   25.2   17.2   19.9
AK 1497                 -149.55 68.07   991  -99.0  -99.0  -99.0  -99.0   19.2   82.9  -99.0  -99.0   46.0   29.6   18.6   17.3
AK 1574                 -146.05 65.05   366   11.3    7.3    8.7   11.0   13.5  106.1   86.5   76.2   41.0   24.7   21.5   21.8
AK 1684                 -141.93 64.07   482   10.8    8.4    3.0    5.9   18.1   75.8   61.2   45.2   25.9   17.4   10.9    8.4
AK 1716                 -158.40 56.30     9  145.6  191.9  220.9  116.2  136.1  140.7  107.3  131.7  244.5  273.7  281.5  195.2
AK 1824                 -144.45 61.53   180   24.3   28.7    7.1    5.5   10.3   32.0   36.0   30.4   30.5   44.2   21.1   59.8
AK 1926                 -149.83 62.88   381   48.6   36.5   55.5   37.0   24.4   93.3  117.3  141.7  149.9  117.6   58.2   77.7
AK 1977                 -144.07 65.83   189   14.5    7.9    8.6    9.5    2.8   29.4   34.5   36.6   16.7   25.0   21.9   22.9
AK 1987                 -144.61 65.48   280    7.6    3.7    4.3   13.6   11.3  100.0   52.8   45.4   31.7   28.1   14.0   17.3
AK 2005                 -149.18 64.30   177   17.4    9.2   11.7    7.4   13.0   84.5   75.5   70.3   40.4   32.2   22.2   25.1
AK 201                  -158.57 59.28    21   52.6   49.8   78.0   62.2   58.3   68.9   49.9  115.9  134.7  110.5   85.8   99.1
AK 2019                 -145.52 64.05   335   23.7   12.3   14.2   13.1   21.5  109.0   76.6   51.5   39.1   41.6   28.3   23.9
AK 2102                 -162.72 55.20    29   71.4   58.4   62.0   45.1   44.7   46.2   52.3   82.8  108.1  142.1  122.0   97.9
AK 2104                 -150.18 67.25   320    6.5    9.0   13.4   13.0   15.8   95.1   85.6   91.9   89.6   37.6   20.6  -99.0
AK 2107                 -147.83 64.87   189   15.4    8.8   11.3    8.0   10.1   71.8   59.7   61.6   33.7   28.8   24.0   29.6
AK 2112                 -147.83 64.93   290   16.6    9.1   13.1    8.6   12.0   81.6   60.0   65.8   36.6   27.9   24.2   28.8
AK 2126                 -150.40 70.42     2    4.6    0.8    5.6    3.1    0.0   14.9   35.7   31.2    6.4   14.4    5.2    7.8
AK 2144                 -149.67 60.38   136   73.5   64.4   45.6   30.3   22.4   33.3   36.0   73.3  137.4  186.2   87.9  119.1
AK 2149                 -149.97 60.48   115   31.8   37.2   16.1    3.0   15.7   27.6   34.1   54.7   82.7   85.4   37.2   62.6
AK 2177                 -145.50 60.50    13  169.8  168.6  166.0  135.0  124.2  152.4  162.2  233.2  365.1  417.5  186.7  283.6
AK 2227                 -133.14 55.48     7  223.9  292.3  154.6  260.2  137.5  124.2  112.4  104.5  192.0  478.8  293.4  331.6
AK 2247                 -158.20 61.87    46   15.5    7.1   17.4   12.8   13.1   67.9   45.0   62.3   58.6   52.0   37.7   37.7
AK 230                  -152.66 66.56   165   23.8   12.1   16.2   13.2    9.8   52.2   59.6   78.5   47.1   36.0   31.5   25.3
AK 2352                 -145.11 63.96   346   11.8    5.1    4.3    7.9   21.1   80.1   68.3   47.0   34.2   25.9   13.5   10.2
AK 243                  -149.13 60.97    76  150.1   94.3  106.9   73.9   40.9   58.8   70.9   99.9  159.8  224.8  112.7  165.4
AK 2457                 -158.52 59.05    26   40.0   28.5   51.3   24.8   28.5   46.6   58.7   99.7   85.9   79.0   54.6   58.1
AK 2465                 -158.83 59.18    12   46.4   30.2   53.9   27.2   33.0   58.5   63.2   98.7   89.3   87.9   61.5   60.6
AK 2522                 -144.04 63.66   378   21.0    8.0   11.7   12.6   32.5   74.1   38.4   42.3  -99.0   19.2   16.6   24.2
AK 2568                 -144.60 63.67   412   18.4    7.4   11.0   11.1   34.4   89.4   76.2   65.0   41.5   35.5   22.9   26.8
AK 2587                 -166.53 53.90     4  174.4  164.4  140.6   70.0   73.8   48.4   42.1   56.2  134.0  232.0  186.7  209.8
AK 26                   -176.65 51.88     5  147.6  102.1  122.7   98.5   54.6   58.1   88.0  104.3  135.3  167.3  197.0  182.6
AK 260                  -157.87 67.08    37   38.5   24.4   27.2   38.0   26.7   43.6   81.5  126.4  117.4   35.4   25.8   54.8
AK 2607                 -141.20 64.78   259   14.2    9.1    6.8   10.3   17.5   75.9   56.6   49.2   34.9   29.4   18.3   21.6
AK 2648                 -149.43 61.23   653    0.6   13.0   29.7   10.0   11.8   45.3   55.3   55.1   81.8   44.7   32.2   36.3
AK 2656                 -149.43 61.29   183   25.5   20.5   21.4   17.6   16.6   43.5   61.8   56.3   67.3   65.2   58.5   49.7
AK 2665                 -150.28 62.53   232   68.4   45.5   74.9  -99.0  -99.0  126.1  123.7  -99.0  149.4  134.1   79.4   81.3
AK 270                  -151.77 68.17   640   14.9    9.2    7.2   14.6   11.7   82.5   55.3   37.1   29.0   30.8    6.0   15.9
AK 2707                 -147.10 64.67   167   17.1    8.7   11.8    9.7   12.7   75.3   72.2   62.7   39.4   30.9   20.3   23.0
AK 2730                 -149.17 61.47    12   28.5   22.0   24.1   16.8   18.0   51.9   80.8   61.9   72.5   63.2   35.3   50.0
AK 2770                 -135.22 58.97    16   72.2  101.2   39.8   42.5   36.9   57.7   63.0   81.4  145.6  206.1   81.6   70.5
AK 2785                 -136.67 58.20     6  215.9  200.1  148.7  150.8  140.9   88.7  160.9  195.1  345.0  477.9  235.4  261.2
AK 280                  -150.02 61.17    35   20.5   18.4   21.9   15.8   14.6   32.8   49.0   62.0   73.0   71.0   30.2   38.6
AK 2820                 -149.80 61.25    59   21.2   20.0   24.2   15.1   14.0   34.3   55.7   59.7   71.9   63.3   27.6   42.0
AK 2825                 -164.51 62.77     4   29.6   18.0   32.9   10.7   18.1   34.6   56.1   81.6   80.6   37.6   37.9   44.0
AK 2835                 -145.08 61.44   568  -99.0  -99.0   31.6    9.0   12.3   62.4   34.3   48.1   66.9   89.3   58.9  -99.0
AK 2952                 -147.17 61.95  1017   15.4   17.3   17.4    9.7   21.3   79.9   86.2   55.1   30.2   22.3   17.8   35.8
AK 2968                 -147.87 64.82   133   14.8    7.9    9.7    8.2   10.9   60.5   53.7   53.0   29.1   27.5   21.3   27.1
AK 3009                 -153.62 62.53   323   12.3   12.1   24.5   15.7   19.5   89.1   86.0   83.9   64.6   45.7   20.1   25.7
AK 302                  -149.33 61.62   151   21.5   16.8   21.8   12.3   18.2   50.0   83.1   68.0   78.5   64.4   31.2   41.6
AK 3072                 -133.62 57.27     9  130.7  121.1   53.7   81.1   79.1   97.5  111.3  128.0  194.4  276.0  133.8  158.5
AK 3082                 -149.92 66.01   144   11.6  -99.0  -99.0   10.8    8.8   56.0   46.1  -99.0   27.0   32.3  -99.0  -99.0
AK 3085                 -158.00 62.45    99    8.8    8.9   16.4   13.6   13.1   64.2   48.7   80.4   65.7   43.5   36.6   31.3
AK 310                  -134.58 57.50     3  107.9   99.5   58.0   66.1   64.8   70.4   95.4  120.4  190.6  273.6  126.6  127.2
AK 3160                 -147.33 65.00   494   20.6   10.9   14.1   10.1   21.8   89.6   93.9  104.5   60.6   45.1   41.4   34.0
AK 3175                 -145.27 66.57   131    9.7    5.3    7.0    6.9    2.0   33.2   23.5   22.9   18.0   16.5   25.1   20.7
AK 3198                 -134.90 58.25     8  114.6  111.5   67.1   73.7   78.6   79.7  101.0  115.4  170.3  261.7  127.3  -99.0
AK 3210                 -149.48 68.48   813   31.3    5.2   14.5    9.3    6.0   56.1  -99.0   69.0  -99.0   31.7    6.5   11.7
