AK 1017                 -155.78 58.55    13  -99.0  -11.3   -8.7   -3.8    1.9    5.4    9.1    9.3    5.2   -1.8   -5.2  -99.0
AK 1240                 -147.51 61.02    14   -7.8   -5.6   -6.5   -2.3    2.5    6.9   10.0    9.0    5.1    1.2   -3.2   -4.6
AK 1243                 -148.89 63.39   656  -19.9  -19.2  -17.2   -9.9   -0.8    4.4    8.7    6.1    0.2   -9.0  -16.0  -18.0
AK 1254                 -141.75 67.15   302  -26.2  -24.7  -99.0  -16.1   -1.4  -99.0   10.7    7.0   -1.5   -9.7  -19.4  -99.0
AK 1269                 -134.13 56.00    15   -1.8    2.9    1.3    3.2    5.7    7.9    9.9   10.8    9.5    7.0    3.3    0.6
AK 1308                 -146.65 60.23    56    0.2    1.6   -1.5    1.3    6.7    9.2   11.8   11.8    8.8    5.3    3.2    3.8
AK 1312                 -166.12 68.87    14  -18.5  -24.2  -20.8  -17.0   -5.5    1.3    5.5    6.5    2.4   -5.5  -13.5  -16.2
AK 1314                 -162.15 58.63   145   -6.6  -10.6   -7.0   -3.3    2.1    5.9    9.0   10.2    7.7    0.8   -1.8   -7.0
AK 1318                 -166.05 61.77   132  -11.6  -14.8  -12.2   -7.8   -0.2    4.7    8.4    8.9    6.0   -1.3   -5.8  -12.7
AK 1321                 -144.60 59.80    16   -0.0    2.0   -0.7    1.5    6.3    9.1   12.1   11.8    9.1    6.0    3.4    3.1
AK 1325                 -164.93 54.60    54   -0.5   -2.3   -1.0    0.5    2.7    5.2    8.0    8.9    7.3    3.8    1.4   -0.1
AK 1451                 -150.05 61.97    76  -15.1  -14.6  -13.7   -5.5    2.1    7.8   11.5    9.2    3.4   -5.2  -13.1  -13.2
AK 1466                 -144.77 65.57   285  -24.4  -22.8  -17.2  -12.5    0.0    7.5   10.5    6.7   -1.0  -11.3  -18.8  -20.8
AK 1475                 -143.72 66.63   171  -25.2  -23.7  -19.2  -11.8   -0.6    8.3   11.6    7.4   -1.1  -10.4  -18.8  -99.0
AK 1492                 -148.50 67.50   561  -30.6  -30.9  -25.7  -18.3   -3.2    4.7    7.1    3.3   -3.6  -13.9  -24.5  -26.0
AK 1497                 -149.55 68.07   991  -27.6  -27.6  -20.5  -16.0   -4.4    3.3    5.6    2.1   -5.3  -15.7  -22.0  -23.3
AK 1574                 -146.05 65.05   366  -24.7  -22.6  -17.2  -11.3   -0.9    5.4    8.7    5.6   -1.4  -11.1  -18.1  -21.0
AK 1641                 -136.08 57.67     3   -5.0    1.9   -0.7    1.9    5.3    7.1   10.5   10.1    8.0    5.3    2.0   -1.3
AK 1684                 -141.93 64.07   482  -30.8  -27.0  -21.3  -12.1   -1.7    4.0    7.1    3.6   -3.0  -11.8  -21.4  -25.6
AK 1716                 -158.40 56.30     9   -2.6   -5.0   -2.3   -0.5    2.5    6.6    9.5    9.7    6.6    1.3   -1.0   -2.2
AK 1814                 -142.02 62.08   967  -99.0  -23.6  -19.8  -11.2   -2.1    1.0  -99.0  -99.0   -4.5  -13.1  -99.0  -99.0
AK 1824                 -144.45 61.53   180  -24.3  -18.4  -14.6   -4.1    3.1    8.2   11.0    8.2    2.5   -3.5  -15.0  -20.4
AK 1926                 -149.83 62.88   381  -13.1  -11.9  -10.7   -4.8    2.8    8.2   11.4    9.4    3.2   -4.1  -10.3  -10.7
AK 1977                 -144.07 65.83   189  -25.2  -23.3  -18.7  -13.8    0.2    9.2   11.9    7.9   -0.7  -10.9  -18.2  -20.8
AK 1987                 -144.61 65.48   280  -24.6  -23.0  -17.3  -11.0    0.7    8.4   11.6    8.2    0.3  -10.0  -18.9  -21.2
AK 2005                 -149.18 64.30   177  -25.0  -24.0  -18.4   -7.4    3.3    9.8   12.8    9.1    1.1   -9.6  -20.2  -21.3
AK 201                  -158.57 59.28    21   -8.5  -12.3   -9.2   -3.8    1.6    5.6    9.7    8.6    5.0   -3.1   -6.2  -10.3
AK 2019                 -145.52 64.05   335  -26.5  -23.5  -19.0   -8.6    0.5    6.7    9.3    5.9   -0.7   -9.3  -19.2  -22.9
AK 2084                 -132.83 56.00     3  -99.0    0.7  -99.0    2.2    5.5    8.9   11.6   11.1    7.8    5.3    1.7   -2.0
AK 2102                 -162.72 55.20    29   -2.1   -4.0   -2.6   -0.5    2.7    5.7    8.8    9.7    7.4    2.5   -0.0   -1.5
AK 2104                 -150.18 67.25   320  -28.5  -28.8  -21.8  -13.9    0.4    6.8    9.8    5.8   -1.7  -11.4  -21.9  -23.9
AK 2107                 -147.83 64.87   189  -22.9  -21.6  -15.4   -6.8    3.1    9.7   12.3    9.2    2.1   -7.6  -16.9  -19.7
AK 2112                 -147.83 64.93   290  -20.1  -18.5  -13.3   -5.9    3.9    9.7   12.5    9.6    2.5   -6.7  -14.5  -16.9
AK 2126                 -150.40 70.42     2  -26.5  -27.7  -23.9  -20.4   -8.9    0.4    5.0    4.2   -0.8  -11.9  -21.1  -22.8
AK 2144                 -149.67 60.38   136   -7.8   -7.0   -8.1   -1.7    3.9    7.4   10.7   10.1    5.8    0.7   -2.5   -3.8
AK 2149                 -149.97 60.48   115  -11.7   -9.3  -10.3   -3.5    2.0    5.8    9.1    7.5    2.9   -2.6   -7.3   -9.0
AK 2177                 -145.50 60.50    13   -8.0   -4.3   -6.2   -1.5    4.4    7.7   10.2    9.0    5.1    1.9   -2.7   -4.1
AK 2222                 -147.98 60.07    21   -4.2   -1.0   -4.4   -1.1  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0
AK 2227                 -133.14 55.48     7   -2.4    2.2    0.7    2.9    5.3    7.9   11.2   11.4    9.9    6.7    2.8   -0.2
AK 2247                 -158.20 61.87    46  -15.8  -19.3  -14.2   -6.1    1.4    6.8   10.1    9.2    3.2   -5.9  -12.2  -16.4
