AK 1017                 -155.78 58.55    13  -99.0  -99.0  -99.0  -99.0   38.8   54.2   68.6  105.3   85.4   76.0  -99.0  -99.0
AK 1240                 -147.51 61.02    14  301.7  232.5  218.1  203.4  276.0  177.7  249.0  488.8  572.1  436.4  295.2  328.9
AK 1243                 -148.89 63.39   656   27.9   11.7   21.9   20.3   30.9   72.8  101.1  115.2   99.5   41.9   22.9   26.6
AK 1269                 -134.13 56.00    15  237.3  187.2  138.1  133.4  119.0   75.2   71.5   92.4  239.6  351.6  328.6  210.3
AK 1308                 -146.65 60.23    56  251.8  165.5  164.0  235.3  398.7  139.9  242.9  324.4  504.8  365.2  262.3  260.8
AK 1312                 -166.12 68.87    14   24.9   12.0   17.7   14.1   12.4   25.9   75.2   76.0   81.2   39.7   22.8   22.2
AK 1314                 -162.15 58.63   145   70.9   36.6   68.7   60.8   57.6  102.7  118.2  189.0  168.3  162.0  122.1   82.6
AK 1318                 -166.05 61.77   132   39.3   38.4   63.4   27.8   32.5   89.6  111.7  155.1  138.3   85.5   48.2   47.1
AK 1321                 -144.60 59.80    16  298.6  220.4  212.3  217.7  275.6  130.1  232.0  311.0  468.8  426.0  330.1  317.4
AK 1325                 -164.93 54.60    54   83.7   73.1   58.1   49.3   36.0   56.8   77.1   77.4  125.3  107.0   84.4   78.6
AK 1451                 -150.05 61.97    76   30.1   42.1   54.4   41.2   36.1   74.3   83.6  126.9  148.2   94.5   55.2   84.7
AK 1466                 -144.77 65.57   285   13.8   16.5   13.4   12.8   16.8   57.9   64.0   66.4   44.7   45.8   29.7   23.4
AK 1475                 -143.72 66.63   171    0.5  -99.0  -99.0    4.4  -99.0   29.8   43.1   26.2  -99.0   16.7  -99.0  -99.0
AK 1492                 -148.50 67.50   561   19.4   14.7   17.9   11.4   17.9   43.7   57.5   72.5   55.3   37.1   23.3   27.1
AK 1497                 -149.55 68.07   991  -99.0  -99.0  -99.0  -99.0   30.7   57.3  -99.0  -99.0   59.0   43.2   24.7   23.9
