AK 1017                 -155.78 58.55    13  -99.0  -99.0  -99.0  -99.0   37.0   59.1   75.9   96.8   80.4   71.5  -99.0  -99.0
AK 1240                 -147.51 61.02    14  384.9  238.5  205.7  198.0  253.7  195.9  219.3  480.3  462.8  412.4  300.0  348.7
AK 1243                 -148.89 63.39   656   33.8   11.0   18.3   20.2   32.0   68.5   94.9  119.7   74.4   37.7   22.8   29.4
AK 1269                 -134.13 56.00    15  276.3  156.6  129.4  112.8   94.1   94.1   72.9   86.2  223.9  321.7  300.9  230.9
AK 1308                 -146.65 60.23    56  318.8  164.7  156.4  230.1  342.8  174.7  196.5  316.2  419.4  348.9  266.4  268.6
AK 1312                 -166.12 68.87    14   23.0   13.3   14.7   12.4   10.5   19.1   58.3   68.5   56.3   35.6   21.6   19.8
AK 1314                 -162.15 58.63   145   60.3   34.6   55.1   53.4   60.5   99.2  117.3  177.0  153.2  145.2  135.1   82.9
AK 1318                 -166.05 61.77   132   37.0   37.8   45.8   26.4   44.0   71.3   92.7  142.8  103.8   72.2   47.2   51.9
AK 1321                 -144.60 59.80    16  373.1  210.3  210.0  213.1  227.6  165.4  184.2  300.8  410.1  397.1  335.5  333.6
AK 1325                 -164.93 54.60    54   67.6   61.4   58.4   42.2   40.4   64.9   64.4   81.5  110.7   96.4  106.2   77.5
AK 1451                 -150.05 61.97    76   37.7   42.6   46.6   41.1   37.2   71.3   79.4  127.1  110.5   87.0   54.7   92.4
AK 1466                 -144.77 65.57   285   13.3   12.8   10.0   12.3   17.9   56.5   58.7   75.6   36.0   38.8   29.3   26.0
AK 1475                 -143.72 66.63   171    0.5  -99.0  -99.0    4.3  -99.0   30.4   37.8   27.9  -99.0   14.5  -99.0  -99.0
AK 1492                 -148.50 67.50   561   20.6   14.4   13.9   12.7   17.7   41.8   53.8   73.4   48.7   30.1   20.4   23.0
AK 1497                 -149.55 68.07   991  -99.0  -99.0  -99.0  -99.0   30.2   53.7  -99.0  -99.0   51.9   34.9   21.5   19.8
AK 1574                 -146.05 65.05   366   16.4   11.6   11.9   15.4   26.2   68.4   86.4  128.0   47.9   29.4   33.2   35.2
AK 1684                 -141.93 64.07   482   15.6   13.6    4.5    8.0   27.3   49.1   62.0   68.2   30.8   18.4   16.9   12.1
AK 1716                 -158.40 56.30     9  185.5  217.2  217.9  143.5  173.0  198.4  133.2  144.1  306.6  236.7  316.6  193.7
AK 1824                 -144.45 61.53   180   36.1   35.6    9.6    8.1   17.7   34.0   33.8   40.8   35.0   39.6   35.9   65.9
AK 1926                 -149.83 62.88   381   74.7   50.7   61.1   55.4   48.4   73.5  131.5  213.7  157.0  100.1   73.2   86.7
AK 1977                 -144.07 65.83   189   19.1   13.3   13.2   12.1    5.4   16.5   33.4   59.1   20.3   30.7   32.3   31.7
AK 1987                 -144.61 65.48   280   10.0    6.1    6.2   17.7   21.7   59.8   51.6   74.1   37.7   34.1   20.8   24.8
AK 2005                 -149.18 64.30   177   24.9   14.4   13.9   11.3   24.8   55.5   79.6  108.9   45.6   31.0   28.5   32.8
AK 201                  -158.57 59.28    21   91.9   71.9   86.0  105.9   86.9   83.9   75.8  147.7  139.8  103.0  105.2  109.4
AK 2019                 -145.52 64.05   335   34.2   19.3   20.1   18.6   36.2   74.8   78.5   80.9   44.0   40.6   43.6   32.0
AK 2102                 -162.72 55.20    29   85.5   65.3   72.9   54.5   63.3   73.5   62.2   97.3  134.7  114.9  140.0  112.7
AK 2104                 -150.18 67.25   320    8.1   14.3   17.4   17.7   25.4   59.9   75.3  117.0   99.2   42.4   23.3  -99.0
AK 2107                 -147.83 64.87   189   21.4   13.9   14.1   11.6   19.6   46.1   60.8   97.3   38.5   31.0   32.9   41.2
AK 2112                 -147.83 64.93   290   22.8   14.5   16.5   12.3   23.4   51.8   61.1  103.7   41.7   30.4   33.2   40.4
AK 2126                 -150.40 70.42     2    4.5    1.2   10.1    4.3    0.0    9.8   28.1   38.0    8.5   17.1    6.0    9.6
AK 2144                 -149.67 60.38   136  121.9   80.2   42.6   44.5   39.3   44.6   40.1   90.5  141.3  157.6  110.9  105.9
AK 2149                 -149.97 60.48   115   52.7   46.9   15.1    4.4   27.3   35.8   38.2   68.0   84.4   72.2   46.6   55.5
AK 2177                 -145.50 60.50    13  257.4  193.7  189.6  195.2  238.1  210.9  157.8  296.9  427.4  357.3  291.8  291.3
AK 2227                 -133.14 55.48     7  283.4  264.3  186.6  208.1  119.1  101.6   86.1   89.4  192.3  441.1  403.0  388.6
AK 2247                 -158.20 61.87    46   29.6   12.4   19.9   25.1   20.7   57.1   67.4   80.3   54.6   55.1   38.9   48.8
AK 230                  -152.66 66.56   165   32.3   20.3   21.8   18.3   17.2   33.8   56.6   96.6   48.0   41.1   34.2   31.5
AK 2352                 -145.11 63.96   346   17.0    7.9    6.1   11.1   35.0   54.2   70.0   72.6   38.3   25.5   20.9   13.5
AK 243                  -149.13 60.97    76  243.0  118.7  108.0  113.6   74.1   69.9   73.4  132.9  171.1  187.0  149.2  156.0
AK 2457                 -158.52 59.05    26   66.3   39.8   54.7   40.5   41.4   56.2   87.2  124.8   91.2   73.4   66.6   63.0
AK 2465                 -158.83 59.18    12   78.4   43.0   58.8   45.0   48.8   70.7   94.7  124.8   93.1   81.8   75.3   66.9
AK 2522                 -144.04 63.66   378   30.0   13.5   17.7   17.4   50.7   46.4   40.4   62.3  -99.0   19.3   25.8   33.2
AK 2568                 -144.60 63.67   412   26.4   11.7   16.1   15.5   55.5   58.6   78.9   97.1   45.5   34.8   35.7   35.3
