Alaska-cedar	Alaska cedar	Chamaecyparis nootkatensis	CHNO
Alligator-juniper	Alligator juniper	Juniperus deppeana	JUDE2
Bigleaf-maple	Bigleaf maple	Acer macrophyllum	ACMA3
Bigtooth-maple	Bigtooth maple	Acer grandidentatum	ACGR3
Blue-oak	Blue oak	Quercus douglasii	QUDO
Blue-spruce	Blue spruce	Picea pungens	PIPU
Brewer-spruce	Brewer spruce	Picea breweriana	PIBR
California-black-oak	California black oak	Quercus kelloggii	QUKE
California-buckeye	California buckeye	Aesculus californica	AECA
California-laurel	California-laurel	Umbellularia californica	UMCA
California-red-fir	California red fir	Abies magnifica	ABMA
Canyon-live-oak	Canyon live oak	Quercus chrysolepis	QUCH2
Cherry	Cherry	Prunus sp.	PRUNU
Coast-live-oak	Coast live oak	Quercus agrifolia	QUAG
Corkbark-fir	Corkbark fir	Abies lasiocarpa var. arizonica	ABLAA
Coulter-pine	Coulter pine	Pinus coulteri	PICO3
Curlleaf-mountain-mahogany	Curlleaf mountain-mahogany	Cercocarpus ledifolius	CELE3
Douglas-fir	Douglas-fir	Psuedotsuga menziesii	PSME
Emory-oak	Emory oak	Quercus emoryi	QUEM
Engelmann-spruce	Engelmann spruce	Picea engelmannii	PIEN
Gambel-oak	Gambel oak	Quercus gambelii	QUGA
Giant-Sequoia	Giant Sequoia	Sequoiadendron giganteum	SEGI2
Golden-chinkapin	Golden chinkapin	Castanopsis chrysophylla	CHCH7
Grand-fir	Grand fir	Abies grandis	ABGR
Great-Basin-bristlecone-pine	Great Basin bristlecone pine	Pinus longaeva	PILO
Incense-cedar	Incense cedar	Calocedrus decurrens	CADE27
Interior-live-oak	Interior live oak	Quercus wislizeni	QUWI2
Jeffrey-pine	Jeffrey pine	Pinus jeffreyi	PIJE
Knobcone-pine	Knobcone pine	Pinus attenuata	PIAT
Limber-pine	Limber pine	Pinus flexilis	PIFL2
Lodgepole-pine	Lodgepole pine	Pinus contorta	PICO
Mesquite	Mesquite	Prosopis sp.	PROSO
Mexican-blue-oak	Mexican blue oak	Quercus oblongifolia	QUOB
Mountain-hemlock	Mountain hemlock	Tsuga mertensiana	TSME
New-Mexico-locust	New Mexico locust	Robinia neomexicana	RONE
Noble-fir	Noble fir	Abies procera	ABPR
Oneseed-juniper	Oneseed juniper	Juniperus monosperma	JUMO
Oregon-ash	Oregon ash	Fraxinus latifolia	FRLA
Oregon-white-oak	Oregon white oak	Quercus garryana	QUGA4
Pacific-dogwood	Pacific dogwood	Cornus nuttallii	CONU4
Pacific-madrone	Pacific madrone	Arbutus menzeisii	ARME
Pacific-silver-fir	Pacific silver fir	Abies amabilis	ABAM
Pacific-yew	Pacific yew	Taxus brevifolia	TABR2
Paper-birch	Paper birch	Betula papyrifera	BEPA
Pinyon-pine	Pinyon pine	Pinus edulis	PIED
Plains-cottonwood	Plains cottonwood	Populus deltoides ssp. monilifera	PODEM
Ponderosa-pine	Ponderosa pine	Pinus ponderosa	PIPO
Port-Orford-cedar	Port-Orford-cedar	Chamaecyparis lawsoniana	CHLA
Quaking-aspen	Quaking aspen	Populus tremuloides	POTR5
Red-alder	Red alder	Alnus rubra	ALRU2
Redberry-juniper	Redberry juniper	Juniperus erythrocarpa	JUCO11
Rocky-Mountain-bristlecone-pine	Rocky Mountain bristlecone pine	Pinus aristata	PIAR
Rocky-Mountain-juniper	Rocky Mountain juniper	Juniperus scopulorum	JUSC2
Rocky-Mountain-maple	Rocky Mountain maple	Acer glabrum	ACGL
Shasta-red-fir	Shasta red fir	Abies magnifica var. shastensis	ABSH
Silverleaf-oak	Silverleaf oak	Quercus hypoleucoides	QUHY
Singleleaf-pinyon	Singleleaf pinyon	Pinus monophylla	PIMO
Sitka-spruce	Sitka spruce	Picea sitchensis	PISI
Southwestern-white-pine	Southwestern white pine	Pinus strobiformis	PIST3
Subalpine-fir	Subalpine fir	Abies lasiocarpa	ABLA
Subalpine-larch	Subalpine larch	Larix lyallii	LALY
Sugar-pine	Sugar pine	Pinus lambertiana	PILA
Tanoak	Tanoak	Lithocarpus densiflorus	LIDE3
Tesota-Arizona-ironwood	Tesota-Arizona ironwood	Olneya tesota	OLTE
Utah-juniper	Utah juniper	Juniperus osteosperma	JUOS
Valley-California-white-oak	Valley California white oak	Quercus lobata	QULO
Western-hemlock	Western hemlock	Tsuga heterophylla	TSHE
Western-juniper	Western juniper	Juniperus occidentalis	JUOC
Western-larch	Western larch	Larix occidentalis	LAOC
Western-paper-birch	Western paper birch	Betula papyrifera var. commutata	BEPAC
Western-redcedar	Western redcedar	Thuja plicata	THPL
Western-white-pine	Western white pine	Pinus monticola	PIMO3
White-alder	White alder	Alnus rhombifolia	ALRH2
Whitebark-pine	Whitebark pine	Pinus albicaulis	PIAL
White-fir	White fir	Abies concolor	ABCO
Willow	Willow	Salix sp.	SALIX
