Date   	Hour	Stage
1/1/76	0.0	000.432
1/1/76	0.5	000.429
1/1/76	1.0	000.427
1/1/76	1.5	000.425
1/1/76	2.0	000.423
1/1/76	2.5	000.421
1/1/76	3.0	000.419
1/1/76	3.5	000.417
1/1/76	4.0	000.416
1/1/76	4.5	000.415
1/1/76	5.0	000.414
1/1/76	5.5	000.414
1/1/76	6.0	000.413
1/1/76	6.5	000.412
1/1/76	7.0	000.412
1/1/76	7.5	000.412
1/1/76	8.0	000.412
1/1/76	8.5	000.412
1/1/76	9.0	000.412
1/1/76	9.5	000.412
1/1/76	10.0	000.415
1/1/76	10.5	000.418
1/1/76	11.0	000.422
1/1/76	11.5	000.426
1/1/76	12.0	000.430
1/1/76	12.5	000.434
1/1/76	13.0	000.438
1/1/76	13.5	000.442
1/1/76	14.0	000.445
1/1/76	14.5	000.449
1/1/76	15.0	000.450
1/1/76	15.5	000.451
1/1/76	16.0	000.452
1/1/76	16.5	000.452
1/1/76	17.0	000.452
1/1/76	17.5	000.452
1/1/76	18.0	000.452
1/1/76	18.5	000.452
1/1/76	19.0	000.452
1/1/76	19.5	000.452
1/1/76	20.0	000.453
1/1/76	20.5	000.453
1/1/76	21.0	000.453
1/1/76	21.5	000.453
1/1/76	22.0	000.452
1/1/76	22.5	000.452
1/1/76	23.0	000.452
1/1/76	23.5	000.452
1/2/76	0.0	000.452
1/2/76	0.5	000.452
1/2/76	1.0	000.452
1/2/76	1.5	000.452
1/2/76	2.0	000.451
1/2/76	2.5	000.451
1/2/76	3.0	000.450
1/2/76	3.5	000.449
1/2/76	4.0	000.449
1/2/76	4.5	000.448
1/2/76	5.0	000.448
1/2/76	5.5	000.448
1/2/76	6.0	000.448
1/2/76	6.5	000.448
1/2/76	7.0	000.448
1/2/76	7.5	000.448
1/2/76	8.0	000.448
1/2/76	8.5	000.448
1/2/76	9.0	000.448
1/2/76	9.5	000.448
1/2/76	10.0	000.448
1/2/76	10.5	000.448
1/2/76	11.0	000.448
1/2/76	11.5	000.448
1/2/76	12.0	000.448
1/2/76	12.5	000.448
1/2/76	13.0	000.448
1/2/76	13.5	000.448
1/2/76	14.0	000.448
1/2/76	14.5	000.448
1/2/76	15.0	000.448
1/2/76	15.5	000.448
1/2/76	16.0	000.448
1/2/76	16.5	000.448
1/2/76	17.0	000.448
1/2/76	17.5	000.447
1/2/76	18.0	000.447
1/2/76	18.5	000.447
1/2/76	19.0	000.447
1/2/76	19.5	000.447
1/2/76	20.0	000.447
1/2/76	20.5	000.447
1/2/76	21.0	000.447
1/2/76	21.5	000.446
1/2/76	22.0	000.446
1/2/76	22.5	000.445
1/2/76	23.0	000.445
1/2/76	23.5	000.444
1/3/76	0.0	000.444
1/3/76	0.5	000.443
1/3/76	1.0	000.443
1/3/76	1.5	000.442
1/3/76	2.0	000.442
1/3/76	2.5	000.441
1/3/76	3.0	000.440
1/3/76	3.5	000.440
1/3/76	4.0	000.440
1/3/76	4.5	000.440
1/3/76	5.0	000.440
1/3/76	5.5	000.440
1/3/76	6.0	000.440
1/3/76	6.5	000.440
1/3/76	7.0	000.440
1/3/76	7.5	000.440
1/3/76	8.0	000.440
1/3/76	8.5	000.440
1/3/76	9.0	000.439
1/3/76	9.5	000.439
1/3/76	10.0	000.439
1/3/76	10.5	000.439
1/3/76	11.0	000.439
1/3/76	11.5	000.439
1/3/76	12.0	000.439
1/3/76	12.5	000.439
1/3/76	13.0	000.439
1/3/76	13.5	000.439
1/3/76	14.0	000.439
1/3/76	14.5	000.438
1/3/76	15.0	000.438
1/3/76	15.5	000.438
1/3/76	16.0	000.438
1/3/76	16.5	000.438
1/3/76	17.0	000.438
1/3/76	17.5	000.438
1/3/76	18.0	000.438
1/3/76	18.5	000.438
1/3/76	19.0	000.438
1/3/76	19.5	000.438
1/3/76	20.0	000.438
1/3/76	20.5	000.438
1/3/76	21.0	000.438
1/3/76	21.5	000.438
1/3/76	22.0	000.438
1/3/76	22.5	000.438
1/3/76	23.0	000.438
1/3/76	23.5	000.438
1/4/76	0.0	000.438
1/4/76	0.5	000.438
1/4/76	1.0	000.438
1/4/76	1.5	000.438
1/4/76	2.0	000.438
1/4/76	2.5	000.438
1/4/76	3.0	000.438
1/4/76	3.5	000.438
1/4/76	4.0	000.438
1/4/76	4.5	000.438
1/4/76	5.0	000.438
1/4/76	5.5	000.438
1/4/76	6.0	000.438
1/4/76	6.5	000.438
1/4/76	7.0	000.438
1/4/76	7.5	000.438
1/4/76	8.0	000.438
1/4/76	8.5	000.438
1/4/76	9.0	000.438
1/4/76	9.5	000.438
1/4/76	10.0	000.438
1/4/76	10.5	000.438
1/4/76	11.0	000.438
1/4/76	11.5	000.438
1/4/76	12.0	000.438
1/4/76	12.5	000.438
1/4/76	13.0	000.438
1/4/76	13.5	000.438
1/4/76	14.0	000.438
1/4/76	14.5	000.439
1/4/76	15.0	000.439
1/4/76	15.5	000.439
1/4/76	16.0	000.439
1/4/76	16.5	000.439
1/4/76	17.0	000.439
1/4/76	17.5	000.439
1/4/76	18.0	000.439
1/4/76	18.5	000.439
1/4/76	19.0	000.439
1/4/76	19.5	000.439
1/4/76	20.0	000.439
1/4/76	20.5	000.439
1/4/76	21.0	000.439
1/4/76	21.5	000.439
1/4/76	22.0	000.440
1/4/76	22.5	000.443
1/4/76	23.0	000.445
1/4/76	23.5	000.447
1/5/76	0.0	000.449
1/5/76	0.5	000.451
1/5/76	1.0	000.451
1/5/76	1.5	000.452
1/5/76	2.0	000.453
1/5/76	2.5	000.453
1/5/76	3.0	000.453
1/5/76	3.5	000.453
1/5/76	4.0	000.454
1/5/76	4.5	000.454
1/5/76	5.0	000.454
