Date	Hour	Stage
1/1/81	0.0	000.955
1/1/81	0.5	000.955
1/1/81	1.0	000.954
1/1/81	1.5	000.954
1/1/81	2.0	000.953
1/1/81	2.5	000.953
1/1/81	3.0	000.953
1/1/81	3.5	000.952
1/1/81	4.0	000.952
1/1/81	4.5	000.951
1/1/81	5.0	000.951
1/1/81	5.5	000.951
1/1/81	6.0	000.950
1/1/81	6.5	000.950
1/1/81	7.0	000.949
1/1/81	7.5	000.949
1/1/81	8.0	000.948
1/1/81	8.5	000.948
1/1/81	9.0	000.947
1/1/81	9.5	000.947
1/1/81	10.0	000.946
1/1/81	10.5	000.946
1/1/81	11.0	000.945
1/1/81	11.5	000.945
1/1/81	12.0	000.945
1/1/81	12.5	000.945
1/1/81	13.0	000.944
1/1/81	13.5	000.944
1/1/81	14.0	000.944
1/1/81	14.5	000.943
1/1/81	15.0	000.943
1/1/81	15.5	000.943
1/1/81	16.0	000.943
1/1/81	16.5	000.942
1/1/81	17.0	000.942
1/1/81	17.5	000.942
1/1/81	18.0	000.941
1/1/81	18.5	000.941
1/1/81	19.0	000.941
1/1/81	19.5	000.940
1/1/81	20.0	000.940
1/1/81	20.5	000.940
1/1/81	21.0	000.939
1/1/81	21.5	000.939
1/1/81	22.0	000.939
1/1/81	22.5	000.939
1/1/81	23.0	000.938
1/1/81	23.5	000.938
1/2/81	0.0	000.938
1/2/81	0.5	000.937
1/2/81	1.0	000.937
1/2/81	1.5	000.937
1/2/81	2.0	000.936
1/2/81	2.5	000.936
1/2/81	3.0	000.936
1/2/81	3.5	000.935
1/2/81	4.0	000.935
1/2/81	4.5	000.935
1/2/81	5.0	000.934
1/2/81	5.5	000.934
1/2/81	6.0	000.933
1/2/81	6.5	000.933
1/2/81	7.0	000.933
1/2/81	7.5	000.932
1/2/81	8.0	000.932
1/2/81	8.5	000.931
1/2/81	9.0	000.931
1/2/81	9.5	000.931
1/2/81	10.0	000.930
1/2/81	10.5	000.930
1/2/81	11.0	000.930
1/2/81	11.5	000.929
1/2/81	12.0	000.929
1/2/81	12.5	000.928
1/2/81	13.0	000.928
1/2/81	13.5	000.928
1/2/81	14.0	000.927
1/2/81	14.5	000.927
1/2/81	15.0	000.927
1/2/81	15.5	000.926
1/2/81	16.0	000.926
1/2/81	16.5	000.926
1/2/81	17.0	000.926
1/2/81	17.5	000.926
1/2/81	18.0	000.925
1/2/81	18.5	000.925
1/2/81	19.0	000.925
1/2/81	19.5	000.924
1/2/81	20.0	000.924
1/2/81	20.5	000.924
1/2/81	21.0	000.923
1/2/81	21.5	000.923
1/2/81	22.0	000.923
1/2/81	22.5	000.922
1/2/81	23.0	000.922
1/2/81	23.5	000.922
1/3/81	0.0	000.921
1/3/81	0.5	000.921
1/3/81	1.0	000.921
1/3/81	1.5	000.920
1/3/81	2.0	000.920
1/3/81	2.5	000.920
1/3/81	3.0	000.919
1/3/81	3.5	000.919
1/3/81	4.0	000.919
1/3/81	4.5	000.918
1/3/81	5.0	000.918
1/3/81	5.5	000.918
1/3/81	6.0	000.917
1/3/81	6.5	000.917
1/3/81	7.0	000.917
1/3/81	7.5	000.917
1/3/81	8.0	000.916
1/3/81	8.5	000.916
1/3/81	9.0	000.916
1/3/81	9.5	000.915
1/3/81	10.0	000.915
1/3/81	10.5	000.915
1/3/81	11.0	000.915
1/3/81	11.5	000.914
1/3/81	12.0	000.914
1/3/81	12.5	000.914
1/3/81	13.0	000.914
1/3/81	13.5	000.914
1/3/81	14.0	000.913
1/3/81	14.5	000.913
1/3/81	15.0	000.913
1/3/81	15.5	000.912
1/3/81	16.0	000.912
1/3/81	16.5	000.912
1/3/81	17.0	000.911
1/3/81	17.5	000.911
1/3/81	18.0	000.910
1/3/81	18.5	000.910
1/3/81	19.0	000.910
1/3/81	19.5	000.909
1/3/81	20.0	000.909
1/3/81	20.5	000.909
1/3/81	21.0	000.909
1/3/81	21.5	000.908
1/3/81	22.0	000.908
1/3/81	22.5	000.908
1/3/81	23.0	000.908
1/3/81	23.5	000.907
1/4/81	0.0	000.907
1/4/81	0.5	000.907
1/4/81	1.0	000.907
1/4/81	1.5	000.906
1/4/81	2.0	000.906
1/4/81	2.5	000.906
1/4/81	3.0	000.905
1/4/81	3.5	000.905
1/4/81	4.0	000.905
1/4/81	4.5	000.904
1/4/81	5.0	000.904
1/4/81	5.5	000.904
1/4/81	6.0	000.904
1/4/81	6.5	000.903
1/4/81	7.0	000.903
1/4/81	7.5	000.903
1/4/81	8.0	000.902
1/4/81	8.5	000.902
1/4/81	9.0	000.901
1/4/81	9.5	000.901
1/4/81	10.0	000.901
1/4/81	10.5	000.900
1/4/81	11.0	000.900
1/4/81	11.5	000.900
1/4/81	12.0	000.899
1/4/81	12.5	000.899
1/4/81	13.0	000.899
1/4/81	13.5	000.898
1/4/81	14.0	000.898
1/4/81	14.5	000.898
1/4/81	15.0	000.898
1/4/81	15.5	000.897
1/4/81	16.0	000.897
1/4/81	16.5	000.897
1/4/81	17.0	000.897
1/4/81	17.5	000.896
1/4/81	18.0	000.896
1/4/81	18.5	000.896
1/4/81	19.0	000.896
1/4/81	19.5	000.895
1/4/81	20.0	000.895
1/4/81	20.5	000.895
1/4/81	21.0	000.895
1/4/81	21.5	000.894
1/4/81	22.0	000.894
1/4/81	22.5	000.894
1/4/81	23.0	000.894
1/4/81	23.5	000.893
1/5/81	0.0	000.893
1/5/81	0.5	000.893
1/5/81	1.0	000.892
1/5/81	1.5	000.892
1/5/81	2.0	000.892
1/5/81	2.5	000.891
1/5/81	3.0	000.891
1/5/81	3.5	000.890
1/5/81	4.0	000.890
1/5/81	4.5	000.889
1/5/81	5.0	000.889
1/5/81	5.5	000.889
1/5/81	6.0	000.888
1/5/81	6.5	000.888
1/5/81	7.0	000.888
1/5/81	7.5	000.888
1/5/81	8.0	000.887
1/5/81	8.5	000.887
1/5/81	9.0	000.887
1/5/81	9.5	000.887
1/5/81	10.0	000.887
1/5/81	10.5	000.887
1/5/81	11.0	000.886
1/5/81	11.5	000.886
1/5/81	12.0	000.886
1/5/81	12.5	000.886
1/5/81	13.0	000.886
1/5/81	13.5	000.885
1/5/81	14.0	000.885
1/5/81	14.5	000.885
1/5/81	15.0	000.885
1/5/81	15.5	000.884
1/5/81	16.0	000.884
1/5/81	16.5	000.884
1/5/81	17.0	000.884
1/5/81	17.5	000.883
1/5/81	18.0	000.883
1/5/81	18.5	000.883
1/5/81	19.0	000.883
1/5/81	19.5	000.883
1/5/81	20.0	000.882
1/5/81	20.5	000.882
1/5/81	21.0	000.882
1/5/81	21.5	000.882
1/5/81	22.0	000.882
1/5/81	22.5	000.882
1/5/81	23.0	000.881
1/5/81	23.5	000.881
1/6/81	0.0	000.881
1/6/81	0.5	000.881
1/6/81	1.0	000.880
1/6/81	1.5	000.880
1/6/81	2.0	000.880
1/6/81	2.5	000.879
1/6/81	3.0	000.879
1/6/81	3.5	000.879
1/6/81	4.0	000.879
1/6/81	4.5	000.878
1/6/81	5.0	000.878
1/6/81	5.5	000.878
1/6/81	6.0	000.877
1/6/81	6.5	000.877
1/6/81	7.0	000.877
1/6/81	7.5	000.877
1/6/81	8.0	000.876
1/6/81	8.5	000.876
1/6/81	9.0	000.876
1/6/81	9.5	000.876
1/6/81	10.0	000.876
1/6/81	10.5	000.875
1/6/81	11.0	000.875
1/6/81	11.5	000.875
1/6/81	12.0	000.875
1/6/81	12.5	000.874
1/6/81	13.0	000.874
1/6/81	13.5	000.874
1/6/81	14.0	000.874
1/6/81	14.5	000.873
1/6/81	15.0	000.873
1/6/81	15.5	000.873
1/6/81	16.0	000.873
1/6/81	16.5	000.872
1/6/81	17.0	000.872
1/6/81	17.5	000.872
1/6/81	18.0	000.872
1/6/81	18.5	000.871
1/6/81	19.0	000.871
1/6/81	19.5	000.871
1/6/81	20.0	000.871
1/6/81	20.5	000.871
1/6/81	21.0	000.871
1/6/81	21.5	000.870
1/6/81	22.0	000.870
1/6/81	22.5	000.870
1/6/81	23.0	000.870
1/6/81	23.5	000.870
1/7/81	0.0	000.869
1/7/81	0.5	000.869
1/7/81	1.0	000.869
1/7/81	1.5	000.869
1/7/81	2.0	000.869
1/7/81	2.5	000.869
1/7/81	3.0	000.868
1/7/81	3.5	000.868
1/7/81	4.0	000.868
1/7/81	4.5	000.868
1/7/81	5.0	000.868
1/7/81	5.5	000.868
1/7/81	6.0	000.867
1/7/81	6.5	000.867
1/7/81	7.0	000.867
1/7/81	7.5	000.867
1/7/81	8.0	000.867
1/7/81	8.5	000.867
1/7/81	9.0	000.866
1/7/81	9.5	000.866
1/7/81	10.0	000.866
1/7/81	10.5	000.866
1/7/81	11.0	000.866
1/7/81	11.5	000.865
1/7/81	12.0	000.865
1/7/81	12.5	000.865
1/7/81	13.0	000.865
1/7/81	13.5	000.865
1/7/81	14.0	000.865
1/7/81	14.5	000.864
1/7/81	15.0	000.864
1/7/81	15.5	000.864
1/7/81	16.0	000.864
1/7/81	16.5	000.863
1/7/81	17.0	000.863
1/7/81	17.5	000.863
1/7/81	18.0	000.863
1/7/81	18.5	000.862
1/7/81	19.0	000.862
1/7/81	19.5	000.862
1/7/81	20.0	000.862
1/7/81	20.5	000.861
1/7/81	21.0	000.861
1/7/81	21.5	000.861
1/7/81	22.0	000.861
1/7/81	22.5	000.861
1/7/81	23.0	000.860
1/7/81	23.5	000.860
1/8/81	0.0	000.860
1/8/81	0.5	000.860
1/8/81	1.0	000.860
1/8/81	1.5	000.860
1/8/81	2.0	000.859
1/8/81	2.5	000.859
1/8/81	3.0	000.859
1/8/81	3.5	000.859
1/8/81	4.0	000.859
1/8/81	4.5	000.858
1/8/81	5.0	000.858
1/8/81	5.5	000.858
1/8/81	6.0	000.858
1/8/81	6.5	000.858
1/8/81	7.0	000.857
1/8/81	7.5	000.857
1/8/81	8.0	000.857
1/8/81	8.5	000.857
1/8/81	9.0	000.857
1/8/81	9.5	000.856
1/8/81	10.0	000.856
1/8/81	10.5	000.856
1/8/81	11.0	000.856
1/8/81	11.5	000.855
1/8/81	12.0	000.855
1/8/81	12.5	000.855
1/8/81	13.0	000.855
1/8/81	13.5	000.855
1/8/81	14.0	000.854
1/8/81	14.5	000.854
1/8/81	15.0	000.854
1/8/81	15.5	000.854
1/8/81	16.0	000.854
1/8/81	16.5	000.853
1/8/81	17.0	000.853
1/8/81	17.5	000.853
1/8/81	18.0	000.853
1/8/81	18.5	000.853
1/8/81	19.0	000.852
1/8/81	19.5	000.852
1/8/81	20.0	000.852
1/8/81	20.5	000.852
1/8/81	21.0	000.852
1/8/81	21.5	000.852
1/8/81	22.0	000.851
1/8/81	22.5	000.851
1/8/81	23.0	000.851
1/8/81	23.5	000.851
1/9/81	0.0	000.851
1/9/81	0.5	000.851
1/9/81	1.0	000.850
1/9/81	1.5	000.850
1/9/81	2.0	000.850
1/9/81	2.5	000.850
1/9/81	3.0	000.850
1/9/81	3.5	000.850
1/9/81	4.0	000.849
1/9/81	4.5	000.849
1/9/81	5.0	000.849
1/9/81	5.5	000.848
1/9/81	6.0	000.848
1/9/81	6.5	000.848
1/9/81	7.0	000.847
1/9/81	7.5	000.847
1/9/81	8.0	000.847
1/9/81	8.5	000.846
1/9/81	9.0	000.846
1/9/81	9.5	000.846
1/9/81	10.0	000.845
1/9/81	10.5	000.845
1/9/81	11.0	000.845
1/9/81	11.5	000.845
1/9/81	12.0	000.844
1/9/81	12.5	000.844
1/9/81	13.0	000.844
1/9/81	13.5	000.843
1/9/81	14.0	000.843
1/9/81	14.5	000.843
1/9/81	15.0	000.843
1/9/81	15.5	000.842
1/9/81	16.0	000.842
1/9/81	16.5	000.842
1/9/81	17.0	000.842
1/9/81	17.5	000.841
1/9/81	18.0	000.841
1/9/81	18.5	000.841
1/9/81	19.0	000.841
1/9/81	19.5	000.840
1/9/81	20.0	000.840
1/9/81	20.5	000.840
1/9/81	21.0	000.840
1/9/81	21.5	000.839
1/9/81	22.0	000.839
1/9/81	22.5	000.839
1/9/81	23.0	000.839
1/9/81	23.5	000.839
1/10/81	0.0	000.838
1/10/81	0.5	000.838
1/10/81	1.0	000.838
1/10/81	1.5	000.838
1/10/81	2.0	000.837
1/10/81	2.5	000.837
1/10/81	3.0	000.837
1/10/81	3.5	000.837
1/10/81	4.0	000.836
1/10/81	4.5	000.836
1/10/81	5.0	000.836
1/10/81	5.5	000.836
1/10/81	6.0	000.835
1/10/81	6.5	000.835
1/10/81	7.0	000.835
1/10/81	7.5	000.835
1/10/81	8.0	000.834
1/10/81	8.5	000.834
1/10/81	9.0	000.834
1/10/81	9.5	000.834
1/10/81	10.0	000.833
1/10/81	10.5	000.833
1/10/81	11.0	000.833
1/10/81	11.5	000.833
1/10/81	12.0	000.832
1/10/81	12.5	000.832
1/10/81	13.0	000.832
1/10/81	13.5	000.832
1/10/81	14.0	000.832
1/10/81	14.5	000.831
1/10/81	15.0	000.831
1/10/81	15.5	000.831
1/10/81	16.0	000.831
1/10/81	16.5	000.831
1/10/81	17.0	000.831
1/10/81	17.5	000.830
1/10/81	18.0	000.830
1/10/81	18.5	000.830
1/10/81	19.0	000.830
1/10/81	19.5	000.830
1/10/81	20.0	000.830
1/10/81	20.5	000.829
1/10/81	21.0	000.829
1/10/81	21.5	000.829
1/10/81	22.0	000.829
1/10/81	22.5	000.829
1/10/81	23.0	000.829
1/10/81	23.5	000.828
1/11/81	0.0	000.828
1/11/81	0.5	000.828
1/11/81	1.0	000.828
1/11/81	1.5	000.828
1/11/81	2.0	000.827
1/11/81	2.5	000.827
1/11/81	3.0	000.827
1/11/81	3.5	000.827
1/11/81	4.0	000.827
1/11/81	4.5	000.826
1/11/81	5.0	000.826
1/11/81	5.5	000.826
1/11/81	6.0	000.826
1/11/81	6.5	000.826
1/11/81	7.0	000.825
1/11/81	7.5	000.825
1/11/81	8.0	000.825
1/11/81	8.5	000.825
1/11/81	9.0	000.825
1/11/81	9.5	000.824
1/11/81	10.0	000.824
1/11/81	10.5	000.824
1/11/81	11.0	000.824
1/11/81	11.5	000.824
1/11/81	12.0	000.823
1/11/81	12.5	000.823
1/11/81	13.0	000.823
1/11/81	13.5	000.823
1/11/81	14.0	000.823
1/11/81	14.5	000.823
1/11/81	15.0	000.822
1/11/81	15.5	000.822
1/11/81	16.0	000.822
1/11/81	16.5	000.822
1/11/81	17.0	000.822
1/11/81	17.5	000.822
1/11/81	18.0	000.821
1/11/81	18.5	000.821
1/11/81	19.0	000.821
1/11/81	19.5	000.821
1/11/81	20.0	000.821
1/11/81	20.5	000.820
1/11/81	21.0	000.820
1/11/81	21.5	000.820
1/11/81	22.0	000.820
1/11/81	22.5	000.820
1/11/81	23.0	000.820
1/11/81	23.5	000.820
1/12/81	0.0	000.820
1/12/81	0.5	000.819
1/12/81	1.0	000.819
1/12/81	1.5	000.819
1/12/81	2.0	000.819
1/12/81	2.5	000.819
1/12/81	3.0	000.819
1/12/81	3.5	000.819
1/12/81	4.0	000.819
1/12/81	4.5	000.819
1/12/81	5.0	000.818
1/12/81	5.5	000.818
1/12/81	6.0	000.818
1/12/81	6.5	000.818
1/12/81	7.0	000.817
1/12/81	7.5	000.817
1/12/81	8.0	000.817
1/12/81	8.5	000.817
1/12/81	9.0	000.816
1/12/81	9.5	000.816
1/12/81	10.0	000.816
1/12/81	10.5	000.816
1/12/81	11.0	000.816
1/12/81	11.5	000.816
1/12/81	12.0	000.816
1/12/81	12.5	000.815
1/12/81	13.0	000.815
1/12/81	13.5	000.815
1/12/81	14.0	000.815
1/12/81	14.5	000.815
1/12/81	15.0	000.815
1/12/81	15.5	000.815
1/12/81	16.0	000.815
1/12/81	16.5	000.815
1/12/81	17.0	000.815
1/12/81	17.5	000.815
1/12/81	18.0	000.815
1/12/81	18.5	000.815
1/12/81	19.0	000.815
1/12/81	19.5	000.815
1/12/81	20.0	000.815
1/12/81	20.5	000.815
1/12/81	21.0	000.815
1/12/81	21.5	000.814
1/12/81	22.0	000.814
1/12/81	22.5	000.814
1/12/81	23.0	000.814
1/12/81	23.5	000.814
1/13/81	0.0	000.814
1/13/81	0.5	000.813
1/13/81	1.0	000.813
1/13/81	1.5	000.813
1/13/81	2.0	000.813
1/13/81	2.5	000.813
1/13/81	3.0	000.812
1/13/81	3.5	000.812
1/13/81	4.0	000.812
1/13/81	4.5	000.812
1/13/81	5.0	000.812
1/13/81	5.5	000.812
1/13/81	6.0	000.812
1/13/81	6.5	000.812
1/13/81	7.0	000.812
1/13/81	7.5	000.811
1/13/81	8.0	000.811
1/13/81	8.5	000.811
1/13/81	9.0	000.811
1/13/81	9.5	000.811
1/13/81	10.0	000.811
1/13/81	10.5	000.811
1/13/81	11.0	000.811
1/13/81	11.5	000.811
1/13/81	12.0	000.811
1/13/81	12.5	000.811
1/13/81	13.0	000.811
1/13/81	13.5	000.811
1/13/81	14.0	000.811
1/13/81	14.5	000.811
1/13/81	15.0	000.811
1/13/81	15.5	000.811
1/13/81	16.0	000.810
